######### INVER-OVER ALGORITHM RESULTS #########
Pure Inver-Over (no crossover), p ~ 0.02, stop after 10 stale passes.

######### eil51 #########
Best fitness: 429.5303
Total time: 6.37s
Progress (outer_pass, best, avg):
       1: best=1386.7711, avg=1628.5576
     122: best=787.8400, avg=953.7998
     243: best=661.4709, avg=760.8161
     364: best=564.8120, avg=646.3418
     485: best=509.6846, avg=577.8821
     606: best=469.3513, avg=531.3639
     727: best=449.1768, avg=500.3042
     848: best=449.1768, avg=483.5697
     969: best=442.6836, avg=471.5532
    1090: best=436.9218, avg=463.2102
    1211: best=436.9218, avg=458.0842
    1332: best=436.0694, avg=454.6332
    1453: best=429.5303, avg=451.4937
    1574: best=429.5303, avg=449.7320
    1695: best=429.5303, avg=448.3645
    1816: best=429.5303, avg=446.9240
    1937: best=429.5303, avg=445.8588
    2058: best=429.5303, avg=444.7557
    2179: best=429.5303, avg=444.2279
    2300: best=429.5303, avg=443.7104
    2421: best=429.5303, avg=443.2565

######### st70 #########
Best fitness: 677.1096
Total time: 13.79s
Progress (outer_pass, best, avg):
       1: best=3141.4452, avg=3609.4917
     202: best=1647.7127, avg=1955.1328
     403: best=1227.7199, avg=1442.5170
     604: best=922.9505, avg=1162.9792
     805: best=856.1330, avg=997.7583
    1006: best=762.6779, avg=892.7399
    1207: best=706.7780, avg=833.3744
    1408: best=706.7780, avg=799.4296
    1609: best=696.5318, avg=774.4250
    1810: best=684.3263, avg=755.9791
    2011: best=683.5172, avg=742.9692
    2212: best=682.5450, avg=734.3831
    2413: best=677.8233, avg=728.7212
    2614: best=677.8233, avg=724.3633
    2815: best=677.8233, avg=720.0198
    3016: best=677.8233, avg=717.7027
    3217: best=677.1096, avg=715.5796
    3418: best=677.1096, avg=713.6834
    3619: best=677.1096, avg=712.3978
    3820: best=677.1096, avg=710.9123
    4021: best=677.1096, avg=709.6926

######### eil76 #########
Best fitness: 554.7990
Total time: 12.04s
Progress (outer_pass, best, avg):
       1: best=2203.9737, avg=2477.2586
     143: best=1390.8664, avg=1586.1078
     285: best=1155.6333, avg=1295.9758
     427: best=961.2184, avg=1101.4403
     569: best=828.4107, avg=956.6772
     711: best=762.4931, avg=856.2421
     853: best=678.9024, avg=786.8447
     995: best=650.8871, avg=732.4992
    1137: best=625.9854, avg=693.1152
    1279: best=610.6862, avg=663.8889
    1421: best=591.2542, avg=643.5050
    1563: best=577.1822, avg=627.2278
    1705: best=564.6666, avg=613.8903
    1847: best=561.2942, avg=604.5853
    1989: best=554.7990, avg=597.5683
    2131: best=554.7990, avg=592.6907
    2273: best=554.7990, avg=588.3659
    2415: best=554.7990, avg=585.3117
    2557: best=554.7990, avg=582.6885
    2699: best=554.7990, avg=580.2658
    2841: best=554.7990, avg=578.5705

######### kroA100 #########
Best fitness: 21285.4432
Total time: 29.28s
Progress (outer_pass, best, avg):
       1: best=151567.5886, avg=168521.5525
     302: best=73971.1498, avg=86721.8081
     603: best=53161.6508, avg=62669.2705
     904: best=38186.7656, avg=47889.6730
    1205: best=32636.0809, avg=38369.0433
    1506: best=28380.1339, avg=32772.1721
    1807: best=25974.4852, avg=29276.4791
    2108: best=24080.5718, avg=27100.1838
    2409: best=22606.9246, avg=25593.0288
    2710: best=21931.3990, avg=24567.4051
    3011: best=21695.3185, avg=23893.3700
    3312: best=21583.3781, avg=23471.1199
    3613: best=21406.1362, avg=23177.8514
    3914: best=21392.5229, avg=22969.1926
    4215: best=21380.9163, avg=22809.0733
    4516: best=21380.9163, avg=22694.1385
    4817: best=21285.4432, avg=22564.2019
    5118: best=21285.4432, avg=22472.8212
    5419: best=21285.4432, avg=22398.4361
    5720: best=21285.4432, avg=22347.0720

