evaluations raw_y
1 0.0179289869
3 0.0190727588
5 0.0202824946
8 0.0215574852
12 0.0228956599
17 0.0242933077
23 0.0257384357
30 0.0272185870
38 0.0287201167
47 0.0302264566
58 0.0318248361
70 0.0334202259
83 0.0349929314
97 0.0365214088
114 0.0390667729
119 0.0418431051
125 0.0447251194
132 0.0477363426
140 0.0507377265
149 0.0536999248
159 0.0565393401
170 0.0591814028
182 0.0617207752
196 0.0643682896
1531 0.1049934904
1533 0.1059636333
1548 0.1107812292
1552 0.1108499978
1553 0.1108598288
1555 0.1108893324
1559 0.1109582353
1564 0.1111456898
1580 0.1168060552
1597 0.1218264217
1598 0.1218620522
1616 0.1274924779
1624 0.1276096167
1625 0.1284620523
2320 0.1297286078
2321 0.1308284055
2340 0.1369187798
2346 0.1371140240
2551 0.1755741274
2553 0.1804663250
2555 0.1808056701
2570 0.1913509376
2586 0.2000800320
2589 0.2001761550
2590 0.2015641377
2594 0.2032355093
2596 0.2043986591
2603 0.2055751994
2620 0.2181691247
2638 0.2295894940
2643 0.2298005331
2646 0.2312031814
2652 0.2316745436
3061 0.4567878677
3071 0.4569548529
3077 0.4656360589
3088 0.4714312653
3095 0.4792026069
3097 0.4823461316
3116 0.5003001801
3118 0.5017057997
3119 0.5043373008
3129 0.5069965524
3130 0.5168492867
3150 0.5302226935
3158 0.5308982799
3962 0.5365958360
3973 0.5428881650
3977 0.5454942178
4491 0.5576622797
4499 0.5614192679
4518 0.5976571838
4541 0.5979430758
4544 0.5988023952
4569 0.6054734803
4578 0.6165228113
4581 0.6229753302
4591 0.8659508140
4612 0.8787346221
4623 0.8843296781
4648 0.9187798603
4663 0.9416195857
4664 0.9423294384
4685 0.9708737864
4804 0.9885330170
4814 1.0150223305
4827 1.0660980810
4828 1.0743446498
4836 1.0827197921
4842 1.1307100859
4853 1.1317338162
4882 1.1452130096
4896 1.1655011655
5089 1.2189176012
5099 1.2394645513
5116 1.2468827930
5124 1.3082155939
5126 1.3234515617
5131 1.3276686139
5133 1.3404825737
5144 1.3623978202
5150 1.3728720483
5152 1.3989927252
5159 1.5234613041
5176 1.5328019620
5194 1.5384615385
5199 1.5913430936
6121 1.6350555919
6135 1.6857720836
6151 1.7397355602
6155 1.7818959373
6161 1.9516003123
6164 2.0644095789
6173 2.1026072330
6202 2.3084025854
7832 2.3832221163
8934 2.4390243902
8949 2.4727992087
8950 2.5484199796
9534 2.6014568158
9541 2.6737967914
9544 2.6910656620
9564 2.7808676307
12226 2.8571428571
18565 2.8702640643
18611 3.0156815440
18812 3.1446540881
18855 3.1525851198
20556 3.2938076416
20577 3.5868005739
20603 3.7481259370
45507 3.9494470774
100991 2.1061499579
evaluations raw_y
1 0.0277343273
4 0.0297169755
7 0.0318288879
11 0.0340474212
16 0.0363683973
22 0.0388011982
29 0.0412916013
37 0.0438573408
46 0.0464088808
56 0.0489361286
67 0.0513885177
79 0.0536999248
92 0.0557376318
132 0.0563837705
140 0.0598874117
149 0.0633954609
159 0.0668860529
170 0.0703452545
182 0.0735272492
195 0.0764549375
1531 0.1288062239
1538 0.1288726223
1540 0.1289656951
1553 0.1340410702
1567 0.1372344513
1568 0.1376727793
1572 0.1378093821
1573 0.1395790296
1588 0.1433404048
1591 0.1436203826
1607 0.1476058334
1612 0.1486060750
1614 0.1490846204
1615 0.1491379825
1632 0.1524297299
1923 0.1560062402
1928 0.1560646732
1929 0.1560841606
1935 0.1562597662
1981 0.1634734846
1997 0.1682935039
2000 0.1688618710
2017 0.1750332563
2023 0.1755987919
2026 0.1757222183
2422 0.1799726442
2428 0.1810413498
2431 0.1812250816
2436 0.1813039379
2442 0.1814882033
2490 0.1817520901
2505 0.1884658877
2507 0.1887789776
2523 0.1977066034
2531 0.1996326759
2548 0.2091525140
3061 0.2693675251
3063 0.2809304416
3067 0.2905287623
3074 0.2918174390
3075 0.2936685070
3093 0.3009510052
3094 0.3039513678
3104 0.3040252949
3105 0.3048408731
3116 0.3050640635
3121 0.3104433131
3122 0.3111387679
3130 0.3124609424
3150 0.3145841198
3153 0.3159358018
3163 0.4369865408
3167 0.4430267588
3174 0.4502070953
3176 0.4519978304
3185 0.4670278349
3190 0.4768262445
3192 0.4806767929
3196 0.4808617042
3202 0.4847779717
3220 0.5209418629
3231 0.5268703899
3250 0.5512679162
4591 0.6048874909
4595 0.6201935004
4599 0.6317917614
4602 0.6359704910
4608 0.6428387760
4613 0.6498570315
4616 0.6501950585
4620 0.6505334374
4627 0.6529119875
4642 0.6601531555
4650 0.6668444919
4656 0.6780580418
4672 0.7181844298
4693 0.8454514711
4701 0.8564576910
4705 0.8738203425
4717 0.9416195857
4725 0.9686168152
4740 1.0300782859
4762 1.0309278351
4764 1.0579771477
5509 1.0633772863
5515 1.0660980810
5518 1.1145786893
5526 1.1399908801
5529 1.1410314925
5541 1.1611704598
5546 1.1622501162
5561 1.1720581341
5572 1.1933174224
5576 1.2224938875
5592 1.2813941568
5604 1.2827090816
5609 1.2866700978
6121 1.2960082945
6124 1.3419216318
6125 1.3520822066
6128 1.3989927252
6141 1.4560279557
6144 1.4611338399
6145 1.4801657786
6153 1.4961101137
6158 1.5733165513
6160 1.5913430936
6171 1.6523463318
6174 1.6767270288
6195 1.7111567420
6200 1.7229496899
6214 1.8102824041
6219 1.8288222385
6300 1.8670649739
6316 1.9638648861
7085 1.9888623707
7090 2.0850708924
7121 2.2872827081
7873 2.3126734505
7909 2.3607176582
7932 2.3651844844
9104 2.4295432459
9113 2.4826216485
9154 2.6123301985
9163 2.6968716289
10690 2.7685492802
10997 2.8901734104
12009 2.9036004646
12028 3.0376670717
12145 3.1525851198
12180 3.3647375505
12186 3.3738191633
12198 3.4965034965
17574 3.6390101892
20025 3.7257824143
20085 3.7369207773
38352 3.9370078740
87407 4.0257648953
100991 2.3212627669
evaluations raw_y
1 0.0259037830
3 0.0278940028
5 0.0300469935
8 0.0323511523
12 0.0348194265
17 0.0374604792
23 0.0402634842
30 0.0432428693
38 0.0463796078
47 0.0496573642
57 0.0530526494
68 0.0565342258
80 0.0600860432
93 0.0636440009
177 0.0657912050
191 0.0685288232
387 0.0711095941
401 0.0733159330
402 0.0734322221
1531 0.1223870368
1533 0.1231466430
1547 0.1264734153
1548 0.1275705465
1563 0.1317245376
1566 0.1321562616
1582 0.1365299547
1587 0.1368138784
1588 0.1373098259
1605 0.1411392762
1606 0.1421181286
1624 0.1462244838
1628 0.1468256299
1629 0.1476407016
1753 0.1497633739
1756 0.1505751973
1772 0.1534401277
1776 0.1537609939
1777 0.1544640099
1782 0.1548275221
1784 0.1548467018
1785 0.1548658861
1802 0.1586999302
1809 0.1589218740
1810 0.1609476598
1828 0.1623482044
1834 0.1630470228
2245 0.2015316405
2248 0.2035333388
2252 0.2042316804
2253 0.2050020500
2268 0.2065944963
2269 0.2097491400
2274 0.2097843417
2275 0.2118823629
2291 0.2172968275
2292 0.2180929949
2309 0.2228759918
2316 0.2237937517
2317 0.2263467632
2335 0.2286236854
2336 0.2301813829
2338 0.2312459532
2344 0.2325797749
2449 0.3058103976
2451 0.3118373456
2459 0.3119151591
2470 0.3149804712
2485 0.3242121644
2490 0.3280409395
2506 0.3412037669
2512 0.3456380478
2516 0.3537568983
2526 0.3560746332
2531 0.3613238907
2548 0.3730786450
3061 0.6619009796
3065 0.6693440428
3076 0.6942515968
3079 0.7202535292
3097 0.7447125410
3098 0.7505253678
3119 0.7610350076
3133 0.7680491551
3155 0.8124796880
4591 0.9235315848
4609 0.9324878777
4617 0.9487666034
4630 0.9807767752
4653 1.0020040080
4663 1.0109179135
4665 1.0317787866
4691 1.1195700851
4741 1.1504832029
4764 1.1887779363
4788 1.2321340562
5203 1.2774655084
5205 1.3477088949
5213 1.3638843426
5215 1.3989927252
5228 1.5460729746
5245 1.5832805573
5261 1.5974440895
5283 1.6458196182
5286 1.6880486158
5288 1.6995241332
5301 1.7253278123
6223 1.8368846436
6234 1.8395879323
6239 1.8587360595
6241 1.9485580670
6271 1.9516003123
6277 1.9607843137
6298 1.9888623707
6940 2.0955574183
6950 2.1872265967
6953 2.1910604733
6966 2.2421524664
6984 2.2706630336
6994 2.2914757104
6997 2.3126734505
7014 2.3518344309
7028 2.4201355276
8939 2.4342745862
8975 2.5176233635
9267 2.5588536336
15400 2.6232948583
15991 2.7322404372
17725 2.8058361392
17733 2.8506271380
17738 2.8571428571
18230 2.8636884307
26414 3.0674846626
44948 3.3738191633
89334 3.5765379113
90437 3.7037037037
100991 1.7064846416
evaluations raw_y
1 0.0211164700
3 0.0225410021
5 0.0240544207
8 0.0256565511
12 0.0273454164
17 0.0291168284
23 0.0309547689
30 0.0328528063
38 0.0347961641
47 0.0367620028
57 0.0387122749
68 0.0406154046
80 0.0424081016
93 0.0440784950
127 0.0458253139
135 0.0489035817
144 0.0520627252
154 0.0552400734
165 0.0583525897
177 0.0613090713
190 0.0641370995
204 0.0666151509
1531 0.0991158863
1535 0.1014404545
1539 0.1018786422
1540 0.1018869462
1555 0.1066598404
1571 0.1105363222
1573 0.1111160496
1590 0.1153508974
1608 0.1189173762
1611 0.1195200076
1631 0.1253321301
1638 0.1261670452
1643 0.1290455789
1652 0.1308694969
1653 0.1314889812
1668 0.1374003847
1684 0.1417474627
1686 0.1423122901
1703 0.1483415416
1709 0.1489247632
1711 0.1498351813
1729 0.1545212930
1731 0.1558895055
2143 0.1786607590
2145 0.1826017092
2149 0.1830027084
2150 0.1838911364
2165 0.1869997756
2166 0.1892935564
2182 0.1935433924
2187 0.1945979606
2204 0.1978317639
2213 0.1985545231
2217 0.1997922161
2229 0.2012396362
2238 0.2019223003
2244 0.2022162905
3061 0.2168068684
3067 0.2209847079
3069 0.2213368747
3075 0.2243158367
3093 0.2269632320
3096 0.2283313545
3111 0.2292946895
3112 0.2307763316
3133 0.2428363283
3134 0.2452663593
3156 0.2581844470
3220 0.2600104004
3242 0.2630194634
3245 0.2682691276
3252 0.2695999137
3255 0.2701242572
3265 0.3911750900
3267 0.4168751042
3270 0.4338018393
3276 0.4547935237
3277 0.4549590537
3287 0.4684279558
3304 0.4902922142
3325 0.4991016171
3327 0.5244388504
3349 0.5539552404
3352 0.5683109798
4149 0.5796429399
4165 0.5925574781
4591 0.8862105636
4599 0.8983111750
4609 0.9002520706
4615 0.9221689414
4627 0.9283327144
4637 0.9516558812
4654 0.9538344143
4675 0.9693679721
4774 0.9716284493
4782 0.9940357853
4792 1.0275380189
4908 1.0326311442
4911 1.0597710894
4925 1.0998680158
4927 1.1008366358
4938 1.1175681717
4941 1.1205737338
4959 1.2059816691
4970 1.2118274358
4972 1.2177301510
4975 1.2260912212
4997 1.2543903663
4998 1.2632642749
5913 1.2748597654
6121 1.3713658804
6126 1.5160703457
6145 1.5832805573
6171 1.6056518947
6190 1.6077170418
6427 1.7349063151
6431 1.8504811251
6458 1.8925056775
6484 1.9546520719
6522 2.0275750203
6526 2.0374898126
7651 2.1061499579
7678 2.1607605877
7712 2.2104332449
7723 2.2789425706
7732 2.2999080037
7805 2.3126734505
7841 2.3342670401
7852 2.3474178404
9282 2.6399155227
10504 2.7995520717
10505 2.8312570781
12949 2.8376844495
14370 2.8441410694
14380 2.9585798817
14761 3.0229746070
15179 3.4199726402
24312 3.8759689922
45174 3.9872408293
45180 4.0518638574
74253 4.0916530278
75553 4.1322314050
92903 4.1459369818
100991 1.8288222385
evaluations raw_y
1 0.0255010965
3 0.0272887036
5 0.0291814033
8 0.0311685721
12 0.0332681278
17 0.0354524441
23 0.0377102346
30 0.0400172875
38 0.0423133558
47 0.0445370816
57 0.0466635558
68 0.0486599062
80 0.0504327127
95 0.0524846220
297 0.0544223611
446 0.0557649841
455 0.0589386331
465 0.0619379134
476 0.0647450341
488 0.0672061077
501 0.0692271481
502 0.0692616706
788 0.0721313367
802 0.0759485980
905 0.0784264517
1531 0.0898924886
1546 0.0944215734
1561 0.0984755977
1562 0.0985765546
1578 0.1032588493
1595 0.1072915326
1597 0.1080613789
1615 0.1130761228
1619 0.1131682586
1620 0.1135486215
1625 0.1136621960
1627 0.1136725322
1719 0.1144426642
1791 0.1161224395
1808 0.1207321196
1810 0.1220166919
1828 0.1273236567
1831 0.1274664763
1939 0.1308010255
1954 0.1377638177
1969 0.1441005245
1970 0.1450873426
1986 0.1510300248
1988 0.1515978412
1989 0.1517634918
1992 0.1520034049
2009 0.1607820439
2027 0.1685203910
2028 0.1697792869
2063 0.1734063952
2078 0.1798690553
2081 0.1799985600
2097 0.1872518912
2101 0.1874484517
2104 0.1890073335
2121 0.1954804910
2122 0.1967419533
2140 0.2015316405
2580 0.2116312537
2596 0.2187800823
2597 0.2202061129
2614 0.2333177788
2616 0.2333613367
2617 0.2344555941
2620 0.2357378595
2638 0.2478437593
2643 0.2490784099
2645 0.2515343596
3061 0.2587188244
3081 0.2701826435
3082 0.2740326647
3102 0.2853555530
3104 0.2869934565
3105 0.2877201059
3112 0.2903263268
3116 0.2909344816
3117 0.2916812507
3138 0.3024803388
3146 0.3089852923
3147 0.3101352190
3163 0.3276969459
3168 0.3305566574
3169 0.3334667200
3174 0.3362474781
3177 0.3420440553
3187 0.3440209165
3192 0.3485292067
3207 0.3600748956
3219 0.3635306093
3220 0.3638480571
3239 0.3833767827
3240 0.3938868757
3260 0.4113871976
3262 0.4117937737
3475 0.4159041757
3480 0.4205214466
3482 0.4229402808
3490 0.4318535153
3509 0.4474673349
3513 0.4652894100
3526 0.4689551679
3531 0.4825323297
3551 0.5069965524
3558 0.5076142132
3571 0.6211180124
3573 0.6379178362
3576 0.6584145378
3578 0.6622516556
3579 0.6668444919
3598 0.6954102921
3599 0.7165376899
3620 0.7596475235
3628 0.7723200494
3632 0.7747133561
3654 0.7790588969
3657 0.7923930269
4607 0.7969397514
4610 0.8015389548
4615 0.8041170794
4617 0.8259002313
4634 0.8713837574
4654 0.8793527963
4670 0.8887308923
4795 1.3027618551
4799 1.4005602241
4803 1.4577259475
4825 1.4766686356
4835 1.5216068168
4836 1.5499070056
4850 1.5556938395
4861 1.5693659761
4888 1.7470300489
4895 1.7543859649
6215 1.7618040874
6221 1.7692852088
6323 1.7717930546
6397 1.8050541516
6419 1.8076644975
6697 1.9984012790
6716 2.0210185934
6727 2.0920502092
6730 2.1312872975
7116 2.1349274125
7226 2.1910604733
7228 2.2026431718
7241 2.2706630336
7443 2.3041474654
7687 2.3299161230
7718 2.5960539979
7740 2.6795284030
10787 2.7322404372
11109 2.7685492802
11115 2.7870680045
11116 2.8571428571
17227 3.0599755202
29169 3.1685678074
30192 3.2341526520
