evaluations raw_y
1 5.0000000000
3 6.0000000000
5 7.0000000000
8 8.0000000000
12 9.0000000000
17 10.0000000000
23 11.0000000000
30 12.0000000000
38 13.0000000000
47 14.0000000000
57 15.0000000000
69 16.0000000000
82 17.0000000000
96 18.0000000000
399 19.0000000000
664 20.0000000000
675 21.0000000000
687 22.0000000000
700 23.0000000000
714 24.0000000000
1531 25.0000000000
1537 26.0000000000
1548 27.0000000000
1564 28.0000000000
1581 29.0000000000
1599 30.0000000000
1618 31.0000000000
1931 32.0000000000
2483 33.0000000000
2502 34.0000000000
2523 35.0000000000
2546 36.0000000000
3086 37.0000000000
3111 38.0000000000
3137 39.0000000000
3224 40.0000000000
3250 41.0000000000
3315 42.0000000000
3341 43.0000000000
3554 44.0000000000
4769 45.0000000000
6181 46.0000000000
6212 47.0000000000
6485 48.0000000000
6515 49.0000000000
7137 50.0000000000
8496 51.0000000000
8527 52.0000000000
8559 53.0000000000
10456 54.0000000000
10487 55.0000000000
12529 56.0000000000
16300 57.0000000000
21018 58.0000000000
21033 59.0000000000
21070 60.0000000000
21108 61.0000000000
30796 62.0000000000
35885 63.0000000000
38027 64.0000000000
44657 65.0000000000
44768 66.0000000000
54962 67.0000000000
66207 68.0000000000
66232 69.0000000000
66277 70.0000000000
80282 71.0000000000
80328 72.0000000000
87515 73.0000000000
88804 74.0000000000
100257 75.0000000000
100991 66.0000000000
evaluations raw_y
1 3.0000000000
3 4.0000000000
5 5.0000000000
8 6.0000000000
12 7.0000000000
17 8.0000000000
23 9.0000000000
30 10.0000000000
38 11.0000000000
48 12.0000000000
59 13.0000000000
71 14.0000000000
84 15.0000000000
98 16.0000000000
155 17.0000000000
166 18.0000000000
178 19.0000000000
191 20.0000000000
399 21.0000000000
1185 22.0000000000
1198 23.0000000000
1212 24.0000000000
1531 26.0000000000
1548 27.0000000000
1565 28.0000000000
1583 29.0000000000
1602 30.0000000000
1622 31.0000000000
1826 32.0000000000
2134 33.0000000000
2337 34.0000000000
2431 35.0000000000
3131 36.0000000000
3153 37.0000000000
3193 38.0000000000
3214 39.0000000000
3236 40.0000000000
3259 41.0000000000
4149 42.0000000000
4172 43.0000000000
6172 44.0000000000
6199 45.0000000000
6223 46.0000000000
6248 47.0000000000
6274 48.0000000000
6301 49.0000000000
7676 50.0000000000
7703 51.0000000000
7731 52.0000000000
13935 53.0000000000
13969 54.0000000000
16098 55.0000000000
20183 56.0000000000
22004 57.0000000000
25702 58.0000000000
26623 59.0000000000
26659 60.0000000000
26695 61.0000000000
38254 62.0000000000
38291 63.0000000000
38330 64.0000000000
42093 65.0000000000
45944 66.0000000000
45987 67.0000000000
57732 68.0000000000
67005 69.0000000000
75636 70.0000000000
78488 71.0000000000
78537 72.0000000000
88703 73.0000000000
90432 74.0000000000
100991 71.0000000000
evaluations raw_y
1 7.0000000000
3 8.0000000000
5 9.0000000000
8 10.0000000000
13 11.0000000000
19 12.0000000000
26 13.0000000000
34 14.0000000000
43 15.0000000000
53 16.0000000000
64 17.0000000000
76 18.0000000000
89 19.0000000000
195 20.0000000000
975 21.0000000000
987 22.0000000000
1000 23.0000000000
1014 24.0000000000
1531 25.0000000000
1548 26.0000000000
1565 27.0000000000
1583 28.0000000000
1602 29.0000000000
1622 30.0000000000
1724 31.0000000000
1928 32.0000000000
2585 33.0000000000
2603 34.0000000000
2622 35.0000000000
2642 36.0000000000
3061 38.0000000000
3080 39.0000000000
3101 40.0000000000
3123 41.0000000000
3146 42.0000000000
3664 43.0000000000
4131 44.0000000000
4154 45.0000000000
4180 46.0000000000
6150 47.0000000000
6177 48.0000000000
6205 49.0000000000
6316 50.0000000000
6410 51.0000000000
6896 52.0000000000
6925 53.0000000000
10184 54.0000000000
10948 55.0000000000
10981 56.0000000000
11015 57.0000000000
17211 58.0000000000
17545 59.0000000000
17583 60.0000000000
17623 61.0000000000
26053 62.0000000000
26095 63.0000000000
26295 64.0000000000
28646 65.0000000000
34143 66.0000000000
43910 67.0000000000
43956 68.0000000000
46503 69.0000000000
52818 70.0000000000
54468 71.0000000000
62858 72.0000000000
62909 73.0000000000
65050 74.0000000000
76906 75.0000000000
78421 76.0000000000
83901 77.0000000000
89923 78.0000000000
97203 79.0000000000
100991 74.0000000000
evaluations raw_y
1 6.0000000000
3 7.0000000000
5 8.0000000000
8 9.0000000000
12 10.0000000000
17 11.0000000000
23 12.0000000000
30 13.0000000000
38 14.0000000000
47 15.0000000000
57 16.0000000000
68 17.0000000000
80 18.0000000000
93 19.0000000000
909 20.0000000000
1531 21.0000000000
1546 22.0000000000
1561 23.0000000000
1577 24.0000000000
1594 25.0000000000
1612 26.0000000000
1631 27.0000000000
1925 28.0000000000
2122 29.0000000000
2431 30.0000000000
2632 31.0000000000
3061 34.0000000000
3083 35.0000000000
3105 36.0000000000
3128 37.0000000000
3152 38.0000000000
3968 39.0000000000
4172 40.0000000000
5197 41.0000000000
6220 42.0000000000
6309 43.0000000000
7031 44.0000000000
8144 45.0000000000
10711 46.0000000000
10741 47.0000000000
10773 48.0000000000
10806 49.0000000000
16015 50.0000000000
16050 51.0000000000
16085 52.0000000000
18032 53.0000000000
25020 54.0000000000
25056 55.0000000000
28538 56.0000000000
32434 57.0000000000
43337 58.0000000000
46835 59.0000000000
46875 60.0000000000
46917 61.0000000000
54752 62.0000000000
57285 63.0000000000
61097 64.0000000000
73216 65.0000000000
73441 66.0000000000
73488 67.0000000000
73535 68.0000000000
86694 69.0000000000
87922 70.0000000000
89235 71.0000000000
95318 72.0000000000
95369 73.0000000000
100991 67.0000000000
evaluations raw_y
1 6.0000000000
3 7.0000000000
5 8.0000000000
9 9.0000000000
14 10.0000000000
20 11.0000000000
27 12.0000000000
35 13.0000000000
44 14.0000000000
54 15.0000000000
65 16.0000000000
77 17.0000000000
90 18.0000000000
399 19.0000000000
602 20.0000000000
1183 21.0000000000
1195 22.0000000000
1208 23.0000000000
1222 24.0000000000
1535 25.0000000000
1550 26.0000000000
1566 27.0000000000
1583 28.0000000000
1601 29.0000000000
1620 30.0000000000
1720 31.0000000000
1747 32.0000000000
1762 33.0000000000
1778 34.0000000000
1795 35.0000000000
1813 36.0000000000
1832 37.0000000000
3061 39.0000000000
3064 40.0000000000
3087 41.0000000000
3111 42.0000000000
3137 43.0000000000
3475 44.0000000000
3494 45.0000000000
3517 46.0000000000
3541 47.0000000000
3567 48.0000000000
6121 50.0000000000
6138 51.0000000000
6165 52.0000000000
6195 53.0000000000
6994 54.0000000000
7024 55.0000000000
8354 56.0000000000
10711 57.0000000000
10743 58.0000000000
10775 59.0000000000
10808 60.0000000000
14043 61.0000000000
15299 62.0000000000
17615 63.0000000000
21808 64.0000000000
22429 65.0000000000
22836 66.0000000000
32729 67.0000000000
34215 68.0000000000
34259 69.0000000000
42833 70.0000000000
42935 71.0000000000
45690 72.0000000000
55355 73.0000000000
66838 74.0000000000
66874 75.0000000000
73530 76.0000000000
79921 77.0000000000
95948 78.0000000000
98506 79.0000000000
100991 69.0000000000
evaluations raw_y
1 4.0000000000
3 5.0000000000
5 6.0000000000
8 7.0000000000
12 8.0000000000
17 9.0000000000
23 10.0000000000
30 11.0000000000
38 12.0000000000
47 13.0000000000
57 14.0000000000
68 15.0000000000
80 16.0000000000
93 17.0000000000
475 18.0000000000
487 19.0000000000
500 20.0000000000
1118 21.0000000000
1531 23.0000000000
1545 24.0000000000
1560 25.0000000000
1576 26.0000000000
1593 27.0000000000
1611 28.0000000000
1630 29.0000000000
1703 30.0000000000
1722 31.0000000000
1823 32.0000000000
3061 34.0000000000
3066 35.0000000000
3075 36.0000000000
3096 37.0000000000
3118 38.0000000000
3141 39.0000000000
3332 40.0000000000
3356 41.0000000000
3726 42.0000000000
3749 43.0000000000
3773 44.0000000000
6121 46.0000000000
6147 47.0000000000
6173 48.0000000000
6201 49.0000000000
6686 50.0000000000
6712 51.0000000000
6813 52.0000000000
7941 53.0000000000
10499 54.0000000000
11720 55.0000000000
11820 56.0000000000
14068 57.0000000000
21421 58.0000000000
21456 59.0000000000
21491 60.0000000000
22919 61.0000000000
24108 62.0000000000
24143 63.0000000000
27725 64.0000000000
40328 65.0000000000
40366 66.0000000000
48019 67.0000000000
53839 68.0000000000
54247 69.0000000000
63125 70.0000000000
64820 71.0000000000
64867 72.0000000000
75146 73.0000000000
78642 74.0000000000
86641 75.0000000000
86693 76.0000000000
87543 77.0000000000
87595 78.0000000000
99451 79.0000000000
99512 80.0000000000
100991 73.0000000000
evaluations raw_y
1 5.0000000000
3 6.0000000000
5 7.0000000000
8 8.0000000000
13 9.0000000000
19 10.0000000000
26 11.0000000000
34 12.0000000000
43 13.0000000000
53 14.0000000000
64 15.0000000000
76 16.0000000000
89 17.0000000000
183 18.0000000000
197 19.0000000000
1324 20.0000000000
1538 21.0000000000
1553 22.0000000000
1569 23.0000000000
1586 24.0000000000
1604 25.0000000000
1623 26.0000000000
1732 27.0000000000
1802 28.0000000000
1821 29.0000000000
1989 30.0000000000
2009 31.0000000000
2031 32.0000000000
3061 35.0000000000
3085 36.0000000000
3109 37.0000000000
3135 38.0000000000
3162 39.0000000000
3468 40.0000000000
5889 41.0000000000
6559 42.0000000000
6589 43.0000000000
6620 44.0000000000
7841 45.0000000000
8221 46.0000000000
8252 47.0000000000
10784 48.0000000000
10813 49.0000000000
10847 50.0000000000
10882 51.0000000000
17377 52.0000000000
17413 53.0000000000
25179 54.0000000000
28458 55.0000000000
32350 56.0000000000
32389 57.0000000000
32430 58.0000000000
39048 59.0000000000
47734 60.0000000000
48111 61.0000000000
49670 62.0000000000
56813 63.0000000000
58029 64.0000000000
65891 65.0000000000
66194 66.0000000000
79575 67.0000000000
79627 68.0000000000
82126 69.0000000000
82178 70.0000000000
93331 71.0000000000
93341 72.0000000000
93386 73.0000000000
100991 66.0000000000
evaluations raw_y
1 7.0000000000
3 8.0000000000
5 9.0000000000
8 10.0000000000
12 11.0000000000
17 12.0000000000
23 13.0000000000
30 14.0000000000
38 15.0000000000
47 16.0000000000
57 17.0000000000
68 18.0000000000
80 19.0000000000
93 20.0000000000
183 21.0000000000
197 22.0000000000
1531 26.0000000000
1547 27.0000000000
1563 28.0000000000
1580 29.0000000000
1599 30.0000000000
1619 31.0000000000
1933 32.0000000000
2644 33.0000000000
3061 36.0000000000
3084 37.0000000000
3108 38.0000000000
3134 39.0000000000
3161 40.0000000000
3748 41.0000000000
3801 42.0000000000
3825 43.0000000000
3851 44.0000000000
6121 47.0000000000
6149 48.0000000000
6177 49.0000000000
6207 50.0000000000
6304 51.0000000000
9664 52.0000000000
10756 53.0000000000
10786 54.0000000000
11724 55.0000000000
12612 56.0000000000
12645 57.0000000000
16903 58.0000000000
20157 59.0000000000
20194 60.0000000000
22989 61.0000000000
23027 62.0000000000
30190 63.0000000000
32521 64.0000000000
34675 65.0000000000
36823 66.0000000000
36865 67.0000000000
36907 68.0000000000
47622 69.0000000000
48093 70.0000000000
48138 71.0000000000
60433 72.0000000000
60481 73.0000000000
61912 74.0000000000
73194 75.0000000000
83092 76.0000000000
97920 77.0000000000
98791 78.0000000000
100729 79.0000000000
100991 72.0000000000
evaluations raw_y
1 4.0000000000
3 5.0000000000
5 6.0000000000
8 7.0000000000
12 8.0000000000
17 9.0000000000
23 10.0000000000
30 11.0000000000
38 12.0000000000
47 13.0000000000
57 14.0000000000
68 15.0000000000
80 16.0000000000
93 17.0000000000
143 18.0000000000
153 19.0000000000
164 20.0000000000
176 21.0000000000
189 22.0000000000
203 23.0000000000
1531 29.0000000000
1547 30.0000000000
1564 31.0000000000
1582 32.0000000000
1601 33.0000000000
1621 34.0000000000
2640 35.0000000000
3061 37.0000000000
3077 38.0000000000
3097 39.0000000000
3118 40.0000000000
3144 41.0000000000
3358 42.0000000000
3549 43.0000000000
6181 44.0000000000
6209 45.0000000000
6332 46.0000000000
6342 47.0000000000
6356 48.0000000000
