evaluations raw_y
1 -6.0000000000
13 -5.0000000000
43 -4.0000000000
88 -3.0000000000
817 3.0000000000
822 4.0000000000
838 5.0000000000
871 6.0000000000
1910 7.0000000000
12036 8.0000000000
23237 9.0000000000
44119 10.0000000000
44166 9.0000000000
evaluations raw_y
1 -15.0000000000
4 -14.0000000000
19 -13.0000000000
46 -4.0000000000
75 5.0000000000
96 6.0000000000
357 7.0000000000
405 8.0000000000
20859 9.0000000000
31064 10.0000000000
31110 -29.0000000000
evaluations raw_y
1 -14.0000000000
11 -5.0000000000
15 -4.0000000000
45 5.0000000000
72 6.0000000000
1791 7.0000000000
1832 8.0000000000
78687 9.0000000000
100991 -146.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
16 3.0000000000
41 4.0000000000
79 5.0000000000
385 6.0000000000
3273 7.0000000000
3282 8.0000000000
12031 9.0000000000
100991 -59.0000000000
evaluations raw_y
1 -53.0000000000
5 -34.0000000000
7 -33.0000000000
22 -32.0000000000
50 -13.0000000000
71 -12.0000000000
315 -7.0000000000
321 2.0000000000
332 3.0000000000
355 4.0000000000
390 5.0000000000
588 6.0000000000
1115 7.0000000000
7133 8.0000000000
17512 9.0000000000
100991 -155.0000000000
evaluations raw_y
1 -35.0000000000
5 -34.0000000000
23 -15.0000000000
38 -14.0000000000
65 -5.0000000000
95 -4.0000000000
205 2.0000000000
219 3.0000000000
244 4.0000000000
286 5.0000000000
1285 6.0000000000
1942 7.0000000000
2012 8.0000000000
4795 9.0000000000
100991 -118.0000000000
evaluations raw_y
1 -25.0000000000
3 -24.0000000000
21 5.0000000000
34 6.0000000000
94 7.0000000000
3637 8.0000000000
6603 9.0000000000
100991 -98.0000000000
evaluations raw_y
1 -53.0000000000
4 -34.0000000000
10 -33.0000000000
21 -24.0000000000
35 -15.0000000000
46 -14.0000000000
75 -13.0000000000
105 5.0000000000
119 6.0000000000
152 7.0000000000
2124 8.0000000000
10279 9.0000000000
100991 -59.0000000000
evaluations raw_y
1 -120.0000000000
5 -119.0000000000
23 -100.0000000000
43 -99.0000000000
67 -70.0000000000
93 -51.0000000000
205 -44.0000000000
207 -43.0000000000
222 -24.0000000000
238 -15.0000000000
257 -14.0000000000
279 -5.0000000000
446 3.0000000000
478 4.0000000000
984 5.0000000000
1093 6.0000000000
1182 7.0000000000
2243 8.0000000000
16095 9.0000000000
29872 10.0000000000
29886 -19.0000000000
evaluations raw_y
1 4.0000000000
6 5.0000000000
33 6.0000000000
73 7.0000000000
2312 8.0000000000
100991 -89.0000000000
