evaluations raw_y
1 -0.5139440523
4 -0.5068261964
12 -0.5033466419
19 -0.5007151115
31 -0.4898396394
44 -0.4819907046
51 -0.4811888636
69 -0.4692112586
88 -0.4668698031
164 -0.4666268883
183 -0.4642854329
474 -0.4619645704
496 -0.4596851220
546 -0.4595885342
565 -0.4572470788
586 -0.4493273986
592 -0.4470656120
1100 -0.4429725338
1122 -0.4406930854
94719 -0.4398990056
94736 -0.4359516983
94754 -0.4331299330
100991 -0.4835935118
evaluations raw_y
1 -0.4918095279
6 -0.4916422006
14 -0.4881626461
21 -0.4855311157
31 -0.4801321738
43 -0.4693144736
56 -0.4666510980
63 -0.4658492570
81 -0.4538716519
100 -0.4515301965
361 -0.4417108165
380 -0.4393693610
402 -0.4370899126
1506 -0.4362558067
1528 -0.4339763583
100991 -0.5305203366
evaluations raw_y
1 -0.5233627503
3 -0.5228919230
6 -0.5211205440
11 -0.5142530324
19 -0.5107734779
28 -0.5095126819
40 -0.4986372098
56 -0.4921038067
74 -0.4766115849
93 -0.4742701295
204 -0.4741835397
237 -0.4639401074
256 -0.4615986520
278 -0.4593192036
301 -0.4571140891
594 -0.4521190417
600 -0.4498572550
1386 -0.4487579565
1406 -0.4434383206
1428 -0.4411588722
13948 -0.4374646692
13970 -0.4351020484
38741 -0.4348848597
38758 -0.4345532857
45657 -0.4282765551
45672 -0.4243678906
45689 -0.4204205833
51291 -0.4203780872
51506 -0.4190562826
53699 -0.4095115982
53714 -0.4058250395
53731 -0.4018777322
53823 -0.3991797142
53840 -0.3952324069
54350 -0.3933033627
100991 -0.4453207526
evaluations raw_y
1 -0.4995639424
9 -0.4948690149
17 -0.4913894603
29 -0.4805139883
45 -0.4789924499
63 -0.4670148448
82 -0.4646733894
102 -0.4593537536
350 -0.4518058985
369 -0.4494644430
389 -0.4491845271
685 -0.4480422336
707 -0.4457627852
3857 -0.4455146834
3874 -0.4415673761
16258 -0.4414481958
16273 -0.4393062142
16296 -0.4371010998
21606 -0.4357388713
21624 -0.4311762933
100991 -0.4760400783
evaluations raw_y
1 -0.4839976623
6 -0.4838303349
14 -0.4803507804
26 -0.4694753083
45 -0.4671338529
67 -0.4648544045
90 -0.4626492901
289 -0.4605058962
434 -0.4570904837
448 -0.4540975021
463 -0.4519555204
481 -0.4399779154
500 -0.4376364600
100991 -0.5224765724
evaluations raw_y
1 -0.5158031831
6 -0.5156358558
13 -0.5109409282
21 -0.5074613737
33 -0.4965859016
47 -0.4935929199
65 -0.4816153149
84 -0.4792738594
181 -0.4685879599
200 -0.4662465044
346 -0.4602140437
365 -0.4578725883
386 -0.4499529081
392 -0.4476911215
1557 -0.4468721850
1566 -0.4419406865
1577 -0.4416507481
1581 -0.4411706281
1593 -0.4309935135
1608 -0.4270848490
1625 -0.4231375417
2688 -0.4216427568
2699 -0.4213528184
2703 -0.4208726984
2718 -0.4171861397
2735 -0.4132388324
2753 -0.4104170670
100991 -0.4764050182
evaluations raw_y
1 -0.5041470889
5 -0.5023757099
9 -0.5022083826
16 -0.4995768522
28 -0.4887013802
41 -0.4808524453
48 -0.4800506043
66 -0.4680729993
85 -0.4657315438
261 -0.4591951458
280 -0.4568536904
302 -0.4545742420
453 -0.4531222021
475 -0.4508427537
498 -0.4486376392
1167 -0.4466033683
1186 -0.4442619129
1208 -0.4419824645
100991 -0.5079207348
evaluations raw_y
1 -0.5012886915
6 -0.5011213641
14 -0.4969150195
26 -0.4860395475
44 -0.4740619424
63 -0.4717204870
85 -0.4694410386
161 -0.4687214546
180 -0.4663799992
202 -0.4641005508
471 -0.4634951645
492 -0.4555754844
498 -0.4533136977
945 -0.4529779751
964 -0.4506365196
986 -0.4483570712
1009 -0.4461519568
3449 -0.4440375127
8251 -0.4434219096
8533 -0.4432139365
8550 -0.4428823624
8568 -0.4309047574
13446 -0.4302526350
13463 -0.4263053277
17126 -0.4168281391
32623 -0.4157509186
100991 -0.4937822944
evaluations raw_y
1 -0.4682537651
6 -0.4680864378
12 -0.4658246511
20 -0.4623450966
32 -0.4514696246
51 -0.4491281691
73 -0.4468487207
96 -0.4446436063
1728 -0.4425101194
3196 -0.4395167021
3213 -0.4391851281
3231 -0.4384922767
3260 -0.4357895214
7241 -0.4347328325
10955 -0.4330602579
10970 -0.4309182763
10987 -0.4305867023
31082 -0.4303152625
31097 -0.4279511752
49010 -0.4261280972
49025 -0.4224415384
49044 -0.4179276508
78409 -0.4097326344
78424 -0.4073685470
100991 -0.4933298075
evaluations raw_y
1 -0.4968910140
6 -0.4967236867
12 -0.4944619001
20 -0.4909823456
32 -0.4801068735
50 -0.4681292684
69 -0.4657878130
91 -0.4635083646
142 -0.4596375929
164 -0.4573581445
187 -0.4551530300
333 -0.4544871764
351 -0.4442503839
370 -0.4419089284
393 -0.4397038140
4273 -0.4362537466
6175 -0.4360725556
6192 -0.4357409816
6217 -0.4337845182
6454 -0.4327152138
6471 -0.4323836398
6498 -0.4316875890
6527 -0.4289848337
12852 -0.4285422400
18552 -0.4274579699
18654 -0.4260903242
49873 -0.4250512796
100991 -0.5057435677
