evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
8 3.0000000000
12 4.0000000000
17 5.0000000000
23 6.0000000000
30 8.0000000000
39 9.0000000000
49 10.0000000000
60 11.0000000000
72 12.0000000000
85 13.0000000000
99 14.0000000000
1548 15.0000000000
1564 16.0000000000
1581 17.0000000000
1599 18.0000000000
1618 19.0000000000
1911 20.0000000000
1932 21.0000000000
2136 22.0000000000
3091 23.0000000000
3115 24.0000000000
3140 25.0000000000
3260 26.0000000000
4992 27.0000000000
6203 28.0000000000
6410 29.0000000000
7233 30.0000000000
8354 31.0000000000
10499 32.0000000000
10912 34.0000000000
12444 35.0000000000
15166 36.0000000000
17006 37.0000000000
18257 38.0000000000
21297 39.0000000000
24565 40.0000000000
25977 41.0000000000
32419 42.0000000000
32531 43.0000000000
36399 44.0000000000
42115 45.0000000000
44463 46.0000000000
50993 47.0000000000
56455 48.0000000000
56504 49.0000000000
57321 50.0000000000
67800 51.0000000000
69559 52.0000000000
75133 53.0000000000
80679 54.0000000000
86893 55.0000000000
90328 56.0000000000
97399 57.0000000000
100991 8.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
6 3.0000000000
10 4.0000000000
15 5.0000000000
21 7.0000000000
29 9.0000000000
39 10.0000000000
50 11.0000000000
62 12.0000000000
75 13.0000000000
89 14.0000000000
1549 15.0000000000
1565 16.0000000000
1582 17.0000000000
1600 18.0000000000
1619 19.0000000000
2030 20.0000000000
3088 22.0000000000
3111 23.0000000000
3135 24.0000000000
3160 25.0000000000
3767 27.0000000000
6208 28.0000000000
6324 30.0000000000
6516 31.0000000000
8764 32.0000000000
10889 34.0000000000
12108 35.0000000000
16931 36.0000000000
17136 37.0000000000
19967 38.0000000000
25246 40.0000000000
25287 41.0000000000
29359 42.0000000000
32421 43.0000000000
33441 44.0000000000
40183 45.0000000000
42329 46.0000000000
43044 47.0000000000
49356 48.0000000000
50589 49.0000000000
57935 51.0000000000
60471 52.0000000000
61254 53.0000000000
66458 55.0000000000
76488 56.0000000000
77607 58.0000000000
83331 59.0000000000
90332 60.0000000000
98730 61.0000000000
100991 8.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
8 3.0000000000
12 4.0000000000
17 5.0000000000
23 6.0000000000
30 7.0000000000
38 8.0000000000
47 9.0000000000
57 10.0000000000
68 11.0000000000
80 12.0000000000
93 13.0000000000
193 14.0000000000
1547 15.0000000000
1563 16.0000000000
1580 17.0000000000
1598 20.0000000000
1619 21.0000000000
3085 22.0000000000
3108 23.0000000000
3132 24.0000000000
3157 25.0000000000
5196 26.0000000000
6175 27.0000000000
6203 28.0000000000
6611 29.0000000000
7711 30.0000000000
7742 31.0000000000
11417 32.0000000000
12335 33.0000000000
12545 34.0000000000
13049 35.0000000000
17844 36.0000000000
18639 37.0000000000
21089 38.0000000000
21195 39.0000000000
26599 40.0000000000
27941 41.0000000000
31108 42.0000000000
36786 43.0000000000
37026 44.0000000000
40657 45.0000000000
41707 46.0000000000
47727 48.0000000000
50743 49.0000000000
50793 50.0000000000
61798 51.0000000000
65042 52.0000000000
75433 53.0000000000
75740 54.0000000000
85737 55.0000000000
87506 57.0000000000
97911 58.0000000000
100991 0.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
6 3.0000000000
10 4.0000000000
15 5.0000000000
21 6.0000000000
28 7.0000000000
36 8.0000000000
45 9.0000000000
55 10.0000000000
66 11.0000000000
78 12.0000000000
91 13.0000000000
190 14.0000000000
1559 16.0000000000
1576 17.0000000000
1594 18.0000000000
1613 19.0000000000
1716 20.0000000000
2032 22.0000000000
3085 23.0000000000
3109 24.0000000000
3134 25.0000000000
3160 26.0000000000
3648 27.0000000000
6187 28.0000000000
6216 30.0000000000
6316 32.0000000000
8256 33.0000000000
10783 34.0000000000
11801 35.0000000000
12540 36.0000000000
14047 37.0000000000
16052 38.0000000000
16091 40.0000000000
21609 41.0000000000
23137 43.0000000000
27727 44.0000000000
29275 45.0000000000
29322 46.0000000000
29369 47.0000000000
36822 48.0000000000
40491 49.0000000000
41817 50.0000000000
49936 51.0000000000
53539 52.0000000000
58704 53.0000000000
62786 54.0000000000
72303 55.0000000000
75578 56.0000000000
82780 58.0000000000
94028 59.0000000000
95337 60.0000000000
100991 8.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
8 3.0000000000
12 4.0000000000
17 5.0000000000
23 6.0000000000
30 7.0000000000
38 8.0000000000
47 9.0000000000
57 10.0000000000
68 11.0000000000
80 12.0000000000
93 13.0000000000
199 14.0000000000
1547 15.0000000000
1563 16.0000000000
1580 17.0000000000
1598 18.0000000000
1617 19.0000000000
2542 20.0000000000
3095 21.0000000000
3117 22.0000000000
3140 23.0000000000
3236 25.0000000000
3262 26.0000000000
3538 27.0000000000
3566 28.0000000000
6155 29.0000000000
6185 30.0000000000
6216 31.0000000000
6621 32.0000000000
10777 33.0000000000
10811 34.0000000000
11081 35.0000000000
11117 36.0000000000
16869 37.0000000000
16907 38.0000000000
21620 39.0000000000
