evaluations raw_y
1 319.0000000000
3 320.0000000000
5 322.0000000000
8 325.0000000000
12 329.0000000000
17 334.0000000000
23 340.0000000000
30 347.0000000000
38 355.0000000000
47 364.0000000000
57 374.0000000000
69 386.0000000000
82 399.0000000000
96 413.0000000000
153 421.0000000000
164 432.0000000000
176 444.0000000000
189 457.0000000000
203 471.0000000000
1113 480.0000000000
1531 596.0000000000
1535 599.0000000000
1549 613.0000000000
1564 628.0000000000
1580 644.0000000000
1597 661.0000000000
1615 679.0000000000
1633 711.0000000000
1646 723.0000000000
1660 737.0000000000
1675 752.0000000000
1691 768.0000000000
1708 785.0000000000
1726 803.0000000000
1735 842.0000000000
1750 856.0000000000
1765 871.0000000000
1782 888.0000000000
1800 906.0000000000
1819 925.0000000000
2751 939.0000000000
3061 1115.0000000000
3063 1116.0000000000
3084 1137.0000000000
3106 1159.0000000000
3129 1182.0000000000
3154 1207.0000000000
3459 1226.0000000000
3571 1311.0000000000
3575 1314.0000000000
3580 1319.0000000000
3596 1335.0000000000
3617 1356.0000000000
3639 1378.0000000000
3662 1401.0000000000
4591 1465.0000000000
4617 1490.0000000000
4643 1516.0000000000
4670 1543.0000000000
4693 1545.0000000000
4719 1570.0000000000
4745 1596.0000000000
4772 1623.0000000000
4804 1625.0000000000
4829 1650.0000000000
4855 1676.0000000000
4882 1703.0000000000
7651 1797.0000000000
7680 1825.0000000000
7709 1854.0000000000
7739 1884.0000000000
11590 1904.0000000000
11626 1940.0000000000
16563 1977.0000000000
16602 2016.0000000000
17749 2018.0000000000
17787 2055.0000000000
17826 2094.0000000000
19973 2097.0000000000
20034 2134.0000000000
20075 2175.0000000000
20891 2186.0000000000
22994 2228.0000000000
23037 2271.0000000000
25340 2275.0000000000
25383 2318.0000000000
25485 2347.0000000000
26101 2360.0000000000
27484 2371.0000000000
27529 2416.0000000000
29118 2462.0000000000
29165 2509.0000000000
32124 2557.0000000000
32229 2606.0000000000
33761 2656.0000000000
35803 2704.0000000000
35854 2754.0000000000
36977 2789.0000000000
38405 2805.0000000000
41466 2857.0000000000
42841 2870.0000000000
42894 2922.0000000000
44425 2964.0000000000
44935 2994.0000000000
47588 3048.0000000000
49527 3103.0000000000
49934 3128.0000000000
50955 3183.0000000000
53609 3240.0000000000
55751 3242.0000000000
56671 3299.0000000000
56815 3325.0000000000
56875 3384.0000000000
59732 3444.0000000000
60283 3460.0000000000
60344 3520.0000000000
62794 3582.0000000000
65855 3645.0000000000
68917 3710.0000000000
70346 3776.0000000000
71979 3843.0000000000
73849 3869.0000000000
73917 3936.0000000000
76060 4004.0000000000
76877 4073.0000000000
78541 4082.0000000000
78611 4151.0000000000
80244 4221.0000000000
81469 4292.0000000000
83102 4364.0000000000
84226 4438.0000000000
85759 4515.0000000000
87291 4594.0000000000
88926 4676.0000000000
90355 4759.0000000000
91896 4853.0000000000
93429 4950.0000000000
94962 5050.0000000000
evaluations raw_y
1 183.0000000000
3 184.0000000000
5 186.0000000000
8 189.0000000000
12 193.0000000000
17 198.0000000000
23 204.0000000000
30 211.0000000000
38 219.0000000000
47 228.0000000000
57 238.0000000000
69 250.0000000000
82 263.0000000000
96 277.0000000000
103 394.0000000000
106 396.0000000000
109 399.0000000000
113 403.0000000000
118 408.0000000000
124 414.0000000000
131 421.0000000000
139 429.0000000000
148 438.0000000000
158 448.0000000000
169 459.0000000000
181 471.0000000000
194 484.0000000000
488 488.0000000000
501 501.0000000000
715 661.0000000000
717 662.0000000000
719 664.0000000000
722 667.0000000000
726 671.0000000000
731 676.0000000000
737 682.0000000000
744 689.0000000000
752 697.0000000000
761 706.0000000000
771 716.0000000000
782 727.0000000000
794 739.0000000000
807 752.0000000000
1531 901.0000000000
1534 903.0000000000
1546 915.0000000000
1560 929.0000000000
1575 944.0000000000
1591 960.0000000000
1608 977.0000000000
1626 995.0000000000
1714 1004.0000000000
1733 1023.0000000000
1963 1030.0000000000
1979 1046.0000000000
1996 1063.0000000000
2014 1081.0000000000
2033 1100.0000000000
3061 1173.0000000000
3082 1193.0000000000
3103 1214.0000000000
3125 1236.0000000000
3148 1259.0000000000
3673 1313.0000000000
3695 1334.0000000000
3717 1356.0000000000
3740 1379.0000000000
3764 1403.0000000000
3873 1405.0000000000
4999 1409.0000000000
5020 1429.0000000000
5041 1450.0000000000
5063 1472.0000000000
5086 1495.0000000000
8517 1496.0000000000
8543 1522.0000000000
12473 1549.0000000000
12501 1577.0000000000
12531 1607.0000000000
14064 1638.0000000000
16101 1640.0000000000
16895 1670.0000000000
16928 1703.0000000000
17303 1718.0000000000
17336 1751.0000000000
18254 1781.0000000000
18765 1815.0000000000
21491 1850.0000000000
22374 1858.0000000000
22409 1893.0000000000
23635 1929.0000000000
26085 1966.0000000000
26519 2004.0000000000
27541 2005.0000000000
27579 2042.0000000000
27617 2080.0000000000
30682 2084.0000000000
30845 2092.0000000000
30886 2133.0000000000
33232 2160.0000000000
33748 2170.0000000000
34375 2183.0000000000
34418 2225.0000000000
34462 2269.0000000000
37175 2314.0000000000
37221 2360.0000000000
39931 2407.0000000000
39979 2455.0000000000
42891 2504.0000000000
42941 2554.0000000000
43809 2601.0000000000
43859 2651.0000000000
