evaluations raw_y
1 5.6000000000
2 7.0000000000
3 8.6000000000
19 8.8000000000
23 9.0000000000
30 9.2000000000
40 9.4000000000
53 9.6000000000
118 10.0000000000
233 10.2000000000
260 10.4000000000
264 11.4000000000
277 11.6000000000
280 11.8000000000
285 12.0000000000
291 12.2000000000
298 12.4000000000
307 12.6000000000
359 12.8000000000
370 13.0000000000
383 13.2000000000
412 13.6000000000
423 13.8000000000
435 14.0000000000
448 14.2000000000
472 14.4000000000
474 14.6000000000
477 14.8000000000
523 17.0000000000
537 17.2000000000
540 17.4000000000
544 17.6000000000
549 17.8000000000
755 18.0000000000
769 18.2000000000
1220 18.4000000000
1234 18.6000000000
2845 18.8000000000
7977 19.0000000000
13605 19.4000000000
30145 20.0000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
3 7.6000000000
9 8.0000000000
18 8.2000000000
23 8.4000000000
31 8.6000000000
43 8.8000000000
57 9.0000000000
118 9.2000000000
129 9.4000000000
203 10.8000000000
212 11.0000000000
215 11.2000000000
219 11.4000000000
224 11.6000000000
236 11.8000000000
249 12.0000000000
400 12.6000000000
409 12.8000000000
413 13.0000000000
418 13.2000000000
429 13.4000000000
443 13.6000000000
460 14.4000000000
479 14.6000000000
488 14.8000000000
498 15.0000000000
531 16.4000000000
547 16.6000000000
559 16.8000000000
573 17.0000000000
732 17.2000000000
735 17.4000000000
739 17.6000000000
744 17.8000000000
760 18.0000000000
777 18.2000000000
1172 19.0000000000
8642 19.2000000000
10387 20.0000000000
10400 19.0000000000
evaluations raw_y
1 5.6000000000
3 6.4000000000
4 7.0000000000
5 7.4000000000
13 7.6000000000
15 8.0000000000
19 8.2000000000
25 8.4000000000
32 8.6000000000
40 8.8000000000
50 9.0000000000
61 9.2000000000
98 9.4000000000
111 9.6000000000
125 9.8000000000
201 10.2000000000
203 11.8000000000
219 12.0000000000
228 12.2000000000
239 12.4000000000
251 12.6000000000
265 14.0000000000
278 14.2000000000
281 14.4000000000
285 14.6000000000
296 14.8000000000
308 15.0000000000
321 15.2000000000
412 15.4000000000
419 15.6000000000
428 15.8000000000
438 16.0000000000
454 16.2000000000
591 18.0000000000
602 18.2000000000
604 18.4000000000
607 18.6000000000
612 18.8000000000
633 19.0000000000
2866 19.2000000000
2877 19.4000000000
2879 19.6000000000
2884 19.8000000000
21134 20.0000000000
evaluations raw_y
1 6.4000000000
4 7.0000000000
5 7.2000000000
6 7.8000000000
7 8.0000000000
17 8.2000000000
20 8.4000000000
25 8.6000000000
31 8.8000000000
38 9.0000000000
46 9.2000000000
57 9.4000000000
74 10.2000000000
83 10.4000000000
89 10.6000000000
101 10.8000000000
114 11.0000000000
129 11.2000000000
277 11.4000000000
283 11.6000000000
290 11.8000000000
298 12.0000000000
307 12.2000000000
319 12.4000000000
397 13.4000000000
418 13.6000000000
432 13.8000000000
447 14.0000000000
507 14.2000000000
530 15.4000000000
543 15.6000000000
551 15.8000000000
560 16.0000000000
576 16.2000000000
662 17.0000000000
672 17.2000000000
680 17.4000000000
689 17.6000000000
699 17.8000000000
710 18.0000000000
809 18.2000000000
959 18.4000000000
2125 18.6000000000
2138 18.8000000000
5362 19.0000000000
10475 19.2000000000
27080 19.4000000000
60661 20.0000000000
evaluations raw_y
1 7.0000000000
4 7.2000000000
9 7.8000000000
13 8.8000000000
17 9.0000000000
20 9.2000000000
26 9.4000000000
34 9.6000000000
44 9.8000000000
55 10.0000000000
251 10.2000000000
271 11.0000000000
275 11.4000000000
278 11.6000000000
281 11.8000000000
285 12.0000000000
301 12.2000000000
320 12.4000000000
378 12.6000000000
409 12.8000000000
413 13.0000000000
418 13.2000000000
424 13.4000000000
431 13.6000000000
439 13.8000000000
449 14.0000000000
461 15.2000000000
472 15.4000000000
475 15.6000000000
479 15.8000000000
495 16.8000000000
595 17.0000000000
617 17.2000000000
634 17.4000000000
859 18.0000000000
882 18.2000000000
904 18.4000000000
4214 18.6000000000
4387 19.0000000000
8048 20.0000000000
8060 19.0000000000
evaluations raw_y
1 8.2000000000
6 9.8000000000
23 10.0000000000
33 10.2000000000
44 10.4000000000
57 10.6000000000
242 10.8000000000
259 11.0000000000
279 11.2000000000
282 11.4000000000
286 11.6000000000
293 11.8000000000
303 12.0000000000
314 12.2000000000
337 14.0000000000
350 14.2000000000
360 14.4000000000
386 14.6000000000
522 15.0000000000
525 19.2000000000
4459 19.4000000000
4472 19.6000000000
5013 20.0000000000
5063 19.0000000000
evaluations raw_y
1 5.6000000000
2 7.0000000000
3 7.2000000000
8 9.0000000000
23 9.2000000000
38 9.4000000000
55 9.6000000000
75 10.2000000000
84 10.4000000000
90 10.6000000000
101 10.8000000000
120 11.0000000000
244 11.2000000000
260 11.4000000000
275 11.6000000000
