evaluations raw_y
1 1.4310246136
12 1.4801657786
16 1.5033072760
41 1.7088174983
323 1.8670649739
452 2.2104332449
729 2.2542831380
898 2.2914757104
1013 2.3969319271
1106 2.5746652935
1146 2.6399155227
1225 2.6910656620
1229 2.7932960894
1264 2.8702640643
1373 2.9308323564
1541 3.0303030303
1592 3.4867503487
1697 3.7936267071
1736 3.9370078740
1896 4.1597337770
2028 4.2589437819
2971 4.5871559633
100010 3.5063113604
evaluations raw_y
1 0.8167265599
2 0.9028530155
3 1.3491635186
13 1.7111567420
81 1.7373175817
234 1.7494751575
406 2.0210185934
602 2.1872265967
887 2.2789425706
1129 2.6123301985
1377 2.6680896478
1387 2.9797377831
1439 2.9868578256
1541 3.0674846626
1559 3.0826140567
1576 3.2851511170
1814 3.4199726402
2694 3.4482758621
4035 3.6284470247
24990 3.8051750381
66159 3.8520801233
100010 3.0376670717
evaluations raw_y
1 0.9248982612
2 1.2212994626
6 1.9455252918
452 2.0080321285
464 2.1459227468
465 2.1607605877
664 2.2747952684
679 2.2999080037
879 2.3474178404
1002 2.4015369837
1083 2.4108003857
1173 2.4342745862
1174 2.4975024975
1219 2.5853154085
1304 2.6968716289
1390 2.8121484814
1406 2.8184892897
1448 2.9868578256
1495 2.9940119760
1676 3.0826140567
1696 3.3467202142
1724 3.3557046980
1742 3.3921302578
1768 3.4013605442
1830 3.4674063800
1926 3.4770514604
1996 4.0518638574
100010 2.8312570781
evaluations raw_y
1 0.7805182641
2 1.0292301359
3 1.4943215780
4 1.5216068168
32 1.6393442623
98 1.6677785190
172 1.7895490336
180 1.8867924528
202 1.9607843137
474 1.9825535289
586 2.2301516503
773 2.2341376229
974 2.2381378693
1004 2.3474178404
1212 2.4201355276
1242 2.5641025641
1344 2.5799793602
1389 2.5906735751
1418 2.6399155227
1427 2.9171528588
1436 2.9308323564
1460 3.1928480204
1564 3.2509752926
1793 3.2594524120
1832 3.4013605442
1858 3.5663338088
2210 3.6818851252
2271 3.7593984962
2371 3.8402457757
2398 4.0650406504
2539 4.0783034258
53631 4.0916530278
100010 2.7322404372
evaluations raw_y
1 0.9134088418
2 1.1633317822
8 1.2722646310
11 1.3865779257
45 1.4212620807
50 1.5124016939
100 1.5403573629
103 1.5499070056
139 1.6767270288
202 1.6926201760
203 1.9127773527
392 1.9394879752
442 1.9794140934
490 2.0955574183
517 2.1240441801
595 2.1682567216
708 2.2872827081
806 2.3518344309
1070 2.5278058645
1164 2.6511134677
1197 2.7027027027
1343 2.7085590466
1351 3.0229746070
1381 3.0978934325
1631 3.1210986267
1722 3.5161744023
1825 3.6284470247
2193 3.6603221083
2221 3.9001560062
2472 4.1736227045
2510 4.2158516020
2751 4.3177892919
100010 2.9585798817
evaluations raw_y
1 0.8665511265
2 0.9061254078
7 0.9338812103
8 1.1256190905
9 1.3419216318
10 1.6589250166
92 1.8532246108
130 2.2789425706
502 2.3607176582
1057 2.4015369837
1058 2.4679170780
1090 2.6343519494
1226 2.7563395810
1349 2.8506271380
1434 2.9239766082
1600 2.9308323564
1700 2.9726516052
1716 3.0084235860
1887 3.0599755202
2017 3.2765399738
2062 3.4293552812
5991 3.4482758621
6282 3.5360678925
10291 3.5561877667
100010 2.2026431718
evaluations raw_y
1 1.0403662089
2 1.1057054401
3 1.2212994626
4 1.2285012285
15 1.2748597654
17 1.5197568389
29 1.5812776724
30 1.5954052329
40 1.6545334216
66 1.7041581459
77 1.8076644975
199 2.0145044319
302 2.1132713440
742 2.2143489814
913 2.2222222222
1017 2.4582104228
1248 2.4925224327
1348 2.5432349949
1379 2.6399155227
1407 2.8248587571
1467 2.8702640643
1477 2.8835063437
1494 3.0902348578
1501 3.0978934325
1534 3.1525851198
1591 3.2765399738
1733 3.3112582781
1759 3.6075036075
2205 3.6603221083
2275 3.8759689922
100010 3.8759689922
evaluations raw_y
1 1.0670081093
3 1.4212620807
8 1.4409221902
24 1.5460729746
50 1.5537600994
136 1.6972165648
201 1.7397355602
234 1.9577133908
385 2.0210185934
527 2.0576131687
903 2.2222222222
1089 2.3696682464
1228 2.4108003857
1257 2.5536261491
1334 2.6624068158
1397 2.7624309392
1434 2.7932960894
1442 2.8441410694
1451 3.2938076416
1668 3.3557046980
2066 3.4965034965
2315 3.5460992908
2675 3.8167938931
100010 2.2421524664
evaluations raw_y
1 1.2106537530
3 1.3850415512
10 1.3896609227
31 1.4577259475
37 1.6812373907
49 1.8754688672
451 2.0242914980
493 2.2143489814
822 2.2381378693
923 2.3255813953
1095 2.4061597690
1130 2.4201355276
1145 2.5536261491
1150 2.5746652935
1238 2.6288117771
1278 2.7027027027
1442 2.8312570781
1460 2.9308323564
1511 2.9515938607
1520 3.0674846626
1569 3.2175032175
1914 3.2765399738
1915 3.3647375505
1949 3.5663338088
2396 3.5765379113
11594 3.6075036075
11769 3.7707390649
37201 3.7936267071
42844 3.8167938931
100010 2.5227043391
evaluations raw_y
1 1.1399908801
9 1.2106537530
12 1.3462574044
29 1.3638843426
45 1.6655562958
124 1.6744809109
135 1.9952114924
274 2.2542831380
682 2.4630541872
1020 2.4975024975
1041 2.9103608847
1306 3.2258064516
1375 3.3557046980
1639 3.5663338088
1661 3.5971223022
1675 3.6390101892
1939 3.6496350365
3046 3.7037037037
18349 3.7936267071
18791 3.8759689922
18825 3.9619651347
100010 3.4867503487
