evaluations raw_y
1 51.0000000000
5 55.0000000000
10 56.0000000000
22 58.0000000000
25 59.0000000000
27 60.0000000000
34 62.0000000000
40 63.0000000000
44 64.0000000000
54 68.0000000000
104 70.0000000000
129 72.0000000000
151 73.0000000000
178 76.0000000000
188 79.0000000000
292 80.0000000000
399 81.0000000000
405 83.0000000000
442 84.0000000000
467 86.0000000000
617 87.0000000000
682 88.0000000000
712 89.0000000000
804 91.0000000000
854 92.0000000000
1015 93.0000000000
1180 94.0000000000
1230 95.0000000000
1312 97.0000000000
1414 99.0000000000
1611 100.0000000000
1622 99.0000000000
evaluations raw_y
1 42.0000000000
2 53.0000000000
9 62.0000000000
21 63.0000000000
36 67.0000000000
55 69.0000000000
96 72.0000000000
109 73.0000000000
139 74.0000000000
211 76.0000000000
261 77.0000000000
267 78.0000000000
309 79.0000000000
430 81.0000000000
495 82.0000000000
609 84.0000000000
619 87.0000000000
716 88.0000000000
854 90.0000000000
1011 91.0000000000
1068 92.0000000000
1185 94.0000000000
1288 95.0000000000
1323 96.0000000000
1368 97.0000000000
1482 98.0000000000
1619 99.0000000000
1823 100.0000000000
1838 98.0000000000
evaluations raw_y
1 45.0000000000
4 52.0000000000
7 59.0000000000
26 61.0000000000
35 62.0000000000
57 63.0000000000
58 64.0000000000
62 65.0000000000
75 66.0000000000
81 69.0000000000
97 72.0000000000
144 75.0000000000
203 78.0000000000
257 79.0000000000
332 83.0000000000
475 86.0000000000
598 87.0000000000
837 89.0000000000
850 91.0000000000
965 92.0000000000
1078 93.0000000000
1145 95.0000000000
1434 96.0000000000
1526 97.0000000000
1551 98.0000000000
1613 99.0000000000
1815 100.0000000000
1820 96.0000000000
evaluations raw_y
1 52.0000000000
3 62.0000000000
22 67.0000000000
63 71.0000000000
102 72.0000000000
107 73.0000000000
118 75.0000000000
133 76.0000000000
193 77.0000000000
250 79.0000000000
271 80.0000000000
381 81.0000000000
498 82.0000000000
536 83.0000000000
545 84.0000000000
629 87.0000000000
708 88.0000000000
725 89.0000000000
832 90.0000000000
964 91.0000000000
977 92.0000000000
1046 93.0000000000
1070 94.0000000000
1098 95.0000000000
1326 96.0000000000
1392 97.0000000000
1431 98.0000000000
1520 99.0000000000
1626 100.0000000000
1640 98.0000000000
evaluations raw_y
1 47.0000000000
2 54.0000000000
8 55.0000000000
21 56.0000000000
24 57.0000000000
25 60.0000000000
41 61.0000000000
54 62.0000000000
72 63.0000000000
88 66.0000000000
124 70.0000000000
132 71.0000000000
149 72.0000000000
165 73.0000000000
191 74.0000000000
196 76.0000000000
197 79.0000000000
249 84.0000000000
607 85.0000000000
716 87.0000000000
913 88.0000000000
939 90.0000000000
1048 91.0000000000
1126 92.0000000000
1222 93.0000000000
1348 94.0000000000
1376 95.0000000000
1428 96.0000000000
1483 97.0000000000
1599 98.0000000000
1621 99.0000000000
1699 100.0000000000
1712 96.0000000000
evaluations raw_y
1 43.0000000000
2 50.0000000000
3 52.0000000000
5 56.0000000000
11 59.0000000000
30 62.0000000000
41 64.0000000000
57 67.0000000000
93 68.0000000000
125 69.0000000000
148 72.0000000000
168 76.0000000000
209 77.0000000000
268 79.0000000000
363 80.0000000000
382 82.0000000000
490 83.0000000000
512 84.0000000000
520 85.0000000000
555 86.0000000000
654 87.0000000000
778 88.0000000000
1069 89.0000000000
1139 90.0000000000
1167 91.0000000000
1199 92.0000000000
1223 93.0000000000
1341 95.0000000000
1398 96.0000000000
1495 98.0000000000
1711 99.0000000000
1880 100.0000000000
1892 99.0000000000
evaluations raw_y
1 50.0000000000
2 57.0000000000
11 58.0000000000
21 60.0000000000
29 65.0000000000
34 66.0000000000
53 67.0000000000
80 73.0000000000
165 74.0000000000
189 75.0000000000
211 77.0000000000
278 82.0000000000
304 83.0000000000
505 84.0000000000
537 85.0000000000
763 86.0000000000
824 88.0000000000
915 89.0000000000
930 90.0000000000
1059 91.0000000000
1159 93.0000000000
1315 94.0000000000
1361 95.0000000000
1455 96.0000000000
1469 97.0000000000
1653 98.0000000000
1825 99.0000000000
2181 100.0000000000
2198 98.0000000000
evaluations raw_y
1 54.0000000000
3 59.0000000000
4 60.0000000000
35 64.0000000000
40 69.0000000000
57 71.0000000000
94 74.0000000000
174 75.0000000000
221 76.0000000000
282 77.0000000000
318 78.0000000000
399 79.0000000000
457 80.0000000000
472 82.0000000000
506 83.0000000000
623 84.0000000000
805 87.0000000000
854 88.0000000000
871 89.0000000000
902 90.0000000000
954 94.0000000000
986 95.0000000000
994 96.0000000000
1071 97.0000000000
1200 98.0000000000
1252 99.0000000000
1342 100.0000000000
1352 91.0000000000
evaluations raw_y
1 49.0000000000
3 55.0000000000
6 57.0000000000
13 58.0000000000
26 61.0000000000
46 62.0000000000
57 65.0000000000
65 68.0000000000
101 70.0000000000
113 71.0000000000
144 73.0000000000
170 75.0000000000
234 79.0000000000
315 80.0000000000
327 81.0000000000
333 82.0000000000
449 83.0000000000
513 85.0000000000
683 86.0000000000
709 87.0000000000
880 89.0000000000
915 90.0000000000
1009 91.0000000000
1197 92.0000000000
1308 93.0000000000
1325 94.0000000000
1363 96.0000000000
1389 98.0000000000
1425 99.0000000000
1543 100.0000000000
1550 99.0000000000
evaluations raw_y
1 60.0000000000
37 62.0000000000
43 63.0000000000
48 64.0000000000
58 65.0000000000
79 68.0000000000
107 70.0000000000
140 71.0000000000
151 73.0000000000
181 74.0000000000
232 76.0000000000
251 78.0000000000
284 79.0000000000
308 80.0000000000
355 81.0000000000
394 83.0000000000
528 84.0000000000
546 85.0000000000
732 87.0000000000
829 88.0000000000
916 90.0000000000
1054 91.0000000000
1158 92.0000000000
1163 93.0000000000
1262 94.0000000000
1263 95.0000000000
1412 96.0000000000
1445 97.0000000000
1507 98.0000000000
1680 99.0000000000
1846 100.0000000000
1856 97.0000000000
