evaluations raw_y
1 -1556.0000000000
2 -1478.0000000000
3 -1400.0000000000
5 -1108.0000000000
21 -934.0000000000
40 -767.0000000000
57 -680.0000000000
82 -651.0000000000
95 -544.0000000000
149 -507.0000000000
170 -476.0000000000
224 -467.0000000000
247 -417.0000000000
255 -379.0000000000
374 -359.0000000000
397 -331.0000000000
409 -320.0000000000
496 -291.0000000000
507 -272.0000000000
604 -223.0000000000
701 -184.0000000000
710 -155.0000000000
721 -137.0000000000
801 -127.0000000000
947 -109.0000000000
987 -71.0000000000
1151 -70.0000000000
1183 -60.0000000000
1220 -52.0000000000
1234 -41.0000000000
1418 -13.0000000000
1446 -4.0000000000
1557 6.0000000000
1711 7.0000000000
1750 8.0000000000
40321 9.0000000000
100010 -69.0000000000
evaluations raw_y
1 -1391.0000000000
3 -1351.0000000000
4 -1274.0000000000
8 -1186.0000000000
16 -1040.0000000000
20 -1001.0000000000
34 -962.0000000000
39 -875.0000000000
53 -835.0000000000
65 -816.0000000000
80 -738.0000000000
86 -680.0000000000
120 -583.0000000000
164 -563.0000000000
191 -505.0000000000
198 -437.0000000000
205 -408.0000000000
246 -281.0000000000
285 -223.0000000000
397 -214.0000000000
446 -206.0000000000
586 -196.0000000000
681 -186.0000000000
705 -157.0000000000
771 -128.0000000000
840 -90.0000000000
944 -81.0000000000
977 -71.0000000000
1040 -70.0000000000
1045 -52.0000000000
1108 -41.0000000000
1230 -32.0000000000
1251 -3.0000000000
1492 4.0000000000
1537 6.0000000000
1610 7.0000000000
1843 8.0000000000
43566 9.0000000000
100010 9.0000000000
evaluations raw_y
1 -1021.0000000000
29 -972.0000000000
33 -943.0000000000
34 -904.0000000000
59 -836.0000000000
95 -787.0000000000
116 -738.0000000000
135 -660.0000000000
186 -641.0000000000
187 -544.0000000000
215 -534.0000000000
224 -408.0000000000
269 -389.0000000000
343 -351.0000000000
381 -313.0000000000
438 -272.0000000000
457 -264.0000000000
582 -263.0000000000
631 -215.0000000000
743 -186.0000000000
781 -185.0000000000
834 -166.0000000000
850 -156.0000000000
908 -137.0000000000
969 -127.0000000000
1002 -108.0000000000
1053 -22.0000000000
1348 -21.0000000000
1491 -20.0000000000
1519 -11.0000000000
1534 -2.0000000000
1778 7.0000000000
1854 8.0000000000
2004 9.0000000000
33336 10.0000000000
33338 -59.0000000000
evaluations raw_y
1 -1449.0000000000
3 -1059.0000000000
30 -1001.0000000000
40 -992.0000000000
41 -991.0000000000
60 -943.0000000000
75 -913.0000000000
81 -709.0000000000
92 -680.0000000000
125 -553.0000000000
155 -524.0000000000
225 -495.0000000000
263 -485.0000000000
305 -466.0000000000
309 -379.0000000000
333 -312.0000000000
466 -302.0000000000
490 -264.0000000000
569 -186.0000000000
665 -177.0000000000
696 -157.0000000000
713 -148.0000000000
987 -128.0000000000
1006 -119.0000000000
1037 -42.0000000000
1067 -33.0000000000
1215 -32.0000000000
1242 -23.0000000000
1267 -22.0000000000
1289 -13.0000000000
1353 -4.0000000000
1483 5.0000000000
1488 6.0000000000
1517 7.0000000000
1891 8.0000000000
24216 9.0000000000
100010 -20.0000000000
evaluations raw_y
1 -942.0000000000
43 -933.0000000000
46 -894.0000000000
50 -796.0000000000
67 -728.0000000000
87 -622.0000000000
112 -602.0000000000
123 -563.0000000000
133 -525.0000000000
153 -514.0000000000
158 -505.0000000000
175 -379.0000000000
260 -341.0000000000
277 -282.0000000000
438 -224.0000000000
552 -194.0000000000
650 -176.0000000000
763 -166.0000000000
826 -155.0000000000
991 -147.0000000000
1009 -137.0000000000
1029 -90.0000000000
1150 -70.0000000000
1229 -69.0000000000
1257 -61.0000000000
1270 -41.0000000000
1310 -31.0000000000
1358 -22.0000000000
1453 -12.0000000000
1467 5.0000000000
1491 6.0000000000
1577 8.0000000000
2509 9.0000000000
100010 8.0000000000
evaluations raw_y
1 -1371.0000000000
2 -1342.0000000000
3 -991.0000000000
21 -962.0000000000
28 -953.0000000000
36 -893.0000000000
40 -884.0000000000
44 -866.0000000000
50 -855.0000000000
64 -835.0000000000
67 -826.0000000000
77 -690.0000000000
87 -661.0000000000
135 -641.0000000000
166 -417.0000000000
304 -388.0000000000
344 -340.0000000000
447 -283.0000000000
471 -263.0000000000
484 -138.0000000000
724 -129.0000000000
794 -72.0000000000
868 -61.0000000000
915 -51.0000000000
981 -32.0000000000
1028 -13.0000000000
1114 -5.0000000000
1267 -3.0000000000
1317 6.0000000000
1468 7.0000000000
1689 8.0000000000
29087 9.0000000000
100010 -59.0000000000
evaluations raw_y
1 -1722.0000000000
2 -1614.0000000000
3 -1420.0000000000
4 -1118.0000000000
5 -991.0000000000
39 -855.0000000000
76 -768.0000000000
87 -710.0000000000
100 -670.0000000000
138 -554.0000000000
144 -534.0000000000
224 -533.0000000000
252 -456.0000000000
290 -447.0000000000
311 -437.0000000000
340 -341.0000000000
351 -340.0000000000
415 -234.0000000000
494 -205.0000000000
586 -195.0000000000
665 -175.0000000000
713 -156.0000000000
792 -146.0000000000
856 -109.0000000000
914 -100.0000000000
989 -90.0000000000
1123 -62.0000000000
1252 -61.0000000000
1267 -33.0000000000
1307 -32.0000000000
1315 -23.0000000000
1350 -22.0000000000
1354 -4.0000000000
1365 5.0000000000
1409 7.0000000000
1467 8.0000000000
3028 9.0000000000
100010 9.0000000000
evaluations raw_y
1 -1157.0000000000
8 -1030.0000000000
25 -982.0000000000
41 -874.0000000000
52 -757.0000000000
58 -681.0000000000
118 -680.0000000000
119 -660.0000000000
122 -622.0000000000
140 -592.0000000000
160 -584.0000000000
176 -429.0000000000
237 -389.0000000000
265 -379.0000000000
289 -370.0000000000
313 -340.0000000000
340 -312.0000000000
359 -233.0000000000
501 -214.0000000000
524 -195.0000000000
629 -185.0000000000
703 -156.0000000000
794 -118.0000000000
807 -109.0000000000
932 -99.0000000000
1071 -80.0000000000
1107 -71.0000000000
1145 -62.0000000000
1163 -61.0000000000
1171 -50.0000000000
1198 -42.0000000000
1235 -22.0000000000
1308 -13.0000000000
1359 -4.0000000000
1387 -2.0000000000
1463 5.0000000000
1487 7.0000000000
1710 8.0000000000
42222 9.0000000000
100010 -10.0000000000
evaluations raw_y
1 -1653.0000000000
2 -1381.0000000000
3 -1225.0000000000
6 -1216.0000000000
11 -1186.0000000000
19 -971.0000000000
40 -961.0000000000
42 -903.0000000000
57 -874.0000000000
64 -855.0000000000
81 -699.0000000000
113 -592.0000000000
141 -563.0000000000
159 -504.0000000000
164 -485.0000000000
174 -456.0000000000
182 -437.0000000000
189 -418.0000000000
207 -417.0000000000
213 -389.0000000000
227 -378.0000000000
243 -349.0000000000
336 -331.0000000000
392 -263.0000000000
410 -244.0000000000
483 -233.0000000000
591 -204.0000000000
712 -176.0000000000
848 -157.0000000000
901 -79.0000000000
969 -70.0000000000
1036 -41.0000000000
1225 -32.0000000000
1233 -31.0000000000
1288 -30.0000000000
1307 -13.0000000000
1319 -12.0000000000
1366 7.0000000000
1607 8.0000000000
36718 9.0000000000
100010 -20.0000000000
evaluations raw_y
1 -1517.0000000000
2 -1098.0000000000
16 -981.0000000000
21 -962.0000000000
23 -815.0000000000
29 -748.0000000000
53 -709.0000000000
59 -651.0000000000
81 -553.0000000000
119 -495.0000000000
143 -485.0000000000
161 -466.0000000000
178 -456.0000000000
207 -390.0000000000
231 -292.0000000000
304 -263.0000000000
330 -253.0000000000
352 -234.0000000000
465 -233.0000000000
573 -186.0000000000
583 -167.0000000000
634 -166.0000000000
703 -147.0000000000
748 -128.0000000000
750 -89.0000000000
905 -71.0000000000
939 -70.0000000000
970 -61.0000000000
1014 -23.0000000000
1114 -14.0000000000
1331 -13.0000000000
1377 -4.0000000000
1453 5.0000000000
1466 6.0000000000
1619 7.0000000000
28741 8.0000000000
100010 -49.0000000000
