evaluations raw_y
1 5.6000000000
3 5.8000000000
4 8.0000000000
16 8.8000000000
23 9.4000000000
46 10.0000000000
100 10.2000000000
107 11.4000000000
184 12.2000000000
186 12.4000000000
454 12.6000000000
489 13.0000000000
508 13.4000000000
720 14.0000000000
1149 14.4000000000
1343 14.6000000000
1374 14.8000000000
1410 15.0000000000
1430 15.2000000000
1515 15.4000000000
1522 15.6000000000
1542 15.8000000000
1647 16.0000000000
1718 16.2000000000
1851 16.4000000000
100010 15.2000000000
evaluations raw_y
1 7.2000000000
2 7.8000000000
9 9.8000000000
51 10.2000000000
77 10.6000000000
156 10.8000000000
196 11.2000000000
333 11.6000000000
385 12.0000000000
577 12.4000000000
590 13.0000000000
768 13.2000000000
829 13.8000000000
887 14.0000000000
985 14.6000000000
1048 14.8000000000
1212 15.0000000000
1246 15.2000000000
1295 15.6000000000
1353 15.8000000000
1401 16.0000000000
1472 16.4000000000
1573 16.6000000000
1592 16.8000000000
1797 17.0000000000
100010 17.0000000000
evaluations raw_y
1 6.6000000000
2 7.0000000000
4 7.8000000000
6 9.6000000000
89 9.8000000000
122 10.2000000000
136 11.0000000000
192 11.4000000000
264 11.8000000000
385 12.0000000000
477 12.2000000000
492 12.4000000000
620 13.2000000000
818 13.4000000000
860 14.2000000000
962 14.4000000000
970 14.6000000000
1104 15.0000000000
1153 15.4000000000
1272 15.8000000000
1428 16.0000000000
1561 16.2000000000
1571 16.4000000000
1602 16.6000000000
100010 16.6000000000
evaluations raw_y
1 8.2000000000
7 8.8000000000
16 9.0000000000
33 9.8000000000
86 10.4000000000
134 10.8000000000
173 11.6000000000
225 12.0000000000
250 12.8000000000
513 13.2000000000
524 13.4000000000
575 13.6000000000
794 14.0000000000
921 14.8000000000
1181 15.2000000000
1217 15.4000000000
1303 16.0000000000
1418 16.2000000000
1467 16.4000000000
1523 16.6000000000
1580 16.8000000000
1648 17.0000000000
1680 17.2000000000
100010 17.0000000000
evaluations raw_y
1 7.2000000000
2 7.6000000000
10 8.0000000000
25 8.4000000000
41 9.4000000000
62 9.8000000000
90 10.2000000000
139 10.4000000000
141 10.8000000000
174 11.8000000000
248 12.0000000000
382 12.4000000000
433 12.8000000000
492 13.0000000000
660 13.2000000000
921 13.4000000000
952 13.6000000000
959 14.0000000000
999 14.2000000000
1047 14.4000000000
1071 15.0000000000
1267 15.2000000000
1297 15.4000000000
1379 15.8000000000
1438 16.0000000000
1776 16.2000000000
1911 16.4000000000
100010 16.2000000000
evaluations raw_y
1 6.6000000000
3 7.6000000000
6 8.0000000000
26 9.0000000000
39 9.8000000000
57 11.2000000000
178 12.0000000000
211 12.2000000000
324 12.4000000000
369 12.6000000000
461 13.4000000000
776 14.0000000000
792 14.6000000000
863 14.8000000000
1109 15.0000000000
1213 15.2000000000
1252 15.6000000000
1297 15.8000000000
1390 16.0000000000
1448 16.2000000000
1531 16.4000000000
1539 16.6000000000
1626 16.8000000000
100010 16.0000000000
evaluations raw_y
1 7.2000000000
7 9.6000000000
22 9.8000000000
96 12.0000000000
189 12.6000000000
307 12.8000000000
414 13.4000000000
522 13.8000000000
836 14.2000000000
979 14.4000000000
1046 14.6000000000
1070 14.8000000000
1185 15.4000000000
1228 15.6000000000
1251 15.8000000000
1286 16.0000000000
1326 16.2000000000
1407 16.4000000000
1457 16.6000000000
1530 16.8000000000
1540 17.0000000000
1978 17.2000000000
100010 15.8000000000
evaluations raw_y
1 4.8000000000
2 5.8000000000
3 6.4000000000
4 7.2000000000
6 7.4000000000
7 7.6000000000
9 7.8000000000
15 8.4000000000
32 9.0000000000
66 9.4000000000
69 9.6000000000
80 9.8000000000
105 10.0000000000
115 11.2000000000
188 11.4000000000
230 12.0000000000
241 12.2000000000
494 12.8000000000
705 13.0000000000
708 13.4000000000
794 13.8000000000
906 14.0000000000
1109 14.2000000000
1238 14.4000000000
1268 14.6000000000
1300 14.8000000000
1341 15.0000000000
1356 15.4000000000
1428 15.6000000000
1452 15.8000000000
1474 16.0000000000
1494 16.2000000000
1587 16.4000000000
1647 16.6000000000
1699 16.8000000000
1731 17.0000000000
100010 16.6000000000
evaluations raw_y
1 7.8000000000
3 8.4000000000
18 9.2000000000
29 9.6000000000
54 10.4000000000
160 10.6000000000
170 10.8000000000
175 11.0000000000
199 11.2000000000
251 11.4000000000
328 12.0000000000
416 12.4000000000
634 12.8000000000
706 13.0000000000
776 13.2000000000
894 13.6000000000
1020 13.8000000000
1047 14.2000000000
1147 14.6000000000
1285 14.8000000000
1329 15.6000000000
1393 15.8000000000
1435 16.0000000000
1472 16.2000000000
1477 16.4000000000
1537 16.6000000000
1598 16.8000000000
100010 16.6000000000
evaluations raw_y
1 8.0000000000
7 8.2000000000
18 9.0000000000
60 9.4000000000
80 9.8000000000
101 10.0000000000
113 10.2000000000
128 10.4000000000
137 10.6000000000
150 11.2000000000
173 12.0000000000
198 12.4000000000
271 13.2000000000
376 13.8000000000
492 14.6000000000
1016 15.2000000000
1253 15.4000000000
1279 15.6000000000
1354 15.8000000000
1433 16.0000000000
1450 16.2000000000
1458 16.6000000000
1521 17.0000000000
1932 17.2000000000
100010 14.6000000000
