evaluations raw_y
1 -0.5454425830
2 -0.5441967686
3 -0.5165656481
4 -0.5011584198
9 -0.4835506783
12 -0.4689305311
24 -0.4513909186
48 -0.4501143540
62 -0.4266755844
90 -0.4172814024
114 -0.4106147824
149 -0.4029302556
195 -0.3966461655
286 -0.3951505533
353 -0.3753661819
380 -0.3726160444
468 -0.3718906593
556 -0.3631673914
564 -0.3571878235
608 -0.3479071194
684 -0.3378983529
855 -0.3368618688
900 -0.3331448940
917 -0.3283136210
990 -0.3272798886
1104 -0.3221577986
1273 -0.3194934035
1307 -0.3160999960
1321 -0.3157030633
1355 -0.3125056185
1365 -0.3098799938
1460 -0.3092264287
1486 -0.3063920104
1503 -0.3054068713
1576 -0.3039328767
1610 -0.3027025866
1657 -0.3019615692
1696 -0.2961595026
1785 -0.2946379642
1836 -0.2940213820
66022 -0.2933924922
69294 -0.2920664943
100010 -0.2920664943
evaluations raw_y
1 -0.4650987512
27 -0.4505344115
35 -0.4470611463
62 -0.4418596587
82 -0.4330563011
90 -0.4244516231
97 -0.4243218117
118 -0.4159380659
141 -0.4136584770
145 -0.4125969818
169 -0.4042799563
171 -0.3878264087
220 -0.3860550909
260 -0.3818718789
298 -0.3725454319
346 -0.3688993950
372 -0.3633377470
469 -0.3585492144
486 -0.3566339587
528 -0.3480024990
854 -0.3473537430
933 -0.3423996930
1057 -0.3406510660
1088 -0.3399013555
1205 -0.3395510029
1207 -0.3386265503
1230 -0.3370246668
1231 -0.3320501118
1236 -0.3312418623
1273 -0.3301182771
1284 -0.3265899679
1319 -0.3264181197
1370 -0.3240117246
1437 -0.3201440771
1451 -0.3178363267
1516 -0.3155568783
1519 -0.3144357893
1542 -0.3143163447
1562 -0.3121775806
1584 -0.3109370469
1592 -0.3101667694
1616 -0.3101565259
1624 -0.3095132043
1631 -0.3094257520
1633 -0.3089262358
1634 -0.3073317947
1655 -0.3060912610
1670 -0.3053604871
1696 -0.3045702731
1841 -0.3039536909
1891 -0.3039453057
1937 -0.3027150156
1959 -0.3023834416
1990 -0.3016053500
2029 -0.3014568040
2049 -0.3011252300
2059 -0.3001453702
2093 -0.2963754781
2103 -0.2957485313
15218 -0.2928002742
47398 -0.2920664943
100010 -0.3003155704
evaluations raw_y
1 -0.5402260036
2 -0.4564925092
40 -0.4283047558
58 -0.4236441018
77 -0.4223830434
89 -0.4066196422
122 -0.4032509466
167 -0.3989475553
222 -0.3902978071
284 -0.3892846133
318 -0.3854355866
321 -0.3829772286
356 -0.3717573085
530 -0.3700708321
531 -0.3696382898
573 -0.3688522769
590 -0.3660949956
686 -0.3612123239
779 -0.3602297767
809 -0.3573166132
821 -0.3485889486
927 -0.3351230835
1014 -0.3318649563
1093 -0.3318565712
1146 -0.3311493141
1260 -0.3265998045
1289 -0.3245735010
1321 -0.3209017654
1355 -0.3168396181
1432 -0.3126816517
1475 -0.3121405628
1519 -0.3109994267
1528 -0.3106190245
1574 -0.3100847851
1591 -0.3093887343
1627 -0.3087721520
1652 -0.3083365455
1670 -0.3077065093
1675 -0.3047582522
1680 -0.3036615499
1916 -0.3036531648
1932 -0.3029995997
