evaluations raw_y
1 0.0000000000
3 5.0000000000
29 7.0000000000
59 10.0000000000
123 12.0000000000
147 14.0000000000
172 15.0000000000
253 16.0000000000
355 19.0000000000
430 22.0000000000
657 24.0000000000
695 27.0000000000
1018 28.0000000000
1034 29.0000000000
1052 31.0000000000
1133 32.0000000000
1216 33.0000000000
1414 34.0000000000
1487 35.0000000000
2467 38.0000000000
2498 39.0000000000
2632 41.0000000000
2671 42.0000000000
3367 45.0000000000
3723 50.0000000000
3901 53.0000000000
3933 55.0000000000
4051 57.0000000000
4085 61.0000000000
4221 62.0000000000
4686 63.0000000000
4726 64.0000000000
4938 66.0000000000
5082 70.0000000000
5217 73.0000000000
5277 76.0000000000
5420 77.0000000000
5634 79.0000000000
5943 82.0000000000
6031 84.0000000000
6523 85.0000000000
6836 87.0000000000
6997 88.0000000000
7050 94.0000000000
7411 97.0000000000
7726 98.0000000000
7852 100.0000000000
7868 98.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
3 5.0000000000
21 9.0000000000
80 10.0000000000
111 11.0000000000
132 12.0000000000
254 14.0000000000
298 15.0000000000
346 16.0000000000
376 17.0000000000
426 19.0000000000
513 20.0000000000
653 25.0000000000
782 29.0000000000
864 32.0000000000
951 34.0000000000
1110 35.0000000000
1183 37.0000000000
1241 38.0000000000
1376 39.0000000000
1474 40.0000000000
1756 45.0000000000
1860 47.0000000000
1974 48.0000000000
2313 49.0000000000
2354 50.0000000000
2461 51.0000000000
2731 52.0000000000
2884 56.0000000000
3249 57.0000000000
3623 58.0000000000
3934 60.0000000000
3936 62.0000000000
4453 63.0000000000
5122 65.0000000000
5255 67.0000000000
5344 68.0000000000
5486 69.0000000000
6201 70.0000000000
6525 79.0000000000
6646 80.0000000000
6695 85.0000000000
6894 86.0000000000
7476 88.0000000000
7704 93.0000000000
7756 96.0000000000
8984 98.0000000000
9158 99.0000000000
9200 100.0000000000
evaluations raw_y
1 2.0000000000
13 3.0000000000
24 5.0000000000
79 7.0000000000
171 10.0000000000
234 11.0000000000
237 15.0000000000
272 16.0000000000
338 17.0000000000
443 19.0000000000
592 26.0000000000
627 27.0000000000
670 28.0000000000
780 29.0000000000
824 30.0000000000
974 31.0000000000
1031 33.0000000000
