evaluations raw_y
1 2539.0000000000
5 2818.0000000000
11 2926.0000000000
12 2947.0000000000
20 2982.0000000000
26 3124.0000000000
33 3148.0000000000
39 3181.0000000000
48 3258.0000000000
70 3284.0000000000
74 3457.0000000000
80 3472.0000000000
92 3475.0000000000
96 3540.0000000000
123 3581.0000000000
132 3675.0000000000
148 3776.0000000000
167 3802.0000000000
175 3805.0000000000
184 3906.0000000000
189 3981.0000000000
240 4092.0000000000
294 4214.0000000000
318 4262.0000000000
365 4407.0000000000
499 4480.0000000000
552 4556.0000000000
617 4582.0000000000
638 4601.0000000000
683 4627.0000000000
687 4688.0000000000
811 4797.0000000000
828 4804.0000000000
933 4841.0000000000
1002 4855.0000000000
1218 4899.0000000000
1341 4929.0000000000
1381 4930.0000000000
1387 4934.0000000000
1389 4960.0000000000
1550 4971.0000000000
1642 4973.0000000000
1669 4984.0000000000
1686 4986.0000000000
1701 5015.0000000000
1746 5043.0000000000
1861 5049.0000000000
1930 5050.0000000000
1946 4990.0000000000
evaluations raw_y
1 2567.0000000000
4 2739.0000000000
9 2851.0000000000
11 2930.0000000000
12 3165.0000000000
36 3262.0000000000
51 3272.0000000000
53 3284.0000000000
58 3294.0000000000
64 3425.0000000000
77 3484.0000000000
80 3594.0000000000
140 3634.0000000000
143 3640.0000000000
174 3761.0000000000
188 3777.0000000000
196 4038.0000000000
238 4117.0000000000
279 4129.0000000000
414 4225.0000000000
483 4335.0000000000
526 4420.0000000000
622 4437.0000000000
651 4523.0000000000
778 4603.0000000000
896 4616.0000000000
1016 4630.0000000000
1017 4643.0000000000
1034 4646.0000000000
1062 4647.0000000000
1102 4658.0000000000
1103 4760.0000000000
1142 4858.0000000000
1351 4875.0000000000
1358 4919.0000000000
1460 4940.0000000000
1487 4941.0000000000
1490 4958.0000000000
1593 4960.0000000000
1623 4969.0000000000
1646 4976.0000000000
1660 4978.0000000000
1722 5005.0000000000
1849 5006.0000000000
1864 5020.0000000000
1906 5021.0000000000
1919 5037.0000000000
1937 5038.0000000000
2175 5046.0000000000
2288 5050.0000000000
evaluations raw_y
1 2682.0000000000
3 2683.0000000000
9 2876.0000000000
14 2934.0000000000
33 3014.0000000000
38 3204.0000000000
41 3453.0000000000
87 3578.0000000000
95 3649.0000000000
98 3738.0000000000
137 3781.0000000000
167 3834.0000000000
186 3865.0000000000
188 4036.0000000000
203 4048.0000000000
215 4104.0000000000
220 4150.0000000000
284 4190.0000000000
402 4233.0000000000
486 4317.0000000000
492 4435.0000000000
528 4451.0000000000
550 4492.0000000000
632 4591.0000000000
808 4624.0000000000
826 4716.0000000000
958 4717.0000000000
1083 4722.0000000000
1105 4729.0000000000
1229 4754.0000000000
1272 4763.0000000000
1296 4803.0000000000
1313 4814.0000000000
1340 4817.0000000000
1366 4866.0000000000
1394 4874.0000000000
1415 4895.0000000000
1432 4930.0000000000
1487 4941.0000000000
1725 4954.0000000000
1740 4960.0000000000
1861 4977.0000000000
1897 4981.0000000000
1912 4998.0000000000
1974 5001.0000000000
2057 5019.0000000000
2100 5034.0000000000
2123 5050.0000000000
2126 5019.0000000000
evaluations raw_y
1 3015.0000000000
4 3140.0000000000
21 3366.0000000000
25 3553.0000000000
83 3632.0000000000
89 3712.0000000000
108 3761.0000000000
136 3818.0000000000
166 3888.0000000000
303 3890.0000000000
308 3921.0000000000
317 4171.0000000000
481 4214.0000000000
484 4273.0000000000
498 4303.0000000000
537 4307.0000000000
541 4442.0000000000
756 4479.0000000000
783 4487.0000000000
798 4500.0000000000
812 4522.0000000000
818 4547.0000000000
921 4610.0000000000
951 4649.0000000000
1028 4667.0000000000
1039 4680.0000000000
1092 4709.0000000000
1123 4754.0000000000
1202 4779.0000000000
1301 4815.0000000000
1393 4816.0000000000
1408 4856.0000000000
1433 4890.0000000000
1457 4894.0000000000
1481 4896.0000000000
1510 4921.0000000000
1570 4926.0000000000
1611 4944.0000000000
1622 4949.0000000000
1701 4971.0000000000
1791 4988.0000000000
1825 4994.0000000000
1873 5024.0000000000
1973 5032.0000000000
2070 5036.0000000000
2548 5040.0000000000
2569 5050.0000000000
2576 4941.0000000000
evaluations raw_y
1 2379.0000000000
3 2647.0000000000
7 2711.0000000000
10 2739.0000000000
15 2792.0000000000
16 3015.0000000000
18 3138.0000000000
39 3344.0000000000
58 3411.0000000000
77 3648.0000000000
120 3796.0000000000
148 3902.0000000000
155 3943.0000000000
173 4046.0000000000
201 4232.0000000000
250 4342.0000000000
303 4407.0000000000
457 4438.0000000000
460 4474.0000000000
582 4501.0000000000
629 4509.0000000000
674 4589.0000000000
799 4592.0000000000
885 4624.0000000000
1088 4709.0000000000
1124 4714.0000000000
1176 4732.0000000000
1209 4733.0000000000
1266 4785.0000000000
1305 4803.0000000000
1311 4823.0000000000
1327 4861.0000000000
1435 4912.0000000000
1469 4935.0000000000
1564 4936.0000000000
1573 4959.0000000000
1604 4960.0000000000
1622 4988.0000000000
1625 4991.0000000000
1650 5012.0000000000
1740 5022.0000000000
1773 5025.0000000000
1860 5038.0000000000
2071 5045.0000000000
2552 5050.0000000000
2558 4916.0000000000
evaluations raw_y
1 2386.0000000000
2 2747.0000000000
5 2815.0000000000
8 2818.0000000000
9 2896.0000000000
22 2999.0000000000
34 3014.0000000000
46 3025.0000000000
48 3296.0000000000
53 3591.0000000000
81 3656.0000000000
90 3740.0000000000
161 3783.0000000000
176 4010.0000000000
215 4175.0000000000
365 4262.0000000000
387 4315.0000000000
400 4352.0000000000
405 4407.0000000000
435 4497.0000000000
455 4571.0000000000
514 4618.0000000000
593 4666.0000000000
892 4696.0000000000
994 4721.0000000000
1018 4743.0000000000
1094 4769.0000000000
1147 4778.0000000000
1238 4845.0000000000
1305 4851.0000000000
1334 4862.0000000000
1339 4897.0000000000
1399 4912.0000000000
1410 4937.0000000000
1436 4990.0000000000
1542 4993.0000000000
1561 4995.0000000000
1576 4996.0000000000
1602 5001.0000000000
1610 5004.0000000000
1623 5005.0000000000
1627 5008.0000000000
1654 5011.0000000000
1676 5018.0000000000
1827 5031.0000000000
1922 5048.0000000000
2039 5050.0000000000
2054 5021.0000000000
evaluations raw_y
1 2635.0000000000
2 2780.0000000000
9 2798.0000000000
11 3028.0000000000
22 3140.0000000000
38 3164.0000000000
46 3231.0000000000
50 3343.0000000000
78 3559.0000000000
110 3667.0000000000
131 3680.0000000000
152 3804.0000000000
182 3837.0000000000
187 3925.0000000000
191 3960.0000000000
213 4007.0000000000
255 4108.0000000000
292 4391.0000000000
360 4448.0000000000
392 4494.0000000000
445 4498.0000000000
591 4533.0000000000
596 4544.0000000000
703 4653.0000000000
1012 4693.0000000000
1057 4706.0000000000
1096 4712.0000000000
1141 4718.0000000000
1202 4728.0000000000
1214 4779.0000000000
1273 4781.0000000000
1289 4801.0000000000
1303 4844.0000000000
1322 4859.0000000000
1349 4898.0000000000
1353 4913.0000000000
1402 4918.0000000000
1418 4924.0000000000
1444 4930.0000000000
1447 4944.0000000000
1517 4956.0000000000
1558 4977.0000000000
1590 4980.0000000000
1694 4997.0000000000
1717 5002.0000000000
1774 5008.0000000000
1805 5034.0000000000
1959 5040.0000000000
2021 5049.0000000000
2267 5050.0000000000
2270 5049.0000000000
evaluations raw_y
1 2415.0000000000
2 2548.0000000000
3 2668.0000000000
7 2699.0000000000
10 3091.0000000000
23 3338.0000000000
49 3400.0000000000
68 3451.0000000000
73 3543.0000000000
79 3735.0000000000
104 3798.0000000000
121 3848.0000000000
125 3863.0000000000
141 3934.0000000000
198 3968.0000000000
294 4011.0000000000
303 4035.0000000000
306 4153.0000000000
346 4186.0000000000
365 4295.0000000000
431 4375.0000000000
479 4481.0000000000
523 4565.0000000000
677 4589.0000000000
961 4626.0000000000
1032 4670.0000000000
1056 4708.0000000000
1194 4737.0000000000
1261 4749.0000000000
1271 4825.0000000000
1305 4830.0000000000
1320 4844.0000000000
1345 4857.0000000000
1406 4863.0000000000
1416 4865.0000000000
1453 4886.0000000000
1487 4891.0000000000
1515 4903.0000000000
1543 4921.0000000000
1574 4932.0000000000
1579 4962.0000000000
1680 4971.0000000000
1699 4976.0000000000
1719 4985.0000000000
1735 4988.0000000000
1747 4991.0000000000
1757 5000.0000000000
1806 5025.0000000000
2303 5043.0000000000
2385 5050.0000000000
2396 4892.0000000000
evaluations raw_y
1 2722.0000000000
7 3086.0000000000
16 3121.0000000000
21 3162.0000000000
33 3398.0000000000
48 3592.0000000000
83 3898.0000000000
135 3984.0000000000
171 4099.0000000000
267 4125.0000000000
327 4184.0000000000
367 4228.0000000000
382 4231.0000000000
392 4284.0000000000
439 4305.0000000000
474 4334.0000000000
505 4352.0000000000
534 4362.0000000000
551 4363.0000000000
555 4373.0000000000
566 4452.0000000000
654 4503.0000000000
779 4506.0000000000
829 4538.0000000000
846 4558.0000000000
865 4668.0000000000
1003 4691.0000000000
1062 4709.0000000000
1075 4760.0000000000
1089 4788.0000000000
1171 4822.0000000000
1183 4840.0000000000
1212 4868.0000000000
1310 4916.0000000000
1374 4928.0000000000
1455 4948.0000000000
1456 4950.0000000000
1510 4970.0000000000
1519 4989.0000000000
1589 4992.0000000000
1624 4993.0000000000
1666 5009.0000000000
1696 5010.0000000000
1729 5013.0000000000
1744 5023.0000000000
1775 5026.0000000000
1788 5027.0000000000
2305 5043.0000000000
2781 5050.0000000000
2792 4968.0000000000
evaluations raw_y
1 2433.0000000000
2 2799.0000000000
5 2914.0000000000
18 2950.0000000000
22 3083.0000000000
29 3198.0000000000
31 3382.0000000000
48 3508.0000000000
51 3525.0000000000
56 3560.0000000000
76 3582.0000000000
110 3684.0000000000
125 3692.0000000000
131 3707.0000000000
135 3800.0000000000
139 3858.0000000000
179 3959.0000000000
199 3973.0000000000
202 3984.0000000000
213 4025.0000000000
263 4027.0000000000
274 4148.0000000000
436 4247.0000000000
456 4303.0000000000
637 4312.0000000000
