evaluations raw_y
1 46.0000000000
3 53.0000000000
4 58.0000000000
22 63.0000000000
56 65.0000000000
83 66.0000000000
93 70.0000000000
181 73.0000000000
198 76.0000000000
278 79.0000000000
335 80.0000000000
406 83.0000000000
532 85.0000000000
650 86.0000000000
705 88.0000000000
782 89.0000000000
888 91.0000000000
1072 92.0000000000
1129 93.0000000000
1334 94.0000000000
1335 96.0000000000
1394 97.0000000000
1460 98.0000000000
1470 99.0000000000
1525 100.0000000000
1532 96.0000000000
evaluations raw_y
1 43.0000000000
2 50.0000000000
3 52.0000000000
5 60.0000000000
9 61.0000000000
46 62.0000000000
58 65.0000000000
77 66.0000000000
90 67.0000000000
94 72.0000000000
119 74.0000000000
172 76.0000000000
178 77.0000000000
212 78.0000000000
292 80.0000000000
364 82.0000000000
367 83.0000000000
423 86.0000000000
589 88.0000000000
759 89.0000000000
931 90.0000000000
967 91.0000000000
985 93.0000000000
1178 95.0000000000
1244 97.0000000000
1489 98.0000000000
1638 99.0000000000
1750 100.0000000000
1766 98.0000000000
evaluations raw_y
1 50.0000000000
2 51.0000000000
6 53.0000000000
7 56.0000000000
31 61.0000000000
62 64.0000000000
69 66.0000000000
76 67.0000000000
77 68.0000000000
104 70.0000000000
137 72.0000000000
186 73.0000000000
203 75.0000000000
226 76.0000000000
254 78.0000000000
342 80.0000000000
394 81.0000000000
400 85.0000000000
473 87.0000000000
512 88.0000000000
563 89.0000000000
736 94.0000000000
823 95.0000000000
916 96.0000000000
1317 97.0000000000
1382 98.0000000000
1435 99.0000000000
1520 100.0000000000
1532 98.0000000000
evaluations raw_y
1 55.0000000000
2 59.0000000000
28 60.0000000000
46 62.0000000000
55 63.0000000000
63 64.0000000000
65 65.0000000000
76 66.0000000000
78 69.0000000000
104 72.0000000000
129 74.0000000000
156 75.0000000000
177 76.0000000000
206 77.0000000000
246 79.0000000000
330 80.0000000000
400 82.0000000000
486 83.0000000000
537 85.0000000000
668 86.0000000000
702 87.0000000000
892 88.0000000000
917 89.0000000000
997 92.0000000000
1136 93.0000000000
1318 94.0000000000
1342 96.0000000000
1500 97.0000000000
1546 98.0000000000
1650 99.0000000000
1707 100.0000000000
1712 98.0000000000
evaluations raw_y
1 47.0000000000
3 50.0000000000
4 58.0000000000
21 59.0000000000
52 61.0000000000
57 65.0000000000
86 66.0000000000
94 68.0000000000
114 70.0000000000
144 72.0000000000
145 74.0000000000
183 75.0000000000
198 77.0000000000
263 78.0000000000
315 79.0000000000
372 81.0000000000
404 82.0000000000
421 83.0000000000
486 84.0000000000
509 85.0000000000
520 86.0000000000
553 87.0000000000
603 88.0000000000
881 89.0000000000
1034 90.0000000000
1187 92.0000000000
1230 93.0000000000
1349 94.0000000000
1357 96.0000000000
1448 97.0000000000
1480 98.0000000000
1539 99.0000000000
1737 100.0000000000
1748 99.0000000000
evaluations raw_y
1 45.0000000000
3 54.0000000000
4 55.0000000000
9 57.0000000000
12 60.0000000000
13 62.0000000000
29 64.0000000000
35 67.0000000000
65 68.0000000000
75 69.0000000000
77 72.0000000000
96 73.0000000000
114 74.0000000000
146 77.0000000000
160 80.0000000000
264 81.0000000000
288 83.0000000000
421 84.0000000000
481 85.0000000000
597 87.0000000000
616 90.0000000000
814 91.0000000000
950 92.0000000000
1164 93.0000000000
1233 95.0000000000
1345 96.0000000000
1501 97.0000000000
1547 98.0000000000
1622 99.0000000000
1771 100.0000000000
1784 96.0000000000
evaluations raw_y
1 49.0000000000
3 52.0000000000
5 54.0000000000
11 55.0000000000
17 57.0000000000
20 60.0000000000
34 62.0000000000
52 63.0000000000
57 64.0000000000
76 65.0000000000
79 66.0000000000
100 68.0000000000
120 69.0000000000
141 75.0000000000
181 77.0000000000
229 78.0000000000
240 80.0000000000
389 81.0000000000
391 82.0000000000
430 83.0000000000
653 84.0000000000
731 85.0000000000
916 86.0000000000
938 87.0000000000
1093 88.0000000000
1130 89.0000000000
1156 90.0000000000
1246 92.0000000000
1332 93.0000000000
1377 94.0000000000
1388 95.0000000000
1450 96.0000000000
1515 97.0000000000
1561 98.0000000000
1609 99.0000000000
1679 100.0000000000
1694 98.0000000000
evaluations raw_y
1 48.0000000000
6 53.0000000000
7 55.0000000000
10 56.0000000000
21 59.0000000000
44 60.0000000000
56 61.0000000000
60 66.0000000000
75 67.0000000000
77 69.0000000000
106 70.0000000000
148 71.0000000000
185 72.0000000000
214 73.0000000000
234 74.0000000000
290 77.0000000000
325 78.0000000000
344 79.0000000000
383 81.0000000000
428 83.0000000000
499 85.0000000000
640 86.0000000000
662 88.0000000000
689 89.0000000000
