evaluations raw_y
1 1.0921799913
3 1.1441647597
6 1.1590171535
7 1.3564839935
26 1.5499070056
69 1.5974440895
137 1.6286644951
194 1.6523463318
374 1.7421602787
473 1.7895490336
503 1.8726591760
1755 1.8925056775
3630 1.9011406844
4076 1.9245573518
5774 2.0112630732
6805 2.0308692120
12817 2.0644095789
20578 2.1758050479
52093 2.5025025025
500000 0.9269558769
evaluations raw_y
1 0.7568876779
2 0.9900990099
8 1.0606703437
11 1.6350555919
49 1.9334880124
2440 1.9485580670
2787 2.1026072330
27733 2.1132713440
31495 2.1496130696
37346 2.2065313327
95065 2.2104332449
103683 2.2747952684
217300 2.3041474654
298217 2.3562676720
500000 1.1842728565
evaluations raw_y
1 1.0526315789
2 1.1266336187
3 1.3881177124
11 1.6035920462
82 1.7349063151
126 2.2301516503
171536 2.2583559169
230640 2.3212627669
500000 1.0734220696
evaluations raw_y
1 1.1358473421
10 1.3041210224
20 1.4212620807
22 1.4492753623
43 1.5069318867
117 1.5460729746
134 1.6265452180
258 1.6949152542
398 1.8867924528
1327 1.9794140934
1989 2.0080321285
17127 2.1720243267
18550 2.2421524664
31884 2.4061597690
33530 2.4826216485
500000 0.9502090460
evaluations raw_y
1 0.9451795841
2 1.1676786548
3 1.3390465988
7 1.3912075682
12 1.4021312395
28 1.4132278123
83 1.5403573629
143 1.8102824041
1588 1.8315018315
1698 1.9127773527
1978 1.9669551534
2256 2.0542317173
9474 2.0920502092
16240 2.2583559169
308127 2.2831050228
325917 2.3518344309
439425 2.5227043391
500000 1.4164305949
evaluations raw_y
1 1.8925056775
2770 2.0644095789
23529 2.0885547201
45279 2.1720243267
91401 2.2301516503
161602 2.2872827081
206267 2.4582104228
363935 2.5484199796
500000 0.6570302234
evaluations raw_y
1 1.1205737338
6 1.3192612137
16 1.3713658804
26 1.4475969890
35 1.5033072760
53 1.5328019620
163 1.6655562958
202 1.8953752843
2567 1.9069412662
3069 1.9364833462
3584 2.0542317173
4489 2.0576131687
12979 2.1132713440
36660 2.2542831380
47660 2.3126734505
131387 2.6737967914
500000 0.8477449983
evaluations raw_y
1 1.4714537964
18 1.4801657786
77 1.4819205691
87 1.5328019620
138 1.5893197711
157 1.7844396859
568 1.8642803878
1036 1.8982536067
1058 1.9669551534
3068 2.0712510356
3116 2.0920502092
12018 2.1834061135
15513 2.3474178404
382564 2.4108003857
499123 2.5641025641
500000 1.3419216318
evaluations raw_y
1 1.4492753623
16 1.4889815366
25 1.5087507544
54 1.6789791807
82 1.7946877243
257 2.0112630732
11092 2.0441537204
13996 2.0746887967
14941 2.1834061135
16130 2.3518344309
210720 2.4582104228
467009 2.4975024975
500000 1.1018069634
evaluations raw_y
1 1.0827197921
6 1.2118274358
10 1.2543903663
11 1.3448090371
14 1.5142337977
97 1.5556938395
142 1.6371971185
206 1.7642907551
1102 1.8504811251
1496 1.8754688672
3449 1.9952114924
9196 2.1240441801
14435 2.1795989538
28104 2.2026431718
90048 2.3969319271
219401 2.4061597690
500000 1.0076582023
