evaluations raw_y
1 45.0000000000
2 47.0000000000
3 55.0000000000
4 57.0000000000
5 58.0000000000
107 63.0000000000
280 65.0000000000
833 68.0000000000
11142 69.0000000000
13869 71.0000000000
300827 72.0000000000
351522 73.0000000000
500000 44.0000000000
evaluations raw_y
1 57.0000000000
5 59.0000000000
32 61.0000000000
140 63.0000000000
862 64.0000000000
1051 66.0000000000
5645 67.0000000000
25657 72.0000000000
500000 56.0000000000
evaluations raw_y
1 51.0000000000
2 53.0000000000
7 55.0000000000
19 56.0000000000
53 61.0000000000
201 63.0000000000
1157 64.0000000000
2355 65.0000000000
5676 66.0000000000
7650 67.0000000000
8015 70.0000000000
19078 71.0000000000
402887 73.0000000000
496538 77.0000000000
500000 54.0000000000
evaluations raw_y
1 51.0000000000
8 53.0000000000
10 55.0000000000
18 56.0000000000
27 59.0000000000
32 60.0000000000
152 63.0000000000
801 66.0000000000
1331 67.0000000000
8230 69.0000000000
8554 71.0000000000
42899 72.0000000000
43643 76.0000000000
500000 54.0000000000
evaluations raw_y
1 50.0000000000
4 55.0000000000
12 56.0000000000
14 59.0000000000
35 60.0000000000
87 63.0000000000
1049 65.0000000000
1367 68.0000000000
20723 69.0000000000
100336 72.0000000000
186331 74.0000000000
500000 49.0000000000
evaluations raw_y
1 45.0000000000
2 54.0000000000
14 56.0000000000
16 59.0000000000
76 61.0000000000
77 62.0000000000
156 64.0000000000
1396 67.0000000000
19022 68.0000000000
39106 70.0000000000
43133 71.0000000000
48183 72.0000000000
53543 76.0000000000
500000 55.0000000000
evaluations raw_y
1 48.0000000000
2 59.0000000000
4 61.0000000000
35 62.0000000000
627 66.0000000000
700 70.0000000000
49555 71.0000000000
80976 72.0000000000
500000 45.0000000000
evaluations raw_y
1 51.0000000000
3 55.0000000000
4 60.0000000000
23 61.0000000000
31 62.0000000000
162 64.0000000000
815 65.0000000000
2537 68.0000000000
27391 69.0000000000
29575 70.0000000000
109248 71.0000000000
167180 72.0000000000
474020 75.0000000000
500000 48.0000000000
evaluations raw_y
1 57.0000000000
15 59.0000000000
80 61.0000000000
129 62.0000000000
278 64.0000000000
620 66.0000000000
779 67.0000000000
1277 68.0000000000
8910 69.0000000000
24123 70.0000000000
25566 71.0000000000
500000 44.0000000000
evaluations raw_y
1 55.0000000000
4 57.0000000000
11 58.0000000000
56 60.0000000000
115 65.0000000000
667 69.0000000000
27968 73.0000000000
105980 74.0000000000
500000 46.0000000000
