evaluations raw_y
1 -1050.0000000000
124 -1031.0000000000
155 -894.0000000000
246 -864.0000000000
310 -815.0000000000
800 -807.0000000000
2579 -777.0000000000
8500 -757.0000000000
13973 -748.0000000000
15233 -718.0000000000
19274 -652.0000000000
206634 -602.0000000000
440693 -544.0000000000
500000 -1254.0000000000
evaluations raw_y
1 -1225.0000000000
6 -1176.0000000000
24 -1069.0000000000
48 -991.0000000000
533 -972.0000000000
563 -963.0000000000
756 -952.0000000000
912 -933.0000000000
1525 -826.0000000000
4015 -787.0000000000
7687 -758.0000000000
9941 -748.0000000000
10235 -709.0000000000
26586 -681.0000000000
58296 -670.0000000000
67113 -660.0000000000
153845 -631.0000000000
347744 -621.0000000000
448042 -602.0000000000
500000 -1702.0000000000
evaluations raw_y
1 -1488.0000000000
4 -1430.0000000000
7 -1400.0000000000
9 -1361.0000000000
11 -1215.0000000000
12 -1128.0000000000
17 -1098.0000000000
53 -972.0000000000
65 -913.0000000000
386 -894.0000000000
489 -875.0000000000
785 -846.0000000000
916 -748.0000000000
6240 -700.0000000000
52849 -622.0000000000
94210 -554.0000000000
258189 -534.0000000000
500000 -1527.0000000000
evaluations raw_y
1 -1507.0000000000
3 -1099.0000000000
36 -1049.0000000000
106 -923.0000000000
186 -904.0000000000
219 -836.0000000000
455 -835.0000000000
1390 -711.0000000000
5515 -631.0000000000
236845 -602.0000000000
500000 -1537.0000000000
evaluations raw_y
1 -1624.0000000000
2 -1303.0000000000
3 -1186.0000000000
10 -1070.0000000000
11 -982.0000000000
168 -826.0000000000
1111 -806.0000000000
7099 -689.0000000000
86611 -651.0000000000
370295 -641.0000000000
394395 -582.0000000000
458011 -544.0000000000
500000 -1147.0000000000
evaluations raw_y
1 -1137.0000000000
41 -1118.0000000000
47 -1059.0000000000
68 -786.0000000000
3958 -768.0000000000
4215 -748.0000000000
5414 -739.0000000000
14737 -631.0000000000
77280 -554.0000000000
500000 -1439.0000000000
evaluations raw_y
1 -1585.0000000000
2 -1127.0000000000
6 -1050.0000000000
80 -1021.0000000000
99 -972.0000000000
120 -962.0000000000
295 -942.0000000000
625 -932.0000000000
1009 -923.0000000000
1076 -884.0000000000
1681 -836.0000000000
2044 -787.0000000000
2713 -777.0000000000
4627 -757.0000000000
6075 -680.0000000000
30669 -652.0000000000
288273 -631.0000000000
387340 -534.0000000000
500000 -1390.0000000000
evaluations raw_y
1 -1400.0000000000
4 -1361.0000000000
6 -1322.0000000000
7 -1264.0000000000
30 -1147.0000000000
33 -1069.0000000000
68 -1040.0000000000
78 -1030.0000000000
261 -991.0000000000
328 -913.0000000000
392 -884.0000000000
551 -806.0000000000
1634 -747.0000000000
40100 -738.0000000000
42257 -729.0000000000
44749 -699.0000000000
45824 -690.0000000000
96050 -689.0000000000
97056 -680.0000000000
121395 -631.0000000000
177130 -622.0000000000
318407 -583.0000000000
500000 -1693.0000000000
evaluations raw_y
1 -1566.0000000000
3 -1108.0000000000
34 -894.0000000000
130 -807.0000000000
2125 -796.0000000000
3325 -680.0000000000
101440 -679.0000000000
163180 -641.0000000000
218298 -631.0000000000
341749 -602.0000000000
355803 -573.0000000000
500000 -1244.0000000000
evaluations raw_y
1 -1459.0000000000
8 -1088.0000000000
22 -1079.0000000000
30 -982.0000000000
180 -923.0000000000
436 -749.0000000000
4875 -738.0000000000
9671 -728.0000000000
12726 -699.0000000000
14031 -680.0000000000
22966 -641.0000000000
102764 -602.0000000000
183194 -593.0000000000
500000 -1478.0000000000
