evaluations raw_y
1 7.4000000000
17 8.8000000000
44 9.2000000000
110 9.4000000000
236 9.8000000000
738 10.2000000000
3601 10.4000000000
4800 10.8000000000
11523 11.0000000000
13365 11.2000000000
21328 11.4000000000
116093 11.8000000000
169787 12.0000000000
251299 12.2000000000
500000 6.8000000000
evaluations raw_y
1 7.8000000000
12 8.8000000000
125 9.0000000000
214 9.4000000000
281 9.6000000000
747 10.0000000000
877 10.4000000000
6352 10.6000000000
7081 10.8000000000
9593 11.2000000000
26929 11.4000000000
99100 12.0000000000
500000 7.0000000000
evaluations raw_y
1 5.6000000000
2 7.6000000000
3 8.0000000000
5 8.6000000000
30 9.4000000000
362 10.4000000000
2106 10.6000000000
2348 11.0000000000
6606 12.0000000000
500000 7.0000000000
evaluations raw_y
1 5.6000000000
2 6.6000000000
4 7.0000000000
9 8.0000000000
16 8.8000000000
104 9.0000000000
142 9.6000000000
328 10.0000000000
779 10.4000000000
831 10.8000000000
1257 11.0000000000
16832 12.6000000000
500000 6.6000000000
evaluations raw_y
1 7.4000000000
2 8.4000000000
15 8.8000000000
43 9.0000000000
178 9.4000000000
182 10.4000000000
2916 10.6000000000
6602 10.8000000000
7200 11.0000000000
32186 11.2000000000
32931 11.6000000000
179056 11.8000000000
180300 12.0000000000
500000 5.8000000000
evaluations raw_y
1 7.0000000000
5 7.6000000000
12 8.0000000000
19 8.8000000000
24 9.2000000000
65 9.4000000000
1318 9.8000000000
1897 10.0000000000
2085 10.4000000000
8744 10.6000000000
13759 11.6000000000
150448 11.8000000000
274906 12.2000000000
500000 7.8000000000
evaluations raw_y
1 7.0000000000
3 8.2000000000
4 8.4000000000
69 8.6000000000
86 8.8000000000
162 9.0000000000
281 9.6000000000
446 10.0000000000
1023 10.2000000000
1119 10.4000000000
2804 10.6000000000
7391 11.0000000000
31986 11.4000000000
134641 12.2000000000
323352 12.6000000000
500000 6.0000000000
evaluations raw_y
1 7.4000000000
2 7.8000000000
16 8.8000000000
42 9.2000000000
98 10.6000000000
962 11.0000000000
10963 11.4000000000
57321 11.6000000000
206431 12.2000000000
500000 6.8000000000
evaluations raw_y
1 8.4000000000
30 8.8000000000
36 9.0000000000
78 9.2000000000
307 9.8000000000
358 10.2000000000
906 10.4000000000
3963 10.6000000000
5612 10.8000000000
13963 12.0000000000
204080 12.2000000000
339525 12.4000000000
500000 5.8000000000
evaluations raw_y
1 5.0000000000
2 8.6000000000
22 8.8000000000
26 10.4000000000
1935 10.8000000000
12558 11.0000000000
15035 11.2000000000
49835 11.4000000000
177098 11.6000000000
283473 11.8000000000
324470 12.4000000000
500000 6.8000000000
