evaluations raw_y
1 -0.4950764042
5 -0.4607887338
54 -0.4177831219
23508 -0.4170447551
25350 -0.4035609929
151493 -0.4006866151
362063 -0.3989176248
500000 -0.5323465488
evaluations raw_y
1 -0.5020971283
2 -0.4868735543
9 -0.4778000012
24 -0.4644368570
30 -0.4636189707
60 -0.4570270916
162 -0.4301798690
2497 -0.4180565809
11597 -0.4154674598
21185 -0.4144909183
30478 -0.4119274145
48723 -0.4061225345
108258 -0.3998626717
175687 -0.3997575911
500000 -0.5418361108
evaluations raw_y
1 -0.5317242154
2 -0.5168440160
3 -0.4694412465
16 -0.4468088745
105 -0.4391914020
248 -0.4310274541
1816 -0.4278478474
4053 -0.4220727218
11441 -0.4191174365
15260 -0.4110162307
70272 -0.4086322009
89965 -0.4048859369
117269 -0.4020028600
146344 -0.3982173977
500000 -0.5007324614
evaluations raw_y
1 -0.5352166558
2 -0.5060579897
6 -0.5035445216
7 -0.5023212734
9 -0.4647217760
30 -0.4541377395
70 -0.4532223307
160 -0.4430955509
539 -0.4424480478
679 -0.4422980417
798 -0.4296591963
4120 -0.4166534570
11524 -0.4139986859
31567 -0.4084221561
45463 -0.4052148324
58201 -0.4040961949
68534 -0.4023783408
79288 -0.3906618578
500000 -0.4606944240
evaluations raw_y
1 -0.4407465041
72 -0.4322546380
1958 -0.4270785981
12661 -0.4254092503
14516 -0.4186789504
19134 -0.4163369978
32254 -0.4149390808
35870 -0.4121234667
89864 -0.4003128639
288039 -0.3989348784
500000 -0.5194317408
evaluations raw_y
1 -0.5066125402
2 -0.4913185244
5 -0.4877647859
7 -0.4876472373
12 -0.4752290247
22 -0.4657185177
37 -0.4592266415
52 -0.4501287446
237 -0.4473748938
254 -0.4346768839
547 -0.4004323485
24425 -0.4000054559
73491 -0.3961811452
315085 -0.3929870596
500000 -0.5150293904
evaluations raw_y
1 -0.5545809497
2 -0.5290690288
3 -0.5238002678
4 -0.4777537008
18 -0.4498667303
127 -0.4468136512
135 -0.4421036099
275 -0.4418141182
645 -0.4406086142
859 -0.4254140109
6031 -0.4106111258
38446 -0.3999162214
176726 -0.3967779030
273741 -0.3957942451
500000 -0.5635114270
evaluations raw_y
1 -0.4798741280
15 -0.4566431693
35 -0.4437222584
48 -0.4396073676
921 -0.4307065572
3965 -0.4274513659
8588 -0.4267707316
11774 -0.4228283073
20686 -0.4226736605
24327 -0.4211287338
26168 -0.4197554348
32415 -0.4195726862
35729 -0.4173560463
51298 -0.3974558734
500000 -0.5204667239
evaluations raw_y
1 -0.5034690866
4 -0.4880704780
15 -0.4857814827
47 -0.4836477090
49 -0.4746730868
63 -0.4703392134
65 -0.4660491381
75 -0.4654099322
91 -0.4560194281
117 -0.4389021242
733 -0.4367462831
1623 -0.4274941362
1669 -0.4272337128
11917 -0.4163137932
71009 -0.3997580672
450307 -0.3957719247
500000 -0.4945201222
evaluations raw_y
1 -0.4843553064
32 -0.4765392990
44 -0.4702074629
79 -0.4639027935
102 -0.4622914773
138 -0.4576036785
188 -0.4204238859
3593 -0.4201922245
8711 -0.4066189803
271642 -0.3864976675
500000 -0.5324599793
