evaluations raw_y
1 1.0000000000
3 4.0000000000
23 5.0000000000
30 16.0000000000
141376 20.0000000000
500000 0.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
7 6.0000000000
154 8.0000000000
637 9.0000000000
5866 13.0000000000
6470 14.0000000000
35769 15.0000000000
98171 16.0000000000
285499 17.0000000000
500000 2.0000000000
evaluations raw_y
1 0.0000000000
2 8.0000000000
267 12.0000000000
12954 13.0000000000
20846 16.0000000000
26184 18.0000000000
132114 21.0000000000
500000 2.0000000000
evaluations raw_y
1 2.0000000000
5 4.0000000000
31 5.0000000000
75 6.0000000000
221 7.0000000000
732 8.0000000000
862 11.0000000000
16254 12.0000000000
17036 15.0000000000
122921 17.0000000000
414512 19.0000000000
500000 0.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
54 6.0000000000
158 7.0000000000
400 8.0000000000
710 9.0000000000
1332 11.0000000000
1721 12.0000000000
26214 13.0000000000
48059 14.0000000000
96573 15.0000000000
105511 18.0000000000
500000 1.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
11 5.0000000000
139 6.0000000000
162 7.0000000000
196 9.0000000000
202 11.0000000000
4274 13.0000000000
12705 14.0000000000
14217 16.0000000000
48170 18.0000000000
461256 19.0000000000
500000 1.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
4 3.0000000000
10 6.0000000000
63 12.0000000000
7821 13.0000000000
79177 19.0000000000
500000 1.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
7 3.0000000000
12 5.0000000000
13 6.0000000000
108 7.0000000000
194 10.0000000000
2784 11.0000000000
10893 12.0000000000
28356 14.0000000000
80808 15.0000000000
250512 16.0000000000
381339 17.0000000000
500000 0.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
30 5.0000000000
34 7.0000000000
226 8.0000000000
884 9.0000000000
1262 11.0000000000
2582 12.0000000000
8932 14.0000000000
19978 15.0000000000
123966 16.0000000000
250557 17.0000000000
500000 0.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
7 3.0000000000
13 6.0000000000
129 9.0000000000
2876 11.0000000000
3514 14.0000000000
107470 15.0000000000
163432 16.0000000000
223814 17.0000000000
432052 18.0000000000
500000 1.0000000000
