evaluations raw_y
1 2387.0000000000
3 2555.0000000000
11 2720.0000000000
17 2766.0000000000
18 2881.0000000000
31 2939.0000000000
49 3174.0000000000
54 3291.0000000000
153 3604.0000000000
6161 3684.0000000000
96067 3777.0000000000
301261 3805.0000000000
338724 3828.0000000000
500000 2492.0000000000
evaluations raw_y
1 2842.0000000000
9 3147.0000000000
13 3160.0000000000
40 3199.0000000000
51 3219.0000000000
122 3334.0000000000
483 3350.0000000000
957 3394.0000000000
2047 3418.0000000000
3254 3459.0000000000
4289 3504.0000000000
14053 3512.0000000000
15850 3797.0000000000
66873 3806.0000000000
242181 3935.0000000000
500000 2453.0000000000
evaluations raw_y
1 2513.0000000000
2 2579.0000000000
3 2791.0000000000
14 2961.0000000000
38 3037.0000000000
44 3581.0000000000
7514 3647.0000000000
7711 3651.0000000000
15677 3661.0000000000
62580 3666.0000000000
159616 3689.0000000000
186529 3731.0000000000
309455 3804.0000000000
500000 2089.0000000000
evaluations raw_y
1 2516.0000000000
3 2873.0000000000
12 3060.0000000000
30 3064.0000000000
42 3180.0000000000
261 3231.0000000000
628 3280.0000000000
1052 3311.0000000000
1731 3331.0000000000
2294 3384.0000000000
3054 3605.0000000000
6823 3648.0000000000
53109 3656.0000000000
57732 3751.0000000000
78046 3790.0000000000
112237 3947.0000000000
500000 2840.0000000000
evaluations raw_y
1 2239.0000000000
3 2579.0000000000
4 2885.0000000000
18 2911.0000000000
35 3013.0000000000
41 3026.0000000000
44 3126.0000000000
102 3145.0000000000
185 3231.0000000000
336 3267.0000000000
443 3336.0000000000
1978 3465.0000000000
2953 3474.0000000000
4206 3505.0000000000
5351 3586.0000000000
10463 3780.0000000000
46656 3799.0000000000
306475 3821.0000000000
500000 2577.0000000000
evaluations raw_y
1 2644.0000000000
2 2710.0000000000
4 2749.0000000000
6 2935.0000000000
16 2986.0000000000
20 2987.0000000000
26 3148.0000000000
74 3401.0000000000
712 3418.0000000000
1663 3686.0000000000
8861 3716.0000000000
16548 3771.0000000000
446935 3798.0000000000
500000 2689.0000000000
evaluations raw_y
1 2892.0000000000
11 3200.0000000000
106 3250.0000000000
148 3437.0000000000
512 3477.0000000000
2379 3533.0000000000
8094 3573.0000000000
17054 3587.0000000000
28333 3592.0000000000
74154 3611.0000000000
78865 3658.0000000000
97886 3800.0000000000
432437 3803.0000000000
470211 3885.0000000000
500000 2708.0000000000
evaluations raw_y
1 2344.0000000000
2 2435.0000000000
3 2458.0000000000
7 2662.0000000000
9 2664.0000000000
10 2930.0000000000
18 2940.0000000000
33 3005.0000000000
50 3308.0000000000
877 3452.0000000000
1230 3553.0000000000
2056 3606.0000000000
29518 3787.0000000000
217387 3870.0000000000
500000 3125.0000000000
evaluations raw_y
1 2114.0000000000
2 2226.0000000000
3 2710.0000000000
4 2859.0000000000
16 3039.0000000000
38 3217.0000000000
103 3256.0000000000
368 3468.0000000000
2380 3495.0000000000
4277 3555.0000000000
17305 3672.0000000000
53771 3673.0000000000
169260 3681.0000000000
210662 3695.0000000000
286006 3721.0000000000
324664 3757.0000000000
351933 3777.0000000000
391228 3911.0000000000
500000 2309.0000000000
evaluations raw_y
1 2713.0000000000
7 3033.0000000000
76 3041.0000000000
110 3231.0000000000
300 3273.0000000000
724 3284.0000000000
975 3363.0000000000
2819 3558.0000000000
11527 3601.0000000000
18144 3769.0000000000
153345 3838.0000000000
214157 3909.0000000000
329192 3918.0000000000
500000 2144.0000000000
