evaluations raw_y
1 0.9708737864
2 1.0570824524
5 1.1515430677
6 1.1698642957
7 1.2787723785
9 1.3041210224
18 1.3304949441
23 1.3319126265
25 1.3390465988
34 1.3579576317
39 1.4543339151
44 1.4662756598
45 1.4997000600
58 1.6789791807
65 1.7667844523
80 1.8587360595
85 1.8670649739
86 2.0341741253
90 2.0920502092
99 2.2542831380
100 2.4154589372
103 2.4777006938
104 2.5329280648
134 2.6455026455
153 2.8835063437
161 3.2679738562
166 3.3647375505
215 3.5260930889
100001 3.5161744023
evaluations raw_y
1 1.1348161598
6 1.1462631820
9 1.1933174224
11 1.2543903663
25 1.3027618551
26 1.3290802764
29 1.5142337977
32 1.5772870662
38 1.7470300489
39 1.8532246108
46 2.0177562550
59 2.2461814915
69 2.2502250225
71 2.4390243902
90 2.5536261491
101 2.6232948583
102 2.6968716289
105 2.7624309392
131 2.8571428571
144 2.9308323564
197 2.9797377831
210 3.3200531208
444 3.4013605442
471 3.5460992908
100001 2.7442371021
evaluations raw_y
1 1.1590171535
2 1.2481278083
3 1.2569130216
9 1.4475969890
10 1.5974440895
12 1.6371971185
15 1.8477457502
19 1.8726591760
26 2.1097046414
42 2.2261798753
58 2.4975024975
96 2.6068821689
102 2.7144408252
103 2.7685492802
108 3.0303030303
184 3.1605562579
196 3.3557046980
277 3.3647375505
293 3.3921302578
363 3.4013605442
100001 2.8901734104
evaluations raw_y
1 0.9964129135
2 1.0199918401
6 1.0499790004
10 1.1008366358
11 1.1037527594
13 1.2357884330
16 1.2748597654
17 1.3276686139
19 1.3819789939
24 1.4997000600
26 1.5087507544
30 1.6244314490
35 1.6972165648
37 1.7818959373
39 1.8587360595
40 1.9245573518
42 1.9577133908
46 2.0781379884
66 2.1385799829
74 2.1645021645
75 2.1834061135
76 2.1949078139
82 2.3126734505
89 2.4727992087
104 2.4875621891
107 2.5432349949
142 2.6343519494
163 2.6968716289
170 2.7027027027
173 2.8184892897
174 2.9308323564
195 3.0084235860
349 3.1367628607
414 3.2765399738
100001 2.7746947836
evaluations raw_y
1 0.9387908374
3 1.0012014417
5 1.0743446498
9 1.2696800406
13 1.2787723785
17 1.4943215780
20 1.6633399867
22 1.8208302986
28 1.8341892883
30 1.9638648861
36 1.9669551534
43 1.9762845850
47 1.9857029388
48 1.9888623707
52 2.0177562550
63 2.0542317173
66 2.2341376229
70 2.2381378693
73 2.2999080037
79 2.4485798237
85 2.5025025025
96 2.5484199796
111 2.6624068158
124 2.7746947836
125 2.9239766082
128 3.1525851198
160 3.3467202142
204 3.4482758621
220 3.6179450072
253 3.6927621861
290 3.7037037037
296 3.9494470774
392 3.9619651347
100001 2.8506271380
evaluations raw_y
1 1.2518778167
7 1.4784151390
11 1.5654351910
12 1.6118633140
15 1.9215987702
16 2.0576131687
17 2.1312872975
18 2.2421524664
23 2.2872827081
28 2.4925224327
31 2.4975024975
34 2.5025025025
48 2.6567481403
89 2.6737967914
91 2.9171528588
99 3.1446540881
138 3.2175032175
176 3.2938076416
195 3.5663338088
263 3.6818851252
100001 3.3025099075
evaluations raw_y
1 0.6795324817
3 0.7052186178
4 0.7505253678
5 0.8275405495
10 0.8611780916
13 0.9338812103
15 1.0052271813
16 1.0482180294
18 1.0743446498
19 1.0883761428
22 1.1307100859
25 1.2543903663
28 1.3835085778
29 1.3850415512
30 1.4212620807
34 1.4628437683
36 1.5328019620
39 1.5933715743
40 1.6160310278
42 1.6350555919
46 1.7041581459
51 1.7205781142
53 1.9186492709
64 1.9700551615
66 2.0374898126
67 2.1097046414
72 2.3342670401
79 2.7746947836
93 2.8058361392
94 2.9171528588
130 2.9940119760
133 3.1525851198
286 3.2594524120
313 3.5063113604
314 3.7037037037
100001 2.8376844495
evaluations raw_y
1 1.3912075682
4 1.4784151390
5 1.4943215780
6 1.5479876161
11 1.6611295681
18 1.7229496899
19 1.9157088123
23 2.0048115477
31 2.0275750203
35 2.0850708924
37 2.1240441801
38 2.1496130696
40 2.1910604733
43 2.3696682464
44 2.5075225677
57 2.6737967914
58 2.7027027027
64 2.9377203290
110 3.2509752926
118 3.6818851252
100001 3.3557046980
evaluations raw_y
1 0.9807767752
3 1.1410314925
5 1.2059816691
6 1.2658227848
7 1.2671059301
10 1.3248542660
11 1.3758943313
14 1.5069318867
18 1.5460729746
21 1.5994881638
23 1.6789791807
26 1.9305019305
35 2.0955574183
41 2.1949078139
42 2.2065313327
62 2.3877745941
66 2.4201355276
80 2.5641025641
93 2.7144408252
105 2.7322404372
110 2.7995520717
119 2.9103608847
143 2.9446407538
166 3.0376670717
175 3.0599755202
195 3.1766200762
275 3.4482758621
316 3.4770514604
333 3.4867503487
100001 2.8702640643
evaluations raw_y
1 1.0125556906
2 1.0166734445
3 1.0883761428
6 1.2285012285
8 1.3178703216
12 1.4021312395
16 1.4872099941
17 1.5033072760
18 1.5933715743
20 1.6371971185
30 1.6567263088
31 1.7088174983
39 1.7158544955
44 1.7768301350
62 1.9394879752
63 2.1795989538
78 2.3299161230
89 2.4925224327
101 2.5380710660
112 2.5960539979
114 2.6567481403
127 2.7203482046
154 2.7746947836
166 2.7932960894
181 2.8121484814
241 2.8835063437
245 2.8901734104
260 2.9655990510
100001 2.4015369837
