evaluations raw_y
1 -1273.0000000000
3 -1234.0000000000
4 -1205.0000000000
8 -1166.0000000000
9 -1127.0000000000
10 -1098.0000000000
13 -1059.0000000000
14 -1030.0000000000
15 -991.0000000000
20 -952.0000000000
21 -913.0000000000
25 -884.0000000000
26 -845.0000000000
28 -806.0000000000
30 -767.0000000000
33 -738.0000000000
35 -709.0000000000
36 -680.0000000000
37 -641.0000000000
39 -612.0000000000
41 -583.0000000000
42 -554.0000000000
45 -515.0000000000
47 -486.0000000000
48 -447.0000000000
51 -408.0000000000
66 -369.0000000000
68 -350.0000000000
73 -341.0000000000
75 -322.0000000000
76 -293.0000000000
77 -254.0000000000
82 -225.0000000000
86 -216.0000000000
93 -187.0000000000
100 -168.0000000000
101 -149.0000000000
102 -130.0000000000
103 -129.0000000000
117 -90.0000000000
139 -51.0000000000
140 -42.0000000000
160 -23.0000000000
205 -22.0000000000
210 -21.0000000000
232 -2.0000000000
236 7.0000000000
266 8.0000000000
282 9.0000000000
100001 -20.0000000000
evaluations raw_y
1 -1147.0000000000
10 -1108.0000000000
13 -1079.0000000000
15 -1050.0000000000
17 -1021.0000000000
18 -992.0000000000
19 -963.0000000000
23 -924.0000000000
25 -895.0000000000
27 -856.0000000000
28 -817.0000000000
29 -788.0000000000
30 -749.0000000000
32 -710.0000000000
34 -681.0000000000
38 -642.0000000000
39 -603.0000000000
41 -564.0000000000
47 -525.0000000000
51 -486.0000000000
54 -447.0000000000
56 -418.0000000000
58 -379.0000000000
59 -350.0000000000
74 -321.0000000000
78 -282.0000000000
91 -253.0000000000
104 -234.0000000000
114 -215.0000000000
116 -186.0000000000
118 -157.0000000000
123 -148.0000000000
124 -119.0000000000
132 -100.0000000000
142 -81.0000000000
161 -62.0000000000
164 -43.0000000000
168 -42.0000000000
169 -41.0000000000
175 -32.0000000000
191 -3.0000000000
211 -2.0000000000
220 -1.0000000000
304 8.0000000000
100001 -21.0000000000
evaluations raw_y
1 -1449.0000000000
3 -1410.0000000000
5 -1371.0000000000
6 -1342.0000000000
7 -1303.0000000000
10 -1264.0000000000
12 -1225.0000000000
13 -1186.0000000000
14 -1147.0000000000
17 -1108.0000000000
18 -1069.0000000000
21 -1040.0000000000
23 -1011.0000000000
24 -992.0000000000
29 -953.0000000000
30 -914.0000000000
31 -875.0000000000
38 -836.0000000000
39 -807.0000000000
41 -778.0000000000
43 -739.0000000000
49 -710.0000000000
50 -671.0000000000
52 -642.0000000000
53 -613.0000000000
56 -574.0000000000
66 -545.0000000000
83 -506.0000000000
84 -477.0000000000
105 -438.0000000000
106 -409.0000000000
107 -370.0000000000
110 -331.0000000000
111 -292.0000000000
114 -273.0000000000
115 -244.0000000000
116 -205.0000000000
118 -176.0000000000
120 -167.0000000000
122 -138.0000000000
125 -109.0000000000
136 -90.0000000000
148 -51.0000000000
156 -50.0000000000
201 -41.0000000000
215 -32.0000000000
227 -31.0000000000
229 -22.0000000000
235 -3.0000000000
263 6.0000000000
266 7.0000000000
282 8.0000000000
100001 -11.0000000000
evaluations raw_y
1 -1312.0000000000
5 -1283.0000000000
7 -1244.0000000000
9 -1205.0000000000
10 -1166.0000000000
16 -1137.0000000000
18 -1098.0000000000
23 -1059.0000000000
24 -1020.0000000000
25 -981.0000000000
27 -952.0000000000
28 -923.0000000000
30 -884.0000000000
31 -845.0000000000
32 -806.0000000000
33 -767.0000000000
38 -728.0000000000
51 -689.0000000000
57 -660.0000000000
58 -631.0000000000
59 -592.0000000000
64 -563.0000000000
65 -534.0000000000
69 -505.0000000000
70 -476.0000000000
71 -437.0000000000
74 -408.0000000000
79 -379.0000000000
82 -360.0000000000
87 -331.0000000000
