evaluations raw_y
1 -0.4822163062
2 -0.4767932639
5 -0.4687968309
8 -0.4653565417
9 -0.4627880536
13 -0.4555676071
14 -0.4555182204
16 -0.4520909357
17 -0.4472159294
19 -0.4449364810
20 -0.4341738159
21 -0.4319158860
25 -0.4309878911
29 -0.4288653586
30 -0.4277896511
35 -0.4247419861
40 -0.4216492790
41 -0.4166952904
42 -0.4098426351
44 -0.4076408163
52 -0.4053138388
53 -0.4000049629
58 -0.3938747605
59 -0.3917327789
64 -0.3818144804
65 -0.3772701480
66 -0.3711054862
68 -0.3684421106
69 -0.3595629163
80 -0.3576918970
85 -0.3569138054
93 -0.3534267478
99 -0.3463088919
117 -0.3456923097
125 -0.3453607356
175 -0.3446942592
176 -0.3378504523
182 -0.3375264140
211 -0.3273492994
235 -0.3265870016
238 -0.3257851606
284 -0.3214199749
349 -0.3204109630
495 -0.3204025779
512 -0.3191722877
520 -0.3168645373
100001 -0.3202918219
evaluations raw_y
1 -0.5177550267
4 -0.5175876994
5 -0.5171730540
6 -0.5142398113
7 -0.5042100950
8 -0.5007828104
9 -0.4975325896
13 -0.4936689817
14 -0.4930107272
16 -0.4818649383
19 -0.4806041423
20 -0.4756508798
21 -0.4730193494
22 -0.4691233232
27 -0.4656458319
28 -0.4601201198
32 -0.4600367899
43 -0.4558632701
48 -0.4505436343
49 -0.4455324104
51 -0.4286830117
56 -0.4282432824
61 -0.4260381680
64 -0.4210499716
67 -0.4183958415
78 -0.4105581788
79 -0.4065050977
81 -0.4056767861
84 -0.4054252473
87 -0.3928626707
88 -0.3874637288
92 -0.3807734144
94 -0.3770078725
103 -0.3721070364
107 -0.3705854980
109 -0.3638604609
133 -0.3638520758
152 -0.3532558620
163 -0.3430190695
168 -0.3368544078
170 -0.3299157604
196 -0.3277737788
201 -0.3192597564
244 -0.3169520059
245 -0.3108569587
311 -0.3103768387
322 -0.3056034512
337 -0.3049868689
567 -0.3004729813
100001 -0.3096555123
evaluations raw_y
1 -0.5040906978
2 -0.4986999154
3 -0.4986915303
6 -0.4936799027
7 -0.4894716782
8 -0.4882126578
9 -0.4747418785
10 -0.4725998969
13 -0.4663111984
14 -0.4526915728
17 -0.4492045153
19 -0.4472995278
21 -0.4406928831
22 -0.4366096636
25 -0.4317346573
26 -0.4250443429
27 -0.4215647884
32 -0.4166639523
38 -0.4159229350
41 -0.4111114035
44 -0.4108452636
45 -0.4102753797
51 -0.4079676292
59 -0.4059982880
73 -0.4036568326
75 -0.4022985193
79 -0.3967728072
82 -0.3929930601
105 -0.3906327300
106 -0.3875219408
108 -0.3835746335
119 -0.3762921510
120 -0.3740870366
124 -0.3690646543
149 -0.3587696461
158 -0.3538163836
161 -0.3475283313
171 -0.3395318983
198 -0.3342122625
199 -0.3304467206
222 -0.3242820588
242 -0.3230415252
251 -0.3224249430
377 -0.3212325128
424 -0.3159236369
451 -0.3157314555
494 -0.3116661906
100001 -0.3147769798
evaluations raw_y
1 -0.5244693361
6 -0.5239985088
7 -0.5182170372
8 -0.5142697299
13 -0.5130291963
15 -0.5050066497
18 -0.4948295351
19 -0.4884518918
20 -0.4809309181
21 -0.4761575306
22 -0.4749044270
23 -0.4700928956
24 -0.4542310358
25 -0.4518669485
26 -0.4442899152
27 -0.4361966292
28 -0.4324325363
30 -0.4244361033
35 -0.4229510263
36 -0.4151382085
37 -0.4135818224
38 -0.4101190637
47 -0.4036050051
48 -0.4035966200
52 -0.4031165000
53 -0.4014056045
54 -0.3931562244
55 -0.3893599471
58 -0.3886963417
62 -0.3806931963
64 -0.3799971455
65 -0.3756754139
74 -0.3696298843
86 -0.3692819273
87 -0.3677603889
93 -0.3643331042
97 -0.3616668209
107 -0.3593042000
125 -0.3558246455
160 -0.3520050881
