evaluations raw_y
1 0.0000000000
225 1.0000000000
328 2.0000000000
386 4.0000000000
450 6.0000000000
563 9.0000000000
590 10.0000000000
607 11.0000000000
627 12.0000000000
932 16.0000000000
943 17.0000000000
1097 18.0000000000
1255 19.0000000000
1307 23.0000000000
1343 26.0000000000
1436 27.0000000000
1476 28.0000000000
1807 29.0000000000
2003 31.0000000000
2083 35.0000000000
2167 36.0000000000
2193 38.0000000000
2273 39.0000000000
2314 43.0000000000
2386 45.0000000000
2452 46.0000000000
2561 48.0000000000
2655 50.0000000000
2700 51.0000000000
2721 52.0000000000
2784 58.0000000000
2815 60.0000000000
2878 61.0000000000
3150 63.0000000000
3199 65.0000000000
3356 66.0000000000
3391 67.0000000000
3396 69.0000000000
3567 70.0000000000
3620 71.0000000000
3823 72.0000000000
3844 75.0000000000
3928 76.0000000000
4036 77.0000000000
4063 79.0000000000
4142 80.0000000000
4186 85.0000000000
4193 88.0000000000
4352 89.0000000000
4574 90.0000000000
4612 91.0000000000
4634 92.0000000000
4812 94.0000000000
4830 96.0000000000
4989 97.0000000000
5060 98.0000000000
5228 100.0000000000
100001 25.0000000000
evaluations raw_y
1 7.0000000000
137 9.0000000000
150 11.0000000000
151 14.0000000000
186 17.0000000000
272 18.0000000000
580 19.0000000000
691 21.0000000000
899 23.0000000000
930 27.0000000000
1012 29.0000000000
1044 31.0000000000
1146 32.0000000000
1189 33.0000000000
1197 34.0000000000
1270 35.0000000000
1605 36.0000000000
1905 39.0000000000
2181 41.0000000000
2197 42.0000000000
2240 43.0000000000
2279 45.0000000000
2303 46.0000000000
2363 47.0000000000
2479 48.0000000000
2519 50.0000000000
2564 51.0000000000
2646 56.0000000000
2711 57.0000000000
2753 58.0000000000
2830 59.0000000000
2939 60.0000000000
3011 62.0000000000
3230 65.0000000000
3307 66.0000000000
3383 68.0000000000
3499 69.0000000000
3608 70.0000000000
3686 74.0000000000
3824 76.0000000000
3844 78.0000000000
4002 79.0000000000
4015 83.0000000000
4100 84.0000000000
4107 88.0000000000
4111 89.0000000000
4191 92.0000000000
4246 93.0000000000
4250 94.0000000000
4320 96.0000000000
4393 97.0000000000
4532 99.0000000000
4577 100.0000000000
100001 52.0000000000
evaluations raw_y
1 1.0000000000
337 4.0000000000
382 5.0000000000
625 6.0000000000
826 7.0000000000
950 13.0000000000
1131 14.0000000000
1266 16.0000000000
1299 17.0000000000
1448 20.0000000000
1541 21.0000000000
1784 22.0000000000
1831 23.0000000000
1835 24.0000000000
1836 25.0000000000
2191 26.0000000000
2220 29.0000000000
2309 31.0000000000
2349 34.0000000000
2352 35.0000000000
2387 36.0000000000
2477 37.0000000000
2533 39.0000000000
2641 40.0000000000
2666 42.0000000000
2691 44.0000000000
3000 50.0000000000
3048 52.0000000000
3182 53.0000000000
3342 54.0000000000
3362 56.0000000000
3365 57.0000000000
3529 59.0000000000
3586 63.0000000000
4009 65.0000000000
4038 66.0000000000
4120 68.0000000000
4181 73.0000000000
4259 74.0000000000
4280 75.0000000000
4356 76.0000000000
4381 78.0000000000
4390 79.0000000000
4425 81.0000000000
4534 83.0000000000
4618 84.0000000000
4638 85.0000000000
5089 86.0000000000
5161 92.0000000000
5272 94.0000000000
5340 95.0000000000
5364 97.0000000000
5590 98.0000000000
5731 99.0000000000
5778 100.0000000000
100001 22.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
52 2.0000000000
92 5.0000000000
205 7.0000000000
225 13.0000000000
250 16.0000000000
263 18.0000000000
275 19.0000000000
325 23.0000000000
343 25.0000000000
366 26.0000000000
445 28.0000000000
515 30.0000000000
525 31.0000000000
559 33.0000000000
768 34.0000000000
778 35.0000000000
819 36.0000000000
827 37.0000000000
933 39.0000000000
1044 42.0000000000
1063 44.0000000000
1081 45.0000000000
1399 48.0000000000
1513 50.0000000000
1544 51.0000000000
1622 52.0000000000
1704 53.0000000000
1773 54.0000000000
1980 56.0000000000
2139 57.0000000000
2160 58.0000000000
2229 59.0000000000
2449 63.0000000000
2613 64.0000000000
2758 65.0000000000
2916 69.0000000000
2943 71.0000000000
3027 72.0000000000
3057 75.0000000000
3294 76.0000000000
3325 77.0000000000
3335 78.0000000000
3541 84.0000000000
3766 86.0000000000
3852 87.0000000000
4110 89.0000000000
4138 90.0000000000
4151 93.0000000000
4184 94.0000000000
4456 95.0000000000
4589 96.0000000000
4700 97.0000000000
4706 98.0000000000
4912 99.0000000000
5148 100.0000000000
100001 47.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
67 4.0000000000
182 5.0000000000
198 6.0000000000
231 8.0000000000
309 10.0000000000
339 15.0000000000
465 18.0000000000
900 19.0000000000
1062 22.0000000000
1073 23.0000000000
1096 29.0000000000
1123 30.0000000000
1208 32.0000000000
1217 35.0000000000
1467 38.0000000000
1507 41.0000000000
1654 42.0000000000
1658 44.0000000000
1760 46.0000000000
1784 49.0000000000
1903 51.0000000000
2082 54.0000000000
2119 58.0000000000
2186 60.0000000000
2261 61.0000000000
2421 62.0000000000
2677 66.0000000000
2803 67.0000000000
3088 68.0000000000
3140 72.0000000000
3420 75.0000000000
3422 77.0000000000
3620 78.0000000000
3709 79.0000000000
3735 80.0000000000
3810 82.0000000000
3818 84.0000000000
3902 85.0000000000
3928 88.0000000000
4055 89.0000000000
4183 90.0000000000
4302 91.0000000000
4627 93.0000000000
4659 94.0000000000
4721 99.0000000000
4993 100.0000000000
100001 89.0000000000
evaluations raw_y
1 1.0000000000
37 2.0000000000
98 3.0000000000
124 5.0000000000
179 9.0000000000
235 13.0000000000
489 17.0000000000
520 20.0000000000
648 21.0000000000
836 22.0000000000
922 24.0000000000
942 27.0000000000
1000 28.0000000000
1130 29.0000000000
1159 31.0000000000
1182 32.0000000000
1225 33.0000000000
1261 35.0000000000
1578 37.0000000000
1682 39.0000000000
1786 40.0000000000
1831 41.0000000000
1874 42.0000000000
2146 43.0000000000
2216 44.0000000000
2234 46.0000000000
2267 47.0000000000
2370 48.0000000000
2432 49.0000000000
2475 51.0000000000
2494 52.0000000000
2516 55.0000000000
2551 56.0000000000
2564 58.0000000000
2668 59.0000000000
2717 60.0000000000
2785 62.0000000000
2798 65.0000000000
3004 69.0000000000
3045 73.0000000000
3139 74.0000000000
3206 75.0000000000
3318 76.0000000000
3349 78.0000000000
3524 83.0000000000
3525 84.0000000000
3604 85.0000000000
3638 87.0000000000
3814 89.0000000000
3953 90.0000000000
4270 92.0000000000
4313 93.0000000000
4478 94.0000000000
4522 95.0000000000
4627 96.0000000000
4664 100.0000000000
100001 44.0000000000
evaluations raw_y
1 0.0000000000
23 2.0000000000
36 4.0000000000
128 5.0000000000
267 16.0000000000
392 17.0000000000
654 18.0000000000
680 20.0000000000
743 21.0000000000
826 25.0000000000
878 27.0000000000
898 29.0000000000
905 33.0000000000
1061 34.0000000000
1139 36.0000000000
1144 37.0000000000
1269 41.0000000000
1363 45.0000000000
1417 47.0000000000
1440 48.0000000000
1497 50.0000000000
1699 53.0000000000
1706 55.0000000000
1844 56.0000000000
1914 60.0000000000
1959 61.0000000000
2024 63.0000000000
2224 64.0000000000
2242 67.0000000000
2324 68.0000000000
2422 70.0000000000
2431 72.0000000000
2580 73.0000000000
2744 74.0000000000
2804 82.0000000000
2854 86.0000000000
3025 87.0000000000
3120 88.0000000000
3387 89.0000000000
3554 90.0000000000
3715 94.0000000000
3823 98.0000000000
3832 100.0000000000
100001 36.0000000000
evaluations raw_y
1 0.0000000000
152 4.0000000000
172 5.0000000000
374 8.0000000000
419 11.0000000000
510 14.0000000000
563 18.0000000000
641 20.0000000000
934 21.0000000000
1089 24.0000000000
1179 25.0000000000
1185 26.0000000000
1201 32.0000000000
1240 33.0000000000
1334 38.0000000000
1363 42.0000000000
1407 43.0000000000
1410 46.0000000000
1534 47.0000000000
1581 49.0000000000
1965 50.0000000000
2014 51.0000000000
2030 52.0000000000
2134 53.0000000000
2200 54.0000000000
2255 58.0000000000
2462 59.0000000000
2606 61.0000000000
2686 62.0000000000
2722 63.0000000000
2842 69.0000000000
2861 71.0000000000
2982 72.0000000000
3013 75.0000000000
3038 76.0000000000
3077 77.0000000000
3310 78.0000000000
3488 79.0000000000
3613 80.0000000000
3765 86.0000000000
3829 87.0000000000
3848 88.0000000000
4046 89.0000000000
4318 92.0000000000
4320 93.0000000000
4513 95.0000000000
4561 96.0000000000
4623 97.0000000000
4837 99.0000000000
4908 100.0000000000
100001 75.0000000000
evaluations raw_y
1 2.0000000000
26 3.0000000000
60 4.0000000000
62 5.0000000000
152 6.0000000000
156 7.0000000000
158 12.0000000000
405 17.0000000000
475 21.0000000000
875 22.0000000000
930 26.0000000000
938 31.0000000000
1374 32.0000000000
1387 34.0000000000
1500 37.0000000000
1511 39.0000000000
1822 41.0000000000
2435 43.0000000000
2506 46.0000000000
2566 49.0000000000
2596 51.0000000000
2608 52.0000000000
2795 54.0000000000
2880 55.0000000000
2955 57.0000000000
2967 59.0000000000
3043 62.0000000000
3076 64.0000000000
3077 66.0000000000
3299 67.0000000000
3629 68.0000000000
3694 70.0000000000
3851 72.0000000000
3904 75.0000000000
4142 76.0000000000
4553 79.0000000000
4636 81.0000000000
4705 83.0000000000
4726 84.0000000000
4882 86.0000000000
4963 87.0000000000
5065 89.0000000000
5207 93.0000000000
5220 94.0000000000
5279 98.0000000000
5375 100.0000000000
100001 25.0000000000
evaluations raw_y
1 1.0000000000
306 4.0000000000
313 6.0000000000
417 9.0000000000
479 10.0000000000
506 11.0000000000
