evaluations raw_y
1 2443.0000000000
10 2482.0000000000
11 2510.0000000000
12 2570.0000000000
14 2584.0000000000
16 2636.0000000000
17 2643.0000000000
23 2684.0000000000
25 2707.0000000000
28 2726.0000000000
29 2790.0000000000
31 2827.0000000000
32 2875.0000000000
38 2942.0000000000
39 2974.0000000000
41 3060.0000000000
44 3129.0000000000
45 3205.0000000000
46 3227.0000000000
47 3308.0000000000
48 3337.0000000000
49 3425.0000000000
57 3427.0000000000
65 3451.0000000000
66 3538.0000000000
69 3556.0000000000
71 3618.0000000000
74 3714.0000000000
78 3789.0000000000
79 3838.0000000000
83 3891.0000000000
84 3912.0000000000
85 3942.0000000000
93 3969.0000000000
94 4025.0000000000
100 4076.0000000000
109 4111.0000000000
114 4151.0000000000
127 4231.0000000000
142 4262.0000000000
150 4330.0000000000
153 4419.0000000000
154 4511.0000000000
174 4536.0000000000
201 4540.0000000000
208 4623.0000000000
211 4624.0000000000
236 4709.0000000000
249 4768.0000000000
276 4829.0000000000
363 4867.0000000000
391 4965.0000000000
436 4981.0000000000
452 5047.0000000000
776 5050.0000000000
100001 4980.0000000000
evaluations raw_y
1 3223.0000000000
8 3257.0000000000
13 3303.0000000000
14 3365.0000000000
21 3375.0000000000
25 3413.0000000000
26 3486.0000000000
29 3499.0000000000
31 3541.0000000000
32 3608.0000000000
39 3628.0000000000
46 3697.0000000000
48 3754.0000000000
50 3782.0000000000
51 3785.0000000000
56 3796.0000000000
60 3815.0000000000
67 3880.0000000000
73 3954.0000000000
80 4024.0000000000
91 4108.0000000000
93 4176.0000000000
94 4230.0000000000
100 4293.0000000000
102 4386.0000000000
106 4391.0000000000
110 4472.0000000000
121 4532.0000000000
138 4559.0000000000
144 4603.0000000000
145 4605.0000000000
153 4622.0000000000
154 4654.0000000000
155 4704.0000000000
163 4791.0000000000
168 4834.0000000000
175 4919.0000000000
181 4923.0000000000
203 5006.0000000000
220 5043.0000000000
276 5050.0000000000
100001 4992.0000000000
evaluations raw_y
1 2618.0000000000
4 2649.0000000000
5 2735.0000000000
6 2787.0000000000
7 2801.0000000000
8 2827.0000000000
9 2829.0000000000
10 2923.0000000000
14 3013.0000000000
15 3040.0000000000
18 3044.0000000000
21 3107.0000000000
22 3113.0000000000
23 3188.0000000000
24 3237.0000000000
28 3260.0000000000
30 3298.0000000000
31 3356.0000000000
35 3375.0000000000
43 3452.0000000000
44 3505.0000000000
50 3510.0000000000
60 3566.0000000000
62 3575.0000000000
66 3625.0000000000
69 3657.0000000000
70 3705.0000000000
74 3734.0000000000
77 3758.0000000000
85 3815.0000000000
93 3852.0000000000
97 3944.0000000000
101 4006.0000000000
110 4077.0000000000
113 4174.0000000000
117 4250.0000000000
126 4328.0000000000
127 4382.0000000000
129 4454.0000000000
130 4522.0000000000
148 4582.0000000000
173 4597.0000000000
181 4639.0000000000
188 4723.0000000000
196 4739.0000000000
227 4740.0000000000
228 4835.0000000000
262 4918.0000000000
277 4952.0000000000
353 5050.0000000000
100001 4965.0000000000
evaluations raw_y
1 2919.0000000000
2 2922.0000000000
5 2968.0000000000
6 3024.0000000000
