evaluations raw_y
1 0.9881422925
2 1.3691128149
4 1.4723203769
8 1.5299877601
19 1.5451174289
22 2.0259319287
38 2.0525451560
357 2.1663778163
411 2.1968365554
894 2.4366471735
1032 2.5987525988
12607 2.8868360277
53146 2.9411764706
68004 2.9976019185
71944 3.0562347188
125000 1.1394712853
evaluations raw_y
1 0.6561679790
2 0.7807620237
3 1.3935340022
10 1.6778523490
19 1.6960651289
32 1.7146776406
72 1.9260400616
243 2.0259319287
249 2.0525451560
539 2.3277467412
1417 2.3992322457
3320 2.4752475248
5196 2.5150905433
5761 2.5987525988
8782 2.8868360277
89632 2.9976019185
125000 1.5762925599
evaluations raw_y
1 1.1649580615
5 1.6087516088
37 1.6425755585
44 1.7730496454
64 1.8796992481
424 1.9747235387
570 2.3629489603
1120 2.4752475248
1941 3.6231884058
125000 0.9184423218
evaluations raw_y
1 0.8175277959
2 1.0204081633
3 1.1916110582
7 1.5006002401
18 1.5762925599
22 1.7146776406
60 1.7337031900
85 1.8796992481
87 2.4366471735
1543 2.6881720430
5123 2.7352297593
11792 2.9976019185
125000 1.5299877601
evaluations raw_y
1 1.5451174289
20 1.7337031900
33 2.0000000000
65 2.6881720430
2896 2.9411764706
3999 2.9976019185
66891 3.0562347188
102040 3.1172069825
125000 1.5006002401
evaluations raw_y
1 1.1071744907
2 1.1478420569
6 1.3691128149
19 1.4318442153
20 1.5762925599
22 1.5923566879
27 1.9500780031
64 2.0259319287
115 2.1079258010
177 2.1367521368
228 2.1663778163
352 2.5150905433
2665 2.5562372188
8984 2.5987525988
9629 2.6427061311
11382 2.8868360277
13907 3.1172069825
71309 3.4626038781
125000 0.6971556051
evaluations raw_y
1 1.3340448239
3 1.5299877601
14 1.6087516088
17 1.9747235387
67 2.0000000000
354 2.0798668885
784 2.4752475248
2409 2.9411764706
26015 3.0562347188
89446 3.1806615776
93384 3.2467532468
125000 0.7692307692
evaluations raw_y
1 1.0477787091
3 1.3340448239
7 1.7934002869
12 1.9260400616
177 2.0259319287
307 2.1663778163
493 2.2935779817
531 2.3992322457
550 2.5150905433
2427 2.6881720430
54621 2.7839643653
81221 2.9976019185
121322 3.1806615776
125000 1.2794268168
evaluations raw_y
1 0.7966857871
2 0.9025270758
3 0.9405568096
4 1.1230907457
7 1.3572204126
15 1.8573551263
105 2.1367521368
130 2.2935779817
613 2.4752475248
1556 2.8868360277
45233 2.9411764706
60665 3.1172069825
125000 1.0917030568
evaluations raw_y
1 1.4723203769
18 1.7934002869
21 2.0259319287
483 2.1367521368
532 2.2935779817
1469 2.5562372188
4436 2.5987525988
6441 2.6427061311
8833 2.6881720430
14401 2.8344671202
31233 3.1806615776
117023 3.3875338753
125000 1.0841283608
