evaluations raw_y
1 1.1071744907
3 1.3227513228
14 2.4752475248
3493 2.6427061311
6330 2.6881720430
15562 2.7839643653
31577 2.9411764706
38898 3.3875338753
125000 1.4585764294
evaluations raw_y
1 1.2195121951
2 1.4188422247
14 1.5923566879
16 1.6087516088
25 1.8573551263
101 1.9747235387
176 2.1968365554
206 2.5562372188
293 2.6881720430
6150 2.8868360277
32979 2.9411764706
43360 3.0562347188
67816 3.2467532468
125000 0.9944311854
evaluations raw_y
1 0.8048937540
2 1.7531556802
23 2.0259319287
63 2.6427061311
1018 3.0562347188
79924 3.1172069825
105451 3.4626038781
125000 1.0339123242
evaluations raw_y
1 0.8722958828
2 1.3812154696
6 1.3935340022
7 1.4060742407
20 1.4723203769
36 1.5451174289
60 1.7146776406
73 1.7337031900
87 1.8573551263
176 1.9500780031
280 2.1079258010
484 2.2281639929
1157 2.5987525988
6951 2.7839643653
10619 2.8344671202
13301 2.8868360277
72283 3.1172069825
125000 1.5762925599
evaluations raw_y
1 1.1737089202
2 1.2690355330
3 1.3935340022
9 1.4318442153
10 1.5451174289
18 1.7730496454
35 1.8573551263
125 2.0525451560
483 2.1367521368
855 2.1663778163
962 2.2935779817
1492 2.3992322457
4666 2.5150905433
8019 2.9411764706
10401 2.9976019185
33568 3.1806615776
125000 1.2195121951
evaluations raw_y
1 1.3116474292
4 1.5006002401
6 1.5451174289
11 1.7531556802
57 2.0259319287
70 2.0798668885
174 2.5150905433
757 2.5987525988
774 2.6881720430
3641 2.8344671202
28011 2.9411764706
123313 3.1806615776
125000 0.9405568096
evaluations raw_y
1 0.8922198430
2 1.5923566879
22 2.1079258010
297 2.2603978300
1572 2.3277467412
5693 2.5150905433
5723 2.5562372188
11315 3.1172069825
84715 3.5410764873
125000 1.1649580615
evaluations raw_y
1 0.7066139062
2 0.9520182788
3 1.4723203769
15 1.6600265604
60 1.6960651289
68 1.9260400616
157 2.1079258010
644 2.1968365554
2248 3.2467532468
125000 0.8175277959
evaluations raw_y
1 1.2007684918
7 1.8142235123
51 1.8796992481
122 2.0798668885
150 2.3629489603
2105 2.5562372188
2614 2.9411764706
15291 3.0562347188
66908 3.6231884058
125000 1.0339123242
evaluations raw_y
1 0.9462528388
2 1.2195121951
4 1.3935340022
18 1.6778523490
56 1.7934002869
78 2.0259319287
141 2.5150905433
1651 2.5562372188
5844 2.6427061311
9937 2.6881720430
10041 2.8344671202
11911 3.2467532468
66151 3.3875338753
93020 3.7993920973
125000 0.9944311854
