evaluations raw_y
1 1.0000000000
6 3.0000000000
17 4.0000000000
20 9.0000000000
1468 11.0000000000
4081 13.0000000000
4576 14.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
16 4.0000000000
49 11.0000000000
227 12.0000000000
3642 13.0000000000
9149 15.0000000000
75381 17.0000000000
113244 18.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
3 4.0000000000
28 5.0000000000
121 8.0000000000
4141 9.0000000000
5143 10.0000000000
6102 11.0000000000
6807 13.0000000000
23335 15.0000000000
29293 16.0000000000
44770 18.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
6 1.0000000000
7 6.0000000000
26 10.0000000000
4407 11.0000000000
4705 12.0000000000
15135 13.0000000000
27269 14.0000000000
100966 25.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
9 2.0000000000
26 4.0000000000
56 6.0000000000
229 8.0000000000
479 12.0000000000
3532 17.0000000000
34737 18.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
8 3.0000000000
15 5.0000000000
78 6.0000000000
163 9.0000000000
554 14.0000000000
41854 19.0000000000
125000 4.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
7 4.0000000000
30 5.0000000000
34 6.0000000000
155 8.0000000000
256 11.0000000000
3569 13.0000000000
47010 15.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
8 2.0000000000
40 3.0000000000
62 4.0000000000
71 5.0000000000
108 9.0000000000
217 11.0000000000
3263 12.0000000000
14306 13.0000000000
26696 15.0000000000
57001 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
3 5.0000000000
54 6.0000000000
232 8.0000000000
740 10.0000000000
3017 11.0000000000
10257 12.0000000000
14460 13.0000000000
41993 17.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
21 4.0000000000
42 7.0000000000
322 8.0000000000
701 11.0000000000
3554 13.0000000000
23967 15.0000000000
125000 0.0000000000
