evaluations raw_y
1 15.0000000000
2 27.0000000000
4 28.0000000000
10 29.0000000000
32 30.0000000000
39 31.0000000000
50 33.0000000000
73 38.0000000000
5253 39.0000000000
10109 40.0000000000
125000 26.0000000000
evaluations raw_y
1 29.0000000000
19 30.0000000000
27 32.0000000000
118 33.0000000000
234 34.0000000000
341 36.0000000000
1285 37.0000000000
2192 38.0000000000
15551 39.0000000000
91120 41.0000000000
125000 22.0000000000
evaluations raw_y
1 23.0000000000
2 24.0000000000
4 25.0000000000
10 26.0000000000
12 28.0000000000
26 29.0000000000
35 35.0000000000
583 36.0000000000
1016 37.0000000000
9349 38.0000000000
53728 39.0000000000
102953 40.0000000000
125000 26.0000000000
evaluations raw_y
1 31.0000000000
7 35.0000000000
12 37.0000000000
5916 39.0000000000
36026 40.0000000000
125000 31.0000000000
evaluations raw_y
1 25.0000000000
6 32.0000000000
43 33.0000000000
49 34.0000000000
1008 35.0000000000
1802 37.0000000000
8756 38.0000000000
47878 39.0000000000
63363 40.0000000000
125000 25.0000000000
evaluations raw_y
1 30.0000000000
34 33.0000000000
37 34.0000000000
831 35.0000000000
2374 37.0000000000
38274 38.0000000000
50893 41.0000000000
125000 27.0000000000
evaluations raw_y
1 27.0000000000
2 30.0000000000
15 32.0000000000
96 33.0000000000
347 35.0000000000
1988 37.0000000000
10354 39.0000000000
11315 40.0000000000
125000 28.0000000000
evaluations raw_y
1 25.0000000000
4 29.0000000000
14 32.0000000000
28 34.0000000000
1190 35.0000000000
1547 36.0000000000
2549 37.0000000000
6249 39.0000000000
43728 40.0000000000
125000 26.0000000000
evaluations raw_y
1 17.0000000000
2 24.0000000000
4 32.0000000000
56 33.0000000000
152 35.0000000000
1287 38.0000000000
11047 40.0000000000
125000 27.0000000000
evaluations raw_y
1 26.0000000000
9 27.0000000000
12 29.0000000000
16 31.0000000000
28 32.0000000000
36 33.0000000000
133 35.0000000000
263 36.0000000000
2623 38.0000000000
26793 40.0000000000
125000 27.0000000000
