evaluations raw_y
1 -1557.0000000000
4 -1518.0000000000
11 -1440.0000000000
14 -1401.0000000000
17 -1323.0000000000
20 -1294.0000000000
22 -1255.0000000000
23 -1226.0000000000
24 -1187.0000000000
30 -1148.0000000000
31 -1109.0000000000
35 -992.0000000000
43 -963.0000000000
45 -895.0000000000
51 -856.0000000000
52 -778.0000000000
53 -720.0000000000
54 -691.0000000000
61 -681.0000000000
64 -671.0000000000
70 -603.0000000000
87 -564.0000000000
99 -554.0000000000
103 -525.0000000000
106 -486.0000000000
111 -447.0000000000
140 -418.0000000000
146 -379.0000000000
160 -340.0000000000
169 -321.0000000000
179 -292.0000000000
201 -263.0000000000
246 -224.0000000000
247 -166.0000000000
282 -156.0000000000
286 -147.0000000000
289 -118.0000000000
294 -99.0000000000
297 -70.0000000000
301 -41.0000000000
308 -32.0000000000
355 -13.0000000000
433 -4.0000000000
443 -3.0000000000
496 -2.0000000000
536 7.0000000000
571 8.0000000000
871 9.0000000000
100000 -49.0000000000
evaluations raw_y
1 -1098.0000000000
11 -1020.0000000000
12 -991.0000000000
13 -884.0000000000
17 -845.0000000000
21 -835.0000000000
22 -806.0000000000
28 -767.0000000000
30 -757.0000000000
46 -728.0000000000
50 -689.0000000000
53 -621.0000000000
54 -534.0000000000
69 -505.0000000000
85 -486.0000000000
86 -476.0000000000
87 -447.0000000000
91 -389.0000000000
93 -370.0000000000
94 -341.0000000000
101 -322.0000000000
109 -312.0000000000
132 -283.0000000000
142 -254.0000000000
157 -215.0000000000
168 -196.0000000000
169 -186.0000000000
176 -167.0000000000
190 -148.0000000000
224 -129.0000000000
256 -128.0000000000
262 -99.0000000000
308 -80.0000000000
380 -79.0000000000
384 -60.0000000000
397 -41.0000000000
398 -32.0000000000
430 -13.0000000000
498 6.0000000000
499 7.0000000000
610 8.0000000000
1514 9.0000000000
100000 -88.0000000000
evaluations raw_y
1 -1508.0000000000
4 -1479.0000000000
5 -1469.0000000000
7 -1430.0000000000
8 -1401.0000000000
9 -1362.0000000000
10 -1323.0000000000
11 -1274.0000000000
15 -1235.0000000000
23 -1196.0000000000
31 -1157.0000000000
32 -1118.0000000000
33 -1079.0000000000
36 -1050.0000000000
38 -972.0000000000
41 -933.0000000000
44 -904.0000000000
47 -865.0000000000
49 -826.0000000000
55 -787.0000000000
63 -738.0000000000
66 -728.0000000000
68 -699.0000000000
70 -660.0000000000
77 -631.0000000000
81 -563.0000000000
86 -524.0000000000
96 -495.0000000000
107 -476.0000000000
110 -447.0000000000
114 -418.0000000000
115 -399.0000000000
121 -341.0000000000
123 -302.0000000000
151 -283.0000000000
160 -273.0000000000
161 -244.0000000000
185 -215.0000000000
199 -206.0000000000
202 -129.0000000000
206 -110.0000000000
209 -100.0000000000
259 -91.0000000000
271 -90.0000000000
293 -81.0000000000
294 -70.0000000000
330 -41.0000000000
345 -32.0000000000
412 -23.0000000000
450 -14.0000000000
489 -13.0000000000
499 -12.0000000000
526 7.0000000000
890 8.0000000000
984 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1644.0000000000
3 -1605.0000000000
6 -1527.0000000000
13 -1488.0000000000
15 -1410.0000000000
25 -1371.0000000000
31 -1293.0000000000
32 -1254.0000000000
33 -1215.0000000000
35 -1186.0000000000
37 -1147.0000000000
40 -1089.0000000000
41 -1050.0000000000
42 -972.0000000000
43 -933.0000000000
44 -894.0000000000
45 -845.0000000000
51 -816.0000000000
52 -806.0000000000
55 -777.0000000000
62 -738.0000000000
71 -699.0000000000
78 -660.0000000000
83 -621.0000000000
86 -582.0000000000
90 -543.0000000000
94 -514.0000000000
96 -485.0000000000
99 -466.0000000000
101 -428.0000000000
112 -409.0000000000
114 -371.0000000000
152 -342.0000000000
160 -303.0000000000
182 -302.0000000000
210 -273.0000000000
245 -244.0000000000
252 -215.0000000000
258 -196.0000000000
272 -167.0000000000
286 -148.0000000000
293 -129.0000000000
299 -100.0000000000
305 -91.0000000000
318 -71.0000000000
335 -70.0000000000
356 -61.0000000000
359 -52.0000000000
383 -33.0000000000
465 -24.0000000000
488 -15.0000000000
493 -14.0000000000
515 -13.0000000000
548 -12.0000000000
697 7.0000000000
897 8.0000000000
984 9.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1254.0000000000
2 -1186.0000000000
4 -1157.0000000000
5 -1128.0000000000
7 -1089.0000000000
10 -982.0000000000
11 -943.0000000000
24 -885.0000000000
31 -846.0000000000
33 -827.0000000000
38 -798.0000000000
51 -730.0000000000
54 -720.0000000000
56 -652.0000000000
61 -642.0000000000
62 -632.0000000000
87 -603.0000000000
90 -535.0000000000
95 -496.0000000000
114 -457.0000000000
119 -428.0000000000
159 -408.0000000000
184 -398.0000000000
187 -359.0000000000
200 -340.0000000000
239 -301.0000000000
247 -272.0000000000
256 -233.0000000000
272 -185.0000000000
313 -166.0000000000
322 -137.0000000000
356 -128.0000000000
402 -109.0000000000
411 -79.0000000000
425 -60.0000000000
449 -51.0000000000
454 -33.0000000000
483 -14.0000000000
490 -13.0000000000
522 -12.0000000000
551 -3.0000000000
586 -2.0000000000
680 7.0000000000
867 8.0000000000
1150 9.0000000000
74946 10.0000000000
evaluations raw_y
1 -1040.0000000000
14 -1001.0000000000
16 -865.0000000000
22 -826.0000000000
27 -816.0000000000
46 -777.0000000000
54 -738.0000000000
57 -699.0000000000
73 -651.0000000000
83 -544.0000000000
86 -515.0000000000
91 -486.0000000000
95 -447.0000000000
98 -370.0000000000
106 -341.0000000000
107 -312.0000000000
141 -254.0000000000
182 -235.0000000000
207 -206.0000000000
259 -177.0000000000
264 -158.0000000000
267 -148.0000000000
281 -138.0000000000
284 -129.0000000000
292 -128.0000000000
336 -99.0000000000
367 -80.0000000000
432 -79.0000000000
433 -50.0000000000
446 -41.0000000000
542 -22.0000000000
600 -13.0000000000
616 -4.0000000000
638 5.0000000000
653 6.0000000000
726 7.0000000000
762 8.0000000000
857 9.0000000000
980 10.0000000000
evaluations raw_y
1 -1497.0000000000
3 -1458.0000000000
11 -1419.0000000000
24 -1380.0000000000
25 -1341.0000000000
33 -1302.0000000000
34 -1263.0000000000
36 -1224.0000000000
38 -1185.0000000000
42 -1156.0000000000
45 -1117.0000000000
51 -1107.0000000000
61 -1088.0000000000
62 -1010.0000000000
68 -971.0000000000
74 -932.0000000000
79 -864.0000000000
84 -806.0000000000
93 -767.0000000000
105 -728.0000000000
109 -689.0000000000
110 -650.0000000000
124 -621.0000000000
158 -611.0000000000
159 -582.0000000000
182 -553.0000000000
193 -514.0000000000
194 -485.0000000000
196 -475.0000000000
201 -436.0000000000
202 -397.0000000000
212 -368.0000000000
215 -339.0000000000
219 -310.0000000000
230 -291.0000000000
238 -252.0000000000
257 -233.0000000000
282 -195.0000000000
292 -176.0000000000
296 -147.0000000000
297 -128.0000000000
343 -109.0000000000
354 -90.0000000000
394 -80.0000000000
402 -61.0000000000
407 -42.0000000000
480 -23.0000000000
498 -14.0000000000
513 5.0000000000
519 6.0000000000
548 7.0000000000
759 8.0000000000
965 9.0000000000
63231 10.0000000000
evaluations raw_y
1 -1430.0000000000
3 -1391.0000000000
6 -1362.0000000000
9 -1284.0000000000
15 -1206.0000000000
19 -1167.0000000000
22 -1147.0000000000
31 -1069.0000000000
51 -1059.0000000000
70 -1049.0000000000
85 -1010.0000000000
90 -971.0000000000
105 -942.0000000000
109 -903.0000000000
114 -874.0000000000
121 -845.0000000000
122 -806.0000000000
128 -738.0000000000
130 -709.0000000000
136 -670.0000000000
137 -631.0000000000
143 -602.0000000000
149 -573.0000000000
151 -534.0000000000
156 -495.0000000000
157 -466.0000000000
167 -437.0000000000
168 -408.0000000000
184 -389.0000000000
185 -350.0000000000
202 -321.0000000000
230 -282.0000000000
234 -272.0000000000
239 -233.0000000000
240 -204.0000000000
244 -166.0000000000
248 -147.0000000000
249 -138.0000000000
255 -109.0000000000
256 -100.0000000000
270 -71.0000000000
295 -70.0000000000
353 -51.0000000000
406 -32.0000000000
438 -31.0000000000
458 -22.0000000000
528 -3.0000000000
539 -2.0000000000
592 7.0000000000
1355 8.0000000000
2338 9.0000000000
2608 10.0000000000
evaluations raw_y
1 -1546.0000000000
5 -1468.0000000000
6 -1429.0000000000
12 -1400.0000000000
16 -1361.0000000000
17 -1293.0000000000
22 -1215.0000000000
23 -1176.0000000000
26 -1137.0000000000
35 -1108.0000000000
38 -1001.0000000000
47 -972.0000000000
53 -943.0000000000
65 -914.0000000000
66 -846.0000000000
70 -807.0000000000
82 -778.0000000000
86 -739.0000000000
90 -700.0000000000
95 -632.0000000000
112 -593.0000000000
124 -554.0000000000
125 -515.0000000000
139 -495.0000000000
149 -466.0000000000
158 -427.0000000000
159 -398.0000000000
166 -369.0000000000
173 -359.0000000000
179 -330.0000000000
184 -301.0000000000
186 -262.0000000000
189 -242.0000000000
195 -204.0000000000
201 -175.0000000000
219 -136.0000000000
222 -127.0000000000
226 -108.0000000000
237 -99.0000000000
266 -90.0000000000
276 -61.0000000000
279 -60.0000000000
301 -51.0000000000
333 -42.0000000000
343 -23.0000000000
368 -4.0000000000
370 -3.0000000000
422 -2.0000000000
982 7.0000000000
