evaluations raw_y
1 2472.0000000000
2 2536.0000000000
3 2579.0000000000
9 2615.0000000000
10 2632.0000000000
15 2728.0000000000
19 2778.0000000000
30 2975.0000000000
32 3047.0000000000
36 3132.0000000000
39 3194.0000000000
42 3246.0000000000
43 3271.0000000000
51 3373.0000000000
52 3426.0000000000
54 3456.0000000000
55 3505.0000000000
56 3574.0000000000
58 3674.0000000000
64 3698.0000000000
66 3795.0000000000
73 3845.0000000000
76 3880.0000000000
77 3907.0000000000
84 3917.0000000000
87 3922.0000000000
91 3948.0000000000
97 4000.0000000000
100 4033.0000000000
108 4116.0000000000
119 4122.0000000000
138 4184.0000000000
143 4221.0000000000
148 4236.0000000000
158 4310.0000000000
171 4443.0000000000
173 4529.0000000000
198 4531.0000000000
208 4549.0000000000
214 4618.0000000000
234 4639.0000000000
258 4656.0000000000
289 4727.0000000000
290 4732.0000000000
378 4811.0000000000
382 4854.0000000000
394 4861.0000000000
418 4863.0000000000
420 4920.0000000000
584 4967.0000000000
626 4970.0000000000
794 4988.0000000000
1045 5002.0000000000
1151 5012.0000000000
1156 5018.0000000000
1158 5050.0000000000
evaluations raw_y
1 2260.0000000000
8 2290.0000000000
9 2369.0000000000
12 2417.0000000000
13 2491.0000000000
15 2509.0000000000
22 2592.0000000000
26 2620.0000000000
28 2631.0000000000
29 2689.0000000000
32 2708.0000000000
33 2759.0000000000
35 2833.0000000000
37 2840.0000000000
42 2894.0000000000
45 2989.0000000000
46 3041.0000000000
49 3116.0000000000
52 3159.0000000000
59 3210.0000000000
62 3212.0000000000
64 3277.0000000000
65 3280.0000000000
69 3332.0000000000
74 3367.0000000000
85 3382.0000000000
87 3399.0000000000
89 3454.0000000000
90 3472.0000000000
92 3560.0000000000
93 3659.0000000000
101 3733.0000000000
115 3771.0000000000
116 3779.0000000000
117 3856.0000000000
120 3898.0000000000
128 3902.0000000000
131 3929.0000000000
138 3980.0000000000
166 4005.0000000000
168 4065.0000000000
179 4162.0000000000
187 4175.0000000000
201 4211.0000000000
215 4270.0000000000
224 4319.0000000000
226 4348.0000000000
232 4409.0000000000
255 4410.0000000000
259 4414.0000000000
260 4483.0000000000
271 4533.0000000000
275 4596.0000000000
278 4597.0000000000
298 4632.0000000000
303 4707.0000000000
304 4719.0000000000
311 4729.0000000000
322 4751.0000000000
331 4764.0000000000
350 4768.0000000000
433 4843.0000000000
497 4848.0000000000
552 4865.0000000000
579 4886.0000000000
644 4921.0000000000
753 4991.0000000000
947 5017.0000000000
959 5018.0000000000
1441 5049.0000000000
1921 5050.0000000000
evaluations raw_y
1 2917.0000000000
3 2990.0000000000
4 2997.0000000000
5 3027.0000000000
7 3113.0000000000
10 3183.0000000000
11 3186.0000000000
13 3194.0000000000
14 3252.0000000000
17 3331.0000000000
22 3352.0000000000
24 3416.0000000000
33 3453.0000000000
42 3489.0000000000
43 3514.0000000000
46 3585.0000000000
52 3629.0000000000
53 3713.0000000000
58 3714.0000000000
62 3748.0000000000
65 3762.0000000000
70 3768.0000000000
71 3779.0000000000
78 3787.0000000000
87 3791.0000000000
90 3818.0000000000
94 3831.0000000000
97 3845.0000000000
103 3873.0000000000
105 3893.0000000000
111 3920.0000000000
114 3946.0000000000
115 4003.0000000000
132 4041.0000000000
134 4070.0000000000
141 4157.0000000000
142 4163.0000000000
151 4214.0000000000
187 4295.0000000000
191 4333.0000000000
207 4334.0000000000
209 4374.0000000000
211 4405.0000000000
220 4490.0000000000
232 4537.0000000000
239 4544.0000000000
241 4553.0000000000
272 4576.0000000000
286 4586.0000000000
295 4600.0000000000
308 4661.0000000000
309 4713.0000000000
311 4762.0000000000
