evaluations raw_y
1 7.6000000000
6 9.2000000000
19 9.4000000000
56 9.8000000000
491 10.0000000000
1182 11.0000000000
1827 11.4000000000
100000 6.6000000000
evaluations raw_y
1 5.8000000000
2 6.4000000000
3 7.8000000000
4 9.0000000000
16 9.6000000000
624 10.4000000000
2553 10.8000000000
42758 12.0000000000
100000 5.4000000000
evaluations raw_y
1 5.4000000000
2 6.2000000000
5 8.0000000000
14 8.4000000000
16 8.6000000000
33 8.8000000000
60 9.2000000000
98 9.4000000000
263 10.4000000000
2499 10.6000000000
6305 11.2000000000
6321 11.6000000000
63986 12.4000000000
100000 7.6000000000
evaluations raw_y
1 6.2000000000
2 6.6000000000
3 7.4000000000
5 7.6000000000
7 8.2000000000
17 9.4000000000
49 9.8000000000
558 10.4000000000
1545 10.6000000000
4191 11.0000000000
29915 11.2000000000
49219 11.4000000000
100000 6.6000000000
evaluations raw_y
1 7.2000000000
3 8.4000000000
15 8.8000000000
16 9.8000000000
121 10.2000000000
208 10.6000000000
521 11.0000000000
13574 11.2000000000
26069 11.6000000000
100000 5.0000000000
evaluations raw_y
1 5.6000000000
2 7.2000000000
6 8.0000000000
9 8.4000000000
51 8.8000000000
62 9.8000000000
172 11.0000000000
32874 11.6000000000
100000 6.2000000000
evaluations raw_y
1 6.0000000000
2 8.6000000000
11 8.8000000000
39 10.2000000000
396 10.4000000000
4085 11.0000000000
8159 11.2000000000
32475 11.4000000000
100000 5.4000000000
evaluations raw_y
1 8.4000000000
31 9.0000000000
91 9.2000000000
556 9.4000000000
588 10.4000000000
6091 10.6000000000
6622 11.0000000000
8327 11.2000000000
68850 11.6000000000
100000 8.6000000000
evaluations raw_y
1 7.0000000000
3 7.8000000000
12 8.2000000000
26 8.8000000000
56 9.0000000000
161 9.2000000000
323 9.6000000000
631 9.8000000000
677 10.0000000000
999 11.0000000000
42542 11.2000000000
100000 6.6000000000
evaluations raw_y
1 7.6000000000
5 8.6000000000
30 9.8000000000
35 10.0000000000
90 10.6000000000
707 11.0000000000
14810 11.8000000000
87716 12.0000000000
100000 8.0000000000
