evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
6 7.0000000000
184 9.0000000000
381 10.0000000000
3641 11.0000000000
3867 12.0000000000
4690 16.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
10 5.0000000000
19 6.0000000000
166 9.0000000000
512 11.0000000000
3691 13.0000000000
11427 15.0000000000
25192 17.0000000000
100000 3.0000000000
evaluations raw_y
1 1.0000000000
2 4.0000000000
26 8.0000000000
1300 9.0000000000
2327 10.0000000000
6460 14.0000000000
74035 15.0000000000
74726 17.0000000000
100000 1.0000000000
evaluations raw_y
1 3.0000000000
25 8.0000000000
381 9.0000000000
780 11.0000000000
5490 13.0000000000
40742 15.0000000000
91395 18.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
8 3.0000000000
22 4.0000000000
62 6.0000000000
112 8.0000000000
430 12.0000000000
3585 14.0000000000
10055 15.0000000000
97552 16.0000000000
100000 3.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
6 5.0000000000
32 6.0000000000
383 7.0000000000
443 8.0000000000
912 13.0000000000
15437 14.0000000000
89247 18.0000000000
100000 3.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 2.0000000000
7 3.0000000000
9 4.0000000000
45 6.0000000000
359 10.0000000000
902 12.0000000000
8822 14.0000000000
10164 19.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 2.0000000000
14 4.0000000000
213 5.0000000000
239 6.0000000000
333 10.0000000000
3025 13.0000000000
12548 14.0000000000
21106 15.0000000000
23666 18.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
4 4.0000000000
10 5.0000000000
83 6.0000000000
757 11.0000000000
859 12.0000000000
5975 13.0000000000
18449 16.0000000000
52146 19.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
9 5.0000000000
89 8.0000000000
201 9.0000000000
1726 10.0000000000
3885 12.0000000000
5764 13.0000000000
27910 15.0000000000
28755 19.0000000000
100000 1.0000000000
