evaluations raw_y
1 -0.5084120363
4 -0.5053193292
8 -0.5050531893
12 -0.4930961467
13 -0.4898459259
15 -0.4849450898
16 -0.4680006705
17 -0.4613015257
18 -0.4594305064
22 -0.4593254662
24 -0.4569984887
26 -0.4565183687
27 -0.4548361438
29 -0.4422735672
30 -0.4403281760
33 -0.4315838178
38 -0.4292423623
40 -0.4282333505
43 -0.4268535574
44 -0.4203282872
48 -0.4150194112
51 -0.4115419198
55 -0.4074689758
56 -0.4028367762
63 -0.4027797134
70 -0.3987266324
72 -0.3964471840
78 -0.3937838084
87 -0.3840633715
93 -0.3819213899
95 -0.3819130048
100 -0.3660511451
101 -0.3657271068
102 -0.3650310560
120 -0.3642687582
124 -0.3570483118
142 -0.3542265464
153 -0.3453377376
175 -0.3441074475
176 -0.3323152926
182 -0.3315134516
251 -0.3271917201
286 -0.3245375900
289 -0.3232970564
299 -0.3171323947
326 -0.3168008206
378 -0.3130793571
420 -0.3124627748
100001 -0.3314703947
evaluations raw_y
1 -0.5096709335
3 -0.5047471274
6 -0.5037381155
7 -0.5030798609
9 -0.4982350063
11 -0.4971870450
15 -0.4915482782
18 -0.4913413687
22 -0.4834924338
24 -0.4803997267
29 -0.4757903118
30 -0.4753152884
31 -0.4740544924
32 -0.4679594452
35 -0.4602802531
36 -0.4590499629
41 -0.4540967004
44 -0.4521890433
46 -0.4446511416
47 -0.4411287647
48 -0.4398882311
53 -0.4318850857
58 -0.4295224648
59 -0.4159028392
66 -0.4109488507
71 -0.4074860920
83 -0.3966106199
85 -0.3905650903
88 -0.3884231087
99 -0.3878065264
102 -0.3832621940
114 -0.3806737101
115 -0.3759787825
117 -0.3736184524
119 -0.3724260222
124 -0.3685624144
128 -0.3653121936
132 -0.3631070792
152 -0.3590539981
157 -0.3502992635
165 -0.3498191435
180 -0.3452197243
190 -0.3403061549
207 -0.3357922673
214 -0.3323127128
222 -0.3267673835
234 -0.3187448369
255 -0.3180038195
278 -0.3107213371
336 -0.3080672070
662 -0.3070661667
100001 -0.3106444599
evaluations raw_y
1 -0.5093879543
3 -0.5088582115
4 -0.5038700151
6 -0.5021877901
12 -0.4975615954
14 -0.4865327325
17 -0.4838299772
18 -0.4825627163
21 -0.4669372627
24 -0.4609278884
26 -0.4590916492
30 -0.4580826374
35 -0.4554511070
36 -0.4497486229
41 -0.4462858642
46 -0.4336957283
53 -0.4291513958
57 -0.4279211057
59 -0.4269200653
60 -0.4232335065
64 -0.4227937773
70 -0.4184285916
71 -0.4097951574
79 -0.3996180428
80 -0.3980965044
99 -0.3974004536
105 -0.3962080234
110 -0.3946770470
113 -0.3886359297
115 -0.3878949124
121 -0.3792677064
139 -0.3695472696
145 -0.3657831766
158 -0.3590406821
168 -0.3584707981
178 -0.3522666394
187 -0.3500087095
236 -0.3411295151
243 -0.3333166973
253 -0.3333083121
260 -0.3256291200
289 -0.3176326870
333 -0.3100947854
