evaluations raw_y
1 0.0000000000
121 1.0000000000
291 3.0000000000
331 5.0000000000
367 7.0000000000
596 11.0000000000
646 13.0000000000
885 15.0000000000
979 16.0000000000
1180 17.0000000000
1497 18.0000000000
1509 19.0000000000
1681 22.0000000000
1708 23.0000000000
1868 25.0000000000
2038 29.0000000000
2048 30.0000000000
2174 35.0000000000
2314 36.0000000000
2380 39.0000000000
2410 40.0000000000
2555 42.0000000000
2573 43.0000000000
2687 46.0000000000
2724 47.0000000000
2761 51.0000000000
2789 53.0000000000
2842 57.0000000000
2907 60.0000000000
2910 61.0000000000
3002 62.0000000000
3013 63.0000000000
3279 67.0000000000
3332 69.0000000000
3371 70.0000000000
3471 71.0000000000
3483 72.0000000000
3722 75.0000000000
3741 77.0000000000
3949 78.0000000000
4113 80.0000000000
4120 84.0000000000
4180 88.0000000000
4222 89.0000000000
4312 91.0000000000
4405 92.0000000000
4492 97.0000000000
4527 98.0000000000
4993 100.0000000000
100001 99.0000000000
evaluations raw_y
1 1.0000000000
25 4.0000000000
37 5.0000000000
302 6.0000000000
347 7.0000000000
415 8.0000000000
505 9.0000000000
573 10.0000000000
594 11.0000000000
632 12.0000000000
642 16.0000000000
711 20.0000000000
987 23.0000000000
1002 24.0000000000
1275 25.0000000000
1278 28.0000000000
1330 29.0000000000
1340 31.0000000000
1353 33.0000000000
1496 35.0000000000
1526 39.0000000000
1588 40.0000000000
1734 42.0000000000
1832 43.0000000000
1881 45.0000000000
1925 49.0000000000
1944 50.0000000000
1970 51.0000000000
2160 53.0000000000
2234 54.0000000000
2247 55.0000000000
2297 56.0000000000
2357 57.0000000000
2421 59.0000000000
2848 60.0000000000
3063 63.0000000000
3078 64.0000000000
3287 70.0000000000
3454 74.0000000000
3963 75.0000000000
4103 76.0000000000
4239 78.0000000000
4468 79.0000000000
4739 82.0000000000
4783 92.0000000000
4790 97.0000000000
4795 98.0000000000
4988 99.0000000000
5063 100.0000000000
100001 50.0000000000
evaluations raw_y
1 0.0000000000
159 2.0000000000
254 3.0000000000
255 5.0000000000
652 8.0000000000
750 9.0000000000
861 12.0000000000
930 13.0000000000
943 14.0000000000
1055 15.0000000000
1076 18.0000000000
1128 20.0000000000
1222 21.0000000000
1424 22.0000000000
1465 25.0000000000
1490 26.0000000000
1536 34.0000000000
1548 44.0000000000
1959 46.0000000000
2059 49.0000000000
2310 50.0000000000
2316 53.0000000000
2544 54.0000000000
2592 55.0000000000
2814 56.0000000000
2859 59.0000000000
3121 60.0000000000
3132 62.0000000000
3148 65.0000000000
3495 66.0000000000
3496 68.0000000000
3560 71.0000000000
4119 72.0000000000
4124 73.0000000000
4146 75.0000000000
4499 76.0000000000
4538 77.0000000000
4600 79.0000000000
4638 81.0000000000
4827 82.0000000000
4832 85.0000000000
5119 95.0000000000
5143 97.0000000000
5286 100.0000000000
100001 6.0000000000
evaluations raw_y
1 0.0000000000
81 1.0000000000
105 2.0000000000
135 6.0000000000
321 7.0000000000
469 8.0000000000
494 9.0000000000
727 10.0000000000
739 11.0000000000
747 12.0000000000
752 14.0000000000
777 15.0000000000
1022 16.0000000000
1109 18.0000000000
1111 19.0000000000
