evaluations raw_y
1 -1254.0000000000
2 -1109.0000000000
7 -1108.0000000000
17 -894.0000000000
27 -709.0000000000
98 -545.0000000000
162 -487.0000000000
177 -484.0000000000
180 -428.0000000000
248 -292.0000000000
305 -272.0000000000
434 -253.0000000000
567 -233.0000000000
669 -213.0000000000
800 -147.0000000000
862 -109.0000000000
1011 -100.0000000000
1106 -81.0000000000
1129 -61.0000000000
1133 -42.0000000000
1206 -33.0000000000
1208 -14.0000000000
1312 -5.0000000000
1414 -4.0000000000
1693 -3.0000000000
1723 5.0000000000
1751 6.0000000000
1817 7.0000000000
2036 8.0000000000
27339 9.0000000000
100010 -30.0000000000
evaluations raw_y
1 -1527.0000000000
2 -1400.0000000000
3 -1293.0000000000
4 -1021.0000000000
34 -1011.0000000000
48 -952.0000000000
51 -933.0000000000
67 -864.0000000000
80 -836.0000000000
82 -826.0000000000
99 -748.0000000000
101 -709.0000000000
133 -690.0000000000
137 -573.0000000000
147 -495.0000000000
230 -456.0000000000
266 -409.0000000000
290 -408.0000000000
416 -369.0000000000
618 -359.0000000000
641 -350.0000000000
659 -341.0000000000
667 -331.0000000000
710 -272.0000000000
735 -224.0000000000
796 -223.0000000000
855 -215.0000000000
893 -127.0000000000
1007 -118.0000000000
1067 -99.0000000000
1145 -90.0000000000
1259 -61.0000000000
1349 -53.0000000000
1353 -52.0000000000
1375 -42.0000000000
1393 -24.0000000000
1395 -15.0000000000
1400 -6.0000000000
1432 4.0000000000
1464 5.0000000000
1510 6.0000000000
1543 7.0000000000
1680 8.0000000000
1829 9.0000000000
100010 -89.0000000000
evaluations raw_y
1 -1400.0000000000
2 -1283.0000000000
15 -1195.0000000000
40 -1156.0000000000
46 -885.0000000000
72 -855.0000000000
83 -650.0000000000
152 -583.0000000000
170 -573.0000000000
176 -534.0000000000
185 -457.0000000000
215 -398.0000000000
255 -311.0000000000
341 -301.0000000000
435 -272.0000000000
622 -252.0000000000
663 -224.0000000000
756 -204.0000000000
787 -185.0000000000
795 -157.0000000000
814 -147.0000000000
903 -70.0000000000
936 -52.0000000000
1018 -24.0000000000
1119 -23.0000000000
1201 -5.0000000000
1267 -4.0000000000
1287 5.0000000000
1430 6.0000000000
1477 7.0000000000
1581 8.0000000000
2015 9.0000000000
100010 -20.0000000000
evaluations raw_y
1 -1176.0000000000
10 -1137.0000000000
24 -1020.0000000000
25 -991.0000000000
46 -962.0000000000
57 -923.0000000000
68 -894.0000000000
84 -845.0000000000
95 -797.0000000000
106 -728.0000000000
111 -514.0000000000
114 -457.0000000000
174 -370.0000000000
184 -341.0000000000
263 -311.0000000000
312 -282.0000000000
325 -235.0000000000
457 -224.0000000000
577 -128.0000000000
600 -100.0000000000
791 -99.0000000000
831 -80.0000000000
944 -50.0000000000
1301 -40.0000000000
1319 -31.0000000000
1362 -22.0000000000
1366 -13.0000000000
1395 -4.0000000000
1511 -3.0000000000
1722 6.0000000000
1948 7.0000000000
2149 8.0000000000
39763 9.0000000000
100010 9.0000000000
evaluations raw_y
1 -1576.0000000000
