evaluations raw_y
1 1.0508617066
3 1.0743446498
5 1.1473152822
6 1.3262599469
10 1.4889815366
48 1.5576323988
77 1.5733165513
78 1.7041581459
160 1.7158544955
247 1.8234865062
483 1.8315018315
552 2.0678246485
602 2.1168501270
618 2.2502250225
717 2.2956841139
1096 2.3969319271
1319 2.4437927664
1380 2.5380710660
1526 2.8248587571
1634 2.9103608847
1657 2.9446407538
1705 3.1766200762
2596 3.2679738562
2799 3.3288948069
2839 3.3377837116
4132 3.3647375505
4444 3.4293552812
4470 3.4770514604
4905 3.5063113604
5661 3.6496350365
7187 3.7369207773
100010 3.7369207773
evaluations raw_y
1 1.2543903663
11 1.4100394811
37 1.7373175817
167 1.8288222385
193 1.9098548510
358 1.9952114924
482 2.0712510356
673 2.3969319271
1186 2.4582104228
1234 2.5746652935
1255 2.6014568158
1269 2.9036004646
1376 2.9726516052
1383 3.0156815440
1407 3.1525851198
1445 3.2258064516
1548 3.2594524120
1577 3.3921302578
1607 3.5360678925
1782 3.9246467818
2240 4.1186161450
2326 4.1322314050
2377 4.1597337770
2653 4.3177892919
2863 4.3630017452
3163 4.3782837128
3177 4.5207956600
100010 3.0376670717
evaluations raw_y
1 1.1185682327
2 1.2645422357
6 1.4310246136
17 1.4526438117
42 1.4979029359
58 1.7205781142
128 1.7998560115
144 1.8925056775
756 1.9157088123
783 2.1204410517
968 2.1459227468
1069 2.3518344309
1163 2.6567481403
1329 2.7932960894
1355 2.7995520717
1419 2.8376844495
1526 2.9308323564
1538 2.9515938607
1679 3.1367628607
1690 3.1847133758
1949 3.3112582781
2003 3.4106412005
2457 3.4199726402
8428 3.4770514604
8624 3.6075036075
8751 3.6390101892
9296 3.6927621861
10714 3.7147102526
10848 3.7369207773
11065 3.8167938931
11428 3.9246467818
12085 4.2016806723
100010 4.2016806723
evaluations raw_y
1 1.2201073694
4 1.3520822066
11 1.6789791807
18 1.9275250578
390 2.0080321285
411 2.0576131687
897 2.1570319241
1031 2.2182786158
1088 2.2583559169
1201 2.3607176582
1306 2.4485798237
1373 2.5484199796
1412 2.5960539979
1512 2.7382256298
1573 2.9103608847
1597 3.0084235860
1650 3.4965034965
1765 3.8520801233
12972 3.9494470774
13712 4.0128410915
13879 4.0518638574
100010 4.0518638574
evaluations raw_y
1 0.6177415369
2 0.9002520706
3 1.1037527594
6 1.2236906510
7 1.2853470437
18 1.2919896641
57 1.5518311608
92 1.7301038062
223 1.7568517217
250 1.8076644975
292 1.8341892883
388 1.8642803878
582 1.8982536067
672 1.9157088123
768 2.0308692120
803 2.0712510356
807 2.2261798753
1159 2.3607176582
1264 2.3923444976
1310 2.4437927664
1406 2.5432349949
1480 2.5536261491
1484 3.0229746070
1590 3.4199726402
1847 3.4482758621
1862 3.4770514604
2271 3.4867503487
2542 3.6818851252
2938 3.7593984962
8137 3.8051750381
8427 3.8880248834
12588 3.9619651347
13038 4.0128410915
100010 3.7821482602
evaluations raw_y
1 1.0175010175
2 1.1633317822
7 1.2581781580
8 1.3347570742
12 1.8234865062
66 2.1312872975
375 2.1459227468
381 2.1533161068
401 2.2665457842
920 2.2747952684
1056 2.3299161230
1295 2.3386342376
1305 2.4108003857
1313 2.4154589372
1402 2.7322404372
1455 2.8506271380
1523 2.9239766082
1599 3.0156815440
1605 3.1928480204
1973 3.2341526520
2069 3.3467202142
2138 3.3557046980
2211 3.4199726402
2261 3.5460992908
2482 3.6390101892
2589 3.6927621861
2715 3.7037037037
22399 3.8167938931
22416 3.8520801233
22756 3.8639876352
23229 3.9745627981
23780 4.2301184433
23978 4.2444821732
100010 2.7624309392
evaluations raw_y
1 1.0101010101
2 1.3491635186
12 1.4037057833
23 1.6926201760
27 1.7349063151
184 1.9546520719
295 1.9952114924
485 2.1026072330
797 2.1607605877
839 2.1758050479
891 2.3299161230
1025 2.7085590466
1165 3.2594524120
8902 3.2765399738
9503 3.2938076416
9817 3.3025099075
10106 3.3288948069
10380 3.3921302578
10548 3.4674063800
10567 3.4770514604
11135 3.6075036075
11295 3.6818851252
48148 3.7481259370
100010 2.9103608847
evaluations raw_y
1 0.7933989210
2 1.0224948875
4 1.0817827780
6 1.1195700851
8 1.1286681716
11 1.3743815283
16 1.4005602241
25 1.4245014245
29 1.7205781142
82 1.8953752843
88 1.9245573518
465 2.0242914980
790 2.0781379884
910 2.1312872975
1015 2.1834061135
1107 2.3786869648
1146 2.5125628141
1161 2.6852846402
1320 2.6910656620
1361 2.7563395810
1392 2.8506271380
1425 2.8835063437
1498 3.0902348578
1548 3.1055900621
1551 3.2092426187
