evaluations raw_y
1 5.6000000000
2 5.8000000000
4 6.6000000000
5 7.6000000000
10 8.4000000000
18 8.8000000000
30 9.0000000000
63 9.4000000000
85 9.6000000000
142 10.0000000000
148 10.2000000000
156 10.8000000000
183 11.4000000000
224 12.2000000000
564 12.4000000000
600 12.6000000000
619 13.4000000000
922 13.6000000000
1030 14.4000000000
1080 14.8000000000
1094 15.2000000000
1216 15.4000000000
1239 15.6000000000
1413 16.0000000000
1458 16.2000000000
1486 16.4000000000
1619 16.6000000000
2004 16.8000000000
100010 14.8000000000
evaluations raw_y
1 6.8000000000
2 7.6000000000
4 8.2000000000
5 8.4000000000
25 10.0000000000
60 10.8000000000
151 12.0000000000
286 12.8000000000
402 13.0000000000
437 13.6000000000
903 13.8000000000
959 14.0000000000
1005 14.4000000000
1114 14.6000000000
1221 15.0000000000
1285 15.2000000000
1307 15.4000000000
1368 15.6000000000
1522 15.8000000000
1536 16.0000000000
1592 16.2000000000
1613 16.4000000000
2160 16.6000000000
100010 16.2000000000
evaluations raw_y
1 7.4000000000
3 8.0000000000
13 8.4000000000
18 8.6000000000
47 8.8000000000
57 9.4000000000
70 10.2000000000
84 11.0000000000
111 11.6000000000
138 11.8000000000
287 12.0000000000
348 12.2000000000
349 12.4000000000
374 12.6000000000
486 13.0000000000
838 13.4000000000
908 13.6000000000
926 13.8000000000
1094 14.2000000000
1106 14.6000000000
1154 14.8000000000
1204 15.0000000000
1314 15.4000000000
1322 15.6000000000
1423 15.8000000000
1511 16.0000000000
1554 16.2000000000
1621 16.4000000000
1794 16.6000000000
1804 16.8000000000
2180 17.0000000000
100010 16.0000000000
evaluations raw_y
1 8.2000000000
17 8.8000000000
77 9.2000000000
86 9.4000000000
92 10.0000000000
102 10.8000000000
139 11.0000000000
172 11.2000000000
240 12.6000000000
332 12.8000000000
451 13.2000000000
755 13.4000000000
783 13.6000000000
803 14.2000000000
950 14.6000000000
1019 14.8000000000
1026 15.2000000000
1053 15.4000000000
1062 15.6000000000
1176 15.8000000000
1311 16.2000000000
1344 16.4000000000
1520 16.6000000000
1592 16.8000000000
1648 17.0000000000
1804 17.2000000000
2344 17.4000000000
100010 17.0000000000
evaluations raw_y
1 6.4000000000
2 8.0000000000
17 8.4000000000
26 9.6000000000
53 10.0000000000
116 11.0000000000
200 11.6000000000
259 12.2000000000
331 12.6000000000
556 13.0000000000
586 13.2000000000
691 13.8000000000
771 14.0000000000
943 14.4000000000
973 14.6000000000
1121 14.8000000000
1165 15.0000000000
1198 15.2000000000
1302 15.6000000000
1372 15.8000000000
1411 16.0000000000
1459 16.2000000000
1468 16.4000000000
1564 16.6000000000
1742 16.8000000000
1807 17.0000000000
100010 17.0000000000
evaluations raw_y
1 7.0000000000
4 8.4000000000
5 9.2000000000
27 10.0000000000
39 10.6000000000
76 11.8000000000
202 12.6000000000
498 13.4000000000
638 14.0000000000
742 14.4000000000
999 14.6000000000
1178 14.8000000000
1196 15.0000000000
1250 15.2000000000
1298 16.0000000000
1358 16.2000000000
1405 16.4000000000
1524 16.6000000000
1736 16.8000000000
100010 16.8000000000
evaluations raw_y
1 5.4000000000
2 5.6000000000
3 6.8000000000
5 8.8000000000
50 9.0000000000
55 9.6000000000
64 10.4000000000
142 10.6000000000
152 10.8000000000
192 11.0000000000
213 11.4000000000
229 11.8000000000
282 12.2000000000
381 12.4000000000
458 12.6000000000
530 12.8000000000
828 13.2000000000
1038 13.4000000000
1118 13.8000000000
1138 14.2000000000
1265 14.6000000000
1340 14.8000000000
1367 15.0000000000
1396 15.2000000000
1488 15.4000000000
1512 15.6000000000
1559 16.0000000000
1620 16.2000000000
1701 16.4000000000
1876 16.6000000000
100010 16.6000000000
evaluations raw_y
1 7.8000000000
6 8.4000000000
29 8.6000000000
45 9.6000000000
73 9.8000000000
87 10.0000000000
90 10.2000000000
97 11.2000000000
225 12.2000000000
417 12.6000000000
518 13.0000000000
542 13.2000000000
587 13.6000000000
733 13.8000000000
858 14.0000000000
877 14.2000000000
890 14.6000000000
1105 14.8000000000
1186 15.2000000000
1302 15.4000000000
1377 15.6000000000
1415 15.8000000000
1481 16.0000000000
1528 16.2000000000
1548 16.4000000000
1739 16.6000000000
1948 16.8000000000
100010 16.8000000000
evaluations raw_y
1 7.0000000000
2 7.4000000000
3 7.8000000000
17 8.4000000000
22 8.8000000000
26 9.0000000000
49 9.4000000000
72 10.2000000000
85 10.4000000000
120 10.6000000000
187 11.0000000000
204 11.4000000000
254 13.6000000000
620 13.8000000000
623 14.2000000000
861 14.4000000000
937 14.6000000000
1024 15.0000000000
1147 15.2000000000
1177 15.4000000000
1277 15.6000000000
1281 15.8000000000
1334 16.0000000000
1477 16.2000000000
1483 16.4000000000
1556 16.6000000000
1617 16.8000000000
1640 17.0000000000
100010 17.0000000000
evaluations raw_y
1 8.0000000000
12 8.4000000000
19 8.6000000000
41 9.2000000000
69 9.4000000000
73 9.6000000000
93 10.2000000000
143 10.4000000000
147 10.6000000000
174 11.2000000000
216 11.4000000000
277 11.8000000000
335 12.0000000000
343 12.4000000000
495 12.6000000000
554 12.8000000000
661 13.0000000000
767 13.2000000000
790 13.6000000000
794 13.8000000000
865 14.2000000000
989 14.4000000000
1104 14.6000000000
1155 14.8000000000
1331 15.0000000000
1482 15.2000000000
1503 15.4000000000
1522 15.6000000000
1553 16.0000000000
1597 16.2000000000
1642 16.4000000000
2085 16.6000000000
100010 16.4000000000
