evaluations raw_y
1 -0.4890272374
4 -0.4847056182
12 -0.4814482506
25 -0.4638933521
32 -0.4493246675
40 -0.4454992998
70 -0.4182144528
79 -0.4077185018
150 -0.4067828872
169 -0.4066254596
179 -0.4019472267
197 -0.3965688206
200 -0.3905702978
214 -0.3892810159
252 -0.3843171081
328 -0.3822598077
339 -0.3813869240
386 -0.3632911058
439 -0.3579501658
526 -0.3546627931
538 -0.3530500651
564 -0.3429917686
726 -0.3418621740
1047 -0.3398281058
1064 -0.3379776286
1067 -0.3371739758
1248 -0.3355063742
1332 -0.3299381741
1380 -0.3298629466
1392 -0.3266725743
1400 -0.3258729823
1407 -0.3236249093
1420 -0.3209131030
1437 -0.3189502563
1457 -0.3150475522
1538 -0.3123934222
1586 -0.3109194276
1612 -0.3086719586
1643 -0.3071979641
1715 -0.3070615018
1741 -0.3014999250
2127 -0.2999783866
2185 -0.2993618043
5716 -0.2987329146
15702 -0.2974069167
100010 -0.3139161337
evaluations raw_y
1 -0.4991097865
2 -0.4983379414
15 -0.4902662610
22 -0.4896849389
28 -0.4651133407
43 -0.4514781388
49 -0.4478929105
58 -0.4336429562
81 -0.4297598968
98 -0.4218902252
135 -0.4214551199
167 -0.4097290341
187 -0.4027672009
201 -0.4026556007
220 -0.3933029616
275 -0.3920141966
335 -0.3851705920
394 -0.3817836552
476 -0.3816070006
480 -0.3670272740
653 -0.3564463190
725 -0.3561661956
816 -0.3527765313
873 -0.3511812522
904 -0.3445356163
919 -0.3438987697
1018 -0.3400556104
1143 -0.3300537156
1231 -0.3298010014
1250 -0.3279366530
1260 -0.3221368821
1319 -0.3172545249
1358 -0.3170700097
1359 -0.3148941948
1373 -0.3147860301
1394 -0.3134522484
1430 -0.3129180091
1460 -0.3103179984
1486 -0.3102708184
1494 -0.3094192822
1511 -0.3056241005
1533 -0.3034540551
1572 -0.2987318353
1641 -0.2984793230
1647 -0.2964240848
1747 -0.2958075026
1768 -0.2956830675
1816 -0.2956363691
2254 -0.2950664852
100010 -0.3120109045
evaluations raw_y
1 -0.5095215266
2 -0.4606105301
23 -0.4567008895
35 -0.4488118322
60 -0.4378946273
88 -0.4249797557
94 -0.4098669240
114 -0.4087649788
127 -0.3982490110
146 -0.3932948419
157 -0.3851052399
190 -0.3719066724
231 -0.3679913958
355 -0.3674540839
457 -0.3625008765
497 -0.3543700376
663 -0.3532920868
677 -0.3524757032
819 -0.3496457161
875 -0.3443946475
897 -0.3425139326
1017 -0.3419298506
1177 -0.3345397731
1297 -0.3335550561
1332 -0.3317836771
1340 -0.3256605787
1369 -0.3255586128
1384 -0.3246674766
1427 -0.3231322808
1432 -0.3206293641
1484 -0.3205519410
1491 -0.3175374225
1531 -0.3140131304
1553 -0.3133965481
1628 -0.3133394853
1647 -0.3107022041
1698 -0.3106451412
1778 -0.3088835221
1805 -0.3061204695
1813 -0.3051194292
1868 -0.3046393092
2014 -0.3039857441
8869 -0.3033568543
36297 -0.3030318968
36321 -0.3027269072
36373 -0.3020308564
65135 -0.3019130489
65327 -0.2965622383
66434 -0.2965538531
100010 -0.2965538531
evaluations raw_y
1 -0.5097917260
4 -0.5021730754
5 -0.4750743759
24 -0.4388808048
98 -0.4220511940
115 -0.4154057798
130 -0.4073739297
145 -0.4057561179
165 -0.3987718052
231 -0.3884376377
235 -0.3849372131
248 -0.3823750328
265 -0.3764121647
337 -0.3756352491
384 -0.3694781165
402 -0.3692371622
410 -0.3677425581
443 -0.3608083557
741 -0.3607973401
781 -0.3604871753
830 -0.3539744835
882 -0.3520185167
888 -0.3455418852
961 -0.3426467738
994 -0.3370819138
1024 -0.3367918992
1045 -0.3335851111
1056 -0.3332070480
1099 -0.3323743023
1125 -0.3321422515
1133 -0.3299205109
1233 -0.3277153964
1236 -0.3268997209
1264 -0.3265801987
1321 -0.3208765360
1340 -0.3204757220
1419 -0.3204670927
1426 -0.3192920093
1464 -0.3129233820
1559 -0.3116930918
1583 -0.3104109856
1588 -0.3091806954
1657 -0.3073096762
1666 -0.3069227655
1744 -0.3059217252
1760 -0.3050517463
2457 -0.3043981812
2997 -0.3033971408
8462 -0.2999194125
20245 -0.2985934146
23409 -0.2950691225
33660 -0.2935538622
100010 -0.3002836376
evaluations raw_y
1 -0.5138485500
3 -0.4985350536
4 -0.4958389728
5 -0.4281292959
91 -0.4098765329
122 -0.4074107453
181 -0.4070654108
262 -0.4068418575
284 -0.4006298873
322 -0.3978874135
337 -0.3916840208
352 -0.3894323826
354 -0.3867792800
376 -0.3818818672
385 -0.3779669272
484 -0.3763399535
494 -0.3674925197
576 -0.3645975181
703 -0.3633651071
747 -0.3618117175
766 -0.3610885712
772 -0.3585290090
779 -0.3568912533
857 -0.3504171594
891 -0.3502214867
944 -0.3466166146
982 -0.3465462720
983 -0.3454813473
1017 -0.3341752768
1244 -0.3301221958
1346 -0.3282511765
1355 -0.3241764647
1412 -0.3241073834
1428 -0.3240176195
1434 -0.3230165791
1503 -0.3229699715
1524 -0.3229683113
1549 -0.3179475892
1566 -0.3156430575
1621 -0.3153821602
1646 -0.3149020401
1649 -0.3142484751
1720 -0.3139244368
1743 -0.3126598737
1830 -0.3125334682
1905 -0.3072138324
1963 -0.3059732987
2063 -0.3053567165
2189 -0.3046606657
2347 -0.3043450125
2410 -0.3043366274
2433 -0.3042795646
2498 -0.3035172668
3348 -0.3026003309
3544 -0.3023934214
4355 -0.2985087408
19342 -0.2978798510
31057 -0.2965538531
100010 -0.2965538531
evaluations raw_y
1 -0.4403921808
47 -0.4172538558
85 -0.3996494035
179 -0.3922414546
182 -0.3919669185
195 -0.3856535440
220 -0.3850140866
252 -0.3823971032
259 -0.3799265904
295 -0.3793576189
303 -0.3768452525
343 -0.3739173247
372 -0.3732399361
394 -0.3627013923
484 -0.3491513707
592 -0.3434899874
891 -0.3409868870
927 -0.3327905398
1085 -0.3296380595
1119 -0.3278891336
1267 -0.3276716178
1301 -0.3212813616
1413 -0.3211494570
1428 -0.3186063259
1435 -0.3163512149
1466 -0.3162444421
1472 -0.3146542761
1499 -0.3139776194
1543 -0.3122953944
1585 -0.3110548608
1626 -0.3097917376
1642 -0.3097833525
1663 -0.3091751553
1688 -0.3088435813
1702 -0.3087906972
1734 -0.3081741150
1760 -0.3078425409
1778 -0.3060184007
1780 -0.3058946666
1789 -0.3055630925
1812 -0.3054211773
1831 -0.3037389523
1896 -0.3025965318
1913 -0.3022649578
1961 -0.2985008648
2152 -0.2984924797
2334 -0.2955442226
18026 -0.2920664943
100010 -0.3040235368
evaluations raw_y
1 -0.5218507360
2 -0.4848788957
5 -0.4654456131
16 -0.4573135614
31 -0.4513295549
35 -0.4425887417
55 -0.4314700232
57 -0.4192910714
100 -0.4190046899
108 -0.4159553834
128 -0.4130217000
172 -0.4060768929
209 -0.3996521443
239 -0.3973077806
243 -0.3918090606
263 -0.3808547459
305 -0.3724248879
365 -0.3660229448
413 -0.3614729765
600 -0.3550605598
735 -0.3498799147
795 -0.3486634769
834 -0.3420858146
876 -0.3410607158
