evaluations raw_y
1 0.0000000000
3 1.0000000000
4 2.0000000000
7 4.0000000000
10 5.0000000000
27 6.0000000000
40 7.0000000000
65 10.0000000000
131 11.0000000000
177 15.0000000000
336 16.0000000000
396 17.0000000000
459 22.0000000000
487 23.0000000000
553 25.0000000000
642 28.0000000000
893 29.0000000000
907 32.0000000000
1031 35.0000000000
1120 39.0000000000
1283 40.0000000000
1383 41.0000000000
1517 43.0000000000
1648 45.0000000000
1860 47.0000000000
2037 48.0000000000
2154 51.0000000000
2286 55.0000000000
2857 56.0000000000
3223 57.0000000000
3460 59.0000000000
3601 62.0000000000
3648 63.0000000000
4260 64.0000000000
4573 66.0000000000
4677 67.0000000000
4697 68.0000000000
5734 71.0000000000
5943 72.0000000000
6028 73.0000000000
6129 75.0000000000
6165 76.0000000000
6202 78.0000000000
6377 81.0000000000
6460 83.0000000000
6552 84.0000000000
6705 85.0000000000
7088 86.0000000000
7176 87.0000000000
7185 90.0000000000
7505 91.0000000000
7791 92.0000000000
8952 93.0000000000
9236 95.0000000000
9369 97.0000000000
9673 98.0000000000
9693 99.0000000000
10414 100.0000000000
10424 99.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
9 6.0000000000
69 7.0000000000
86 8.0000000000
95 10.0000000000
204 11.0000000000
245 12.0000000000
425 15.0000000000
477 17.0000000000
602 19.0000000000
672 20.0000000000
718 24.0000000000
1024 25.0000000000
1037 26.0000000000
1210 27.0000000000
1248 29.0000000000
1330 30.0000000000
1356 31.0000000000
1383 32.0000000000
1399 33.0000000000
1440 34.0000000000
1481 35.0000000000
1596 36.0000000000
1793 37.0000000000
1818 38.0000000000
1835 39.0000000000
1845 41.0000000000
1915 42.0000000000
1967 43.0000000000
1994 45.0000000000
2165 47.0000000000
2216 50.0000000000
2228 53.0000000000
2253 54.0000000000
2305 57.0000000000
2398 58.0000000000
2442 59.0000000000
2962 61.0000000000
3122 62.0000000000
3385 66.0000000000
3713 67.0000000000
4131 74.0000000000
4173 75.0000000000
4310 76.0000000000
4991 79.0000000000
5278 80.0000000000
5313 84.0000000000
5853 85.0000000000
5873 86.0000000000
5949 87.0000000000
6008 89.0000000000
6209 90.0000000000
6524 93.0000000000
6548 94.0000000000
6590 98.0000000000
6722 100.0000000000
6734 98.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
38 5.0000000000
62 7.0000000000
76 8.0000000000
105 9.0000000000
133 12.0000000000
163 13.0000000000
267 14.0000000000
310 16.0000000000
348 18.0000000000
393 20.0000000000
500 22.0000000000
522 23.0000000000
604 25.0000000000
849 27.0000000000
978 28.0000000000
1034 29.0000000000
1106 31.0000000000
1151 32.0000000000
1206 36.0000000000
1212 37.0000000000
1223 39.0000000000
1299 40.0000000000
1452 46.0000000000
1820 47.0000000000
2042 48.0000000000
2204 49.0000000000
2263 52.0000000000
2431 54.0000000000
2486 55.0000000000
2498 56.0000000000
2645 59.0000000000
2764 60.0000000000
2776 62.0000000000
3114 63.0000000000
3536 64.0000000000
4093 66.0000000000
4276 67.0000000000
4484 69.0000000000
4537 73.0000000000
4604 75.0000000000
4771 79.0000000000
4782 82.0000000000
4842 86.0000000000
5065 88.0000000000
5404 89.0000000000
5536 90.0000000000
5594 94.0000000000
5621 100.0000000000
5636 94.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
34 8.0000000000
69 13.0000000000
129 15.0000000000
168 16.0000000000
325 17.0000000000
411 18.0000000000
449 20.0000000000
480 22.0000000000
626 23.0000000000
645 25.0000000000
716 26.0000000000
762 29.0000000000
801 30.0000000000
822 31.0000000000
971 32.0000000000
991 33.0000000000
1129 36.0000000000
1182 38.0000000000
1329 39.0000000000
1458 42.0000000000
1505 43.0000000000
1915 47.0000000000
2005 48.0000000000
2191 50.0000000000
2259 52.0000000000
2298 53.0000000000
2339 54.0000000000
2432 55.0000000000
2900 56.0000000000
3054 60.0000000000
3286 62.0000000000
3421 71.0000000000
3644 72.0000000000
3784 74.0000000000
3896 75.0000000000
4157 79.0000000000
4400 81.0000000000
4490 82.0000000000
4607 84.0000000000
4763 85.0000000000
4823 86.0000000000
5115 87.0000000000
5211 90.0000000000
5635 91.0000000000
5866 94.0000000000
6312 95.0000000000
6351 96.0000000000
6731 97.0000000000
6743 100.0000000000
6752 69.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
7 3.0000000000
61 4.0000000000
72 7.0000000000
100 8.0000000000
169 9.0000000000
188 10.0000000000
198 11.0000000000
225 12.0000000000
306 13.0000000000
379 16.0000000000
565 17.0000000000
617 19.0000000000
804 22.0000000000
857 25.0000000000
1200 26.0000000000
1230 29.0000000000
1347 31.0000000000
1409 33.0000000000
1639 35.0000000000
1663 40.0000000000
1867 41.0000000000
1921 42.0000000000
2078 43.0000000000
2133 44.0000000000
2235 46.0000000000
2338 47.0000000000
2410 48.0000000000
2520 52.0000000000
2531 54.0000000000
2590 55.0000000000
3140 56.0000000000
3153 57.0000000000
3288 60.0000000000
3513 65.0000000000
3651 67.0000000000
3724 68.0000000000
3886 69.0000000000
4139 71.0000000000
