evaluations raw_y
1 2984.0000000000
5 3142.0000000000
30 3269.0000000000
63 3413.0000000000
78 3472.0000000000
91 3490.0000000000
106 3510.0000000000
118 3597.0000000000
137 3645.0000000000
151 3647.0000000000
154 3788.0000000000
165 3817.0000000000
190 3904.0000000000
262 3979.0000000000
308 4036.0000000000
320 4132.0000000000
360 4272.0000000000
543 4390.0000000000
629 4455.0000000000
641 4463.0000000000
730 4472.0000000000
854 4511.0000000000
870 4545.0000000000
932 4563.0000000000
941 4595.0000000000
975 4612.0000000000
1071 4653.0000000000
1098 4705.0000000000
1129 4784.0000000000
1163 4788.0000000000
1190 4800.0000000000
1247 4807.0000000000
1253 4812.0000000000
1285 4826.0000000000
1312 4828.0000000000
1464 4852.0000000000
1480 4861.0000000000
1485 4864.0000000000
1527 4870.0000000000
1541 4890.0000000000
1573 4908.0000000000
1625 4937.0000000000
1644 4952.0000000000
1719 4981.0000000000
1760 4989.0000000000
1890 4994.0000000000
1967 5004.0000000000
1994 5024.0000000000
2338 5033.0000000000
2367 5041.0000000000
2379 5050.0000000000
2396 4958.0000000000
evaluations raw_y
1 2571.0000000000
2 2717.0000000000
4 2797.0000000000
22 2837.0000000000
23 2992.0000000000
45 3170.0000000000
69 3195.0000000000
77 3207.0000000000
83 3216.0000000000
111 3321.0000000000
120 3389.0000000000
132 3557.0000000000
147 3584.0000000000
168 3617.0000000000
188 3755.0000000000
201 3767.0000000000
219 3770.0000000000
223 3778.0000000000
226 3826.0000000000
230 4026.0000000000
249 4060.0000000000
268 4140.0000000000
381 4213.0000000000
460 4292.0000000000
508 4416.0000000000
537 4487.0000000000
650 4495.0000000000
758 4534.0000000000
803 4545.0000000000
804 4552.0000000000
834 4577.0000000000
879 4592.0000000000
933 4719.0000000000
1094 4720.0000000000
1097 4821.0000000000
1214 4833.0000000000
1314 4862.0000000000
1345 4867.0000000000
1401 4896.0000000000
1440 4908.0000000000
1468 4934.0000000000
1586 4936.0000000000
1587 4957.0000000000
1641 4967.0000000000
1647 4998.0000000000
1729 5002.0000000000
1744 5009.0000000000
1835 5024.0000000000
1893 5041.0000000000
1980 5042.0000000000
2231 5050.0000000000
2234 4934.0000000000
evaluations raw_y
1 2566.0000000000
2 2644.0000000000
3 2993.0000000000
10 2996.0000000000
15 3068.0000000000
26 3127.0000000000
33 3198.0000000000
38 3204.0000000000
41 3413.0000000000
62 3431.0000000000
85 3486.0000000000
116 3694.0000000000
145 3790.0000000000
159 3793.0000000000
172 3819.0000000000
183 3883.0000000000
208 3964.0000000000
242 4047.0000000000
281 4097.0000000000
317 4103.0000000000
328 4110.0000000000
336 4138.0000000000
343 4168.0000000000
353 4231.0000000000
398 4267.0000000000
406 4271.0000000000
417 4390.0000000000
585 4460.0000000000
666 4469.0000000000
671 4475.0000000000
676 4526.0000000000
772 4558.0000000000
870 4654.0000000000
1010 4707.0000000000
1146 4708.0000000000
1191 4718.0000000000
1197 4725.0000000000
1230 4726.0000000000
1280 4757.0000000000
1317 4761.0000000000
1346 4782.0000000000
1364 4862.0000000000
1381 4884.0000000000
1396 4922.0000000000
1459 4923.0000000000
1479 4931.0000000000
1498 4935.0000000000
1519 4955.0000000000
1557 4960.0000000000
1618 4964.0000000000
1674 4975.0000000000
1716 4987.0000000000
1732 5013.0000000000
1759 5016.0000000000
2300 5031.0000000000
2334 5037.0000000000
2643 5050.0000000000
2648 4883.0000000000
evaluations raw_y
1 2087.0000000000
2 2505.0000000000
4 3031.0000000000
5 3167.0000000000
27 3192.0000000000
31 3256.0000000000
36 3300.0000000000
40 3673.0000000000
78 3686.0000000000
116 3709.0000000000
134 3936.0000000000
203 3939.0000000000
235 4066.0000000000
256 4144.0000000000
274 4184.0000000000
316 4210.0000000000
318 4224.0000000000
346 4279.0000000000
395 4297.0000000000
525 4422.0000000000
552 4461.0000000000
604 4483.0000000000
618 4529.0000000000
706 4590.0000000000
759 4651.0000000000
837 4684.0000000000
974 4697.0000000000
1018 4709.0000000000
1098 4773.0000000000
1109 4777.0000000000
1163 4790.0000000000
1292 4804.0000000000
1305 4806.0000000000
1331 4811.0000000000
1370 4813.0000000000
1409 4825.0000000000
1425 4851.0000000000
1509 4857.0000000000
1512 4858.0000000000
1526 4863.0000000000
1540 4898.0000000000
1552 4901.0000000000
1573 4905.0000000000
1594 4908.0000000000
1607 4914.0000000000
1652 4950.0000000000
1685 4975.0000000000
1701 4982.0000000000
1707 5018.0000000000
1718 5028.0000000000
1765 5032.0000000000
1771 5043.0000000000
1954 5046.0000000000
2377 5050.0000000000
2378 4923.0000000000
evaluations raw_y
1 2071.0000000000
2 2404.0000000000
5 3092.0000000000
39 3141.0000000000
66 3387.0000000000
85 3430.0000000000
94 3602.0000000000
121 3747.0000000000
155 3832.0000000000
177 3875.0000000000
219 3992.0000000000
377 3994.0000000000
383 4065.0000000000
402 4165.0000000000
428 4246.0000000000
440 4257.0000000000
480 4277.0000000000
494 4424.0000000000
574 4441.0000000000
639 4507.0000000000
694 4514.0000000000
744 4538.0000000000
803 4721.0000000000
850 4784.0000000000
954 4852.0000000000
1159 4876.0000000000
1224 4878.0000000000
1294 4966.0000000000
1405 4977.0000000000
1430 5010.0000000000
