evaluations raw_y
1 1.1825922422
2 1.4060742407
3 1.4585764294
19 1.6600265604
46 1.8573551263
85 2.0259319287
203 2.1367521368
284 2.3992322457
682 2.5150905433
2856 2.6427061311
9851 2.6881720430
12026 3.1806615776
67659 3.2467532468
125000 1.3007284079
evaluations raw_y
1 1.1312217195
3 1.7146776406
15 2.1663778163
230 2.3629489603
2283 2.4366471735
2597 2.5987525988
4324 2.6881720430
6916 2.9976019185
30282 3.1806615776
125000 1.1825922422
evaluations raw_y
1 1.1478420569
2 1.5923566879
8 1.6087516088
20 2.0525451560
87 2.1663778163
387 2.1968365554
548 2.4752475248
2447 2.7352297593
5146 2.8344671202
6651 2.8868360277
10913 3.0562347188
78215 3.3875338753
125000 1.2487512488
evaluations raw_y
1 0.8871540099
2 1.0692899914
7 1.8573551263
12 1.9025875190
82 2.0000000000
177 2.1663778163
350 2.5562372188
1547 2.7839643653
7433 2.9976019185
22953 3.2467532468
125000 0.8007687380
evaluations raw_y
1 1.3455328310
3 1.4188422247
4 1.5451174289
15 1.7146776406
51 2.0259319287
152 2.8344671202
1396 2.9411764706
51573 3.4626038781
125000 0.8394895903
evaluations raw_y
1 0.4880905896
2 1.0271158587
3 1.1563367253
4 1.1737089202
5 1.3812154696
12 1.5299877601
19 1.6254876463
24 1.7934002869
51 2.0000000000
291 2.0798668885
790 2.4752475248
2971 2.7839643653
23717 2.8868360277
24613 3.2467532468
125000 1.1825922422
evaluations raw_y
1 1.4188422247
17 1.7934002869
72 1.9260400616
113 2.2935779817
139 2.6427061311
510 2.8344671202
1001 2.9411764706
17897 2.9976019185
125000 1.5762925599
evaluations raw_y
1 0.7926442613
2 1.1230907457
5 1.7337031900
37 1.7934002869
46 1.8796992481
98 1.9500780031
166 1.9747235387
228 2.1663778163
530 2.5150905433
2694 2.9976019185
20232 3.1806615776
125000 1.0692899914
evaluations raw_y
1 0.6348400203
2 0.9520182788
3 1.2794268168
8 1.3227513228
10 1.9747235387
110 2.6427061311
917 2.8868360277
34775 2.9976019185
41070 3.1172069825
57565 3.2467532468
125000 1.2100677638
evaluations raw_y
1 1.4060742407
8 1.4188422247
11 1.5006002401
31 1.6600265604
50 1.6960651289
66 1.7531556802
90 1.8796992481
93 2.2935779817
146 2.5150905433
486 2.5987525988
2664 2.7839643653
20665 2.9411764706
66785 3.2467532468
125000 1.4585764294
