evaluations raw_y
1 0.0000000000
3 2.0000000000
4 3.0000000000
8 5.0000000000
21 10.0000000000
1622 12.0000000000
14947 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 6.0000000000
12 11.0000000000
39 15.0000000000
52845 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
4 2.0000000000
12 5.0000000000
178 6.0000000000
611 7.0000000000
1332 11.0000000000
2502 14.0000000000
73692 15.0000000000
119762 21.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
4 2.0000000000
15 3.0000000000
23 4.0000000000
67 8.0000000000
765 12.0000000000
2202 13.0000000000
7929 14.0000000000
33231 17.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
8 3.0000000000
23 9.0000000000
1682 11.0000000000
1861 18.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 3.0000000000
10 4.0000000000
52 5.0000000000
130 6.0000000000
227 8.0000000000
538 11.0000000000
3208 12.0000000000
18891 13.0000000000
27878 14.0000000000
47011 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
15 7.0000000000
193 8.0000000000
455 11.0000000000
859 13.0000000000
1669 14.0000000000
1851 16.0000000000
22528 20.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 4.0000000000
11 5.0000000000
20 8.0000000000
350 10.0000000000
4680 13.0000000000
8667 14.0000000000
32189 16.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 4.0000000000
12 9.0000000000
107 10.0000000000
2277 14.0000000000
6824 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
6 2.0000000000
11 4.0000000000
21 5.0000000000
53 7.0000000000
75 8.0000000000
1230 11.0000000000
2159 14.0000000000
9424 15.0000000000
44227 16.0000000000
59629 18.0000000000
125000 1.0000000000
