evaluations raw_y
1 1.0343400910
6 1.0752688172
14 1.0950503723
15 1.2106537530
19 1.3304949441
24 1.3943112103
27 1.4148273911
38 1.4872099941
41 1.5253203173
47 1.5518311608
50 1.6056518947
65 1.6329196604
67 1.6949152542
70 1.7205781142
80 1.7895490336
85 1.8698578908
123 1.8782870023
131 1.9364833462
136 2.0080321285
145 2.0441537204
171 2.1987686895
204 2.2143489814
209 2.2665457842
237 2.2789425706
240 2.2999080037
241 2.3474178404
255 2.6288117771
274 2.6343519494
327 2.6511134677
346 2.7144408252
381 2.7442371021
446 2.8835063437
751 3.0012004802
926 3.0084235860
948 3.0902348578
1102 3.1525851198
1128 3.1766200762
1190 3.2679738562
1216 3.3467202142
1642 3.5460992908
1721 3.6075036075
2066 3.7936267071
38367 3.8402457757
100000 3.0674846626
evaluations raw_y
1 0.9932459277
3 1.0044194456
13 1.0734220696
14 1.2556504269
21 1.2827090816
24 1.6202203500
34 1.6835016835
40 1.7618040874
53 1.7692852088
54 1.8953752843
79 1.9888623707
88 2.0177562550
91 2.1312872975
98 2.1349274125
102 2.1459227468
112 2.1720243267
131 2.2065313327
150 2.3651844844
157 2.5746652935
214 2.6455026455
237 2.7563395810
243 3.0012004802
274 3.0229746070
402 3.0674846626
404 3.2341526520
518 3.3467202142
847 3.4387895461
870 3.5460992908
1139 3.6603221083
1384 3.7037037037
100000 3.0303030303
evaluations raw_y
1 0.9777082519
6 1.1698642957
9 1.1842728565
11 1.2224938875
20 1.3014055180
32 1.3220518244
33 1.3319126265
35 1.3896609227
41 1.4714537964
42 1.6160310278
45 1.6789791807
51 1.9731649566
52 2.3126734505
57 2.5125628141
66 2.5960539979
79 2.6680896478
101 2.7262813522
158 2.9103608847
325 3.0750307503
377 3.2175032175
380 3.4387895461
395 3.4867503487
568 3.5360678925
609 3.6710719530
667 3.7707390649
733 3.8284839204
784 3.9123630673
6517 4.1459369818
6576 4.1876046901
6832 4.2881646655
6899 4.3630017452
7297 4.3936731107
7319 4.4091710758
7529 4.4563279857
7654 4.5703839122
8557 4.5871559633
100000 4.3478260870
evaluations raw_y
1 0.8541168432
4 1.0158472166
5 1.1558021267
6 1.2224938875
8 1.2722646310
10 1.3974287311
13 1.4594279043
21 1.6181229773
33 1.6812373907
36 1.8896447468
55 1.9455252918
76 2.0885547201
77 2.2999080037
87 2.3474178404
139 2.5960539979
187 2.6232948583
208 2.6852846402
218 2.7502750275
246 2.9377203290
250 3.0303030303
268 3.1446540881
334 3.4867503487
682 3.5360678925
850 3.6284470247
43195 3.6603221083
43332 3.8051750381
100000 2.9655990510
evaluations raw_y
1 1.3206550449
4 1.4611338399
6 1.5812776724
8 1.6223231668
13 1.6677785190
19 1.6926201760
20 1.7041581459
23 1.9215987702
57 1.9984012790
62 2.1168501270
73 2.2341376229
91 2.4015369837
100 2.4630541872
174 2.4679170780
199 2.6288117771
202 2.6910656620
203 2.8376844495
204 2.8506271380
247 3.1133250311
332 3.2679738562
623 3.5161744023
674 3.6927621861
730 3.7037037037
1006 3.9494470774
1612 4.1186161450
100000 2.1204410517
evaluations raw_y
1 0.9686168152
3 0.9815469179
4 1.0552975939
5 1.3276686139
8 1.3943112103
12 1.4577259475
16 1.4979029359
20 1.5634771732
24 1.6350555919
38 1.8129079043
39 1.8982536067
56 1.9425019425
81 2.0016012810
183 2.0508613618
198 2.2789425706
206 2.2999080037
228 2.4533856722
336 2.5588536336
382 2.5853154085
387 2.5906735751
443 2.6624068158
454 2.6680896478
458 2.7203482046
475 2.7322404372
513 2.7442371021
545 2.7502750275
572 2.8968713789
984 2.9726516052
1084 3.0084235860
1096 3.0376670717
1106 3.3738191633
1161 3.4013605442
2705 3.4387895461
2860 3.4482758621
3005 3.5360678925
18929 3.5765379113
38639 3.5971223022
100000 3.5971223022
evaluations raw_y
1 0.6580679126
2 0.7248477820
4 0.8275405495
5 0.8805917577
8 0.9174311927
13 0.9187798603
16 0.9373828271
18 1.0535187526
21 1.1798017933
28 1.3262599469
46 1.5290519878
49 1.5499070056
51 1.6097875080
53 1.7844396859
60 1.9920318725
115 2.2624434389
131 2.3877745941
138 2.3923444976
145 2.4437927664
156 2.4485798237
160 2.5960539979
177 2.7203482046
208 2.9446407538
304 3.1133250311
386 3.1367628607
413 3.3829499323
500 3.5260930889
578 3.7257824143
647 3.8284839204
671 4.0128410915
866 4.0783034258
100000 2.7624309392
evaluations raw_y
1 0.7624275694
2 0.8523695875
3 0.9061254078
5 0.9619084263
8 1.0715816545
12 1.2543903663
22 1.2735608762
28 1.2800819252
35 1.6056518947
43 1.7568517217
50 1.8261504748
53 1.9920318725
64 2.1910604733
86 2.3786869648
98 2.4875621891
122 2.5125628141
130 2.5799793602
179 2.5853154085
269 2.6737967914
304 2.7262813522
346 3.0303030303
