evaluations raw_y
1 5.8000000000
4 6.0000000000
11 6.2000000000
14 8.2000000000
19 8.4000000000
26 8.6000000000
30 8.8000000000
32 10.0000000000
35 10.2000000000
40 10.4000000000
42 10.8000000000
50 11.0000000000
52 11.2000000000
56 11.4000000000
63 11.6000000000
64 11.8000000000
71 12.0000000000
76 12.2000000000
81 12.8000000000
83 13.0000000000
90 13.2000000000
132 13.4000000000
143 13.6000000000
144 13.8000000000
163 14.0000000000
210 14.2000000000
216 14.4000000000
227 14.6000000000
274 14.8000000000
280 15.0000000000
353 15.2000000000
380 15.4000000000
384 15.6000000000
470 15.8000000000
474 16.0000000000
601 16.2000000000
715 16.4000000000
1013 16.6000000000
100000 16.4000000000
evaluations raw_y
1 8.2000000000
10 8.4000000000
16 8.6000000000
18 8.8000000000
20 9.0000000000
32 9.6000000000
36 9.8000000000
43 10.0000000000
50 10.2000000000
57 10.4000000000
68 10.6000000000
72 10.8000000000
73 11.0000000000
82 11.2000000000
101 11.4000000000
116 11.6000000000
118 11.8000000000
124 12.0000000000
127 12.4000000000
151 12.6000000000
162 12.8000000000
175 13.0000000000
184 13.2000000000
195 13.4000000000
200 13.6000000000
238 13.8000000000
241 14.0000000000
252 14.2000000000
306 14.6000000000
308 14.8000000000
329 15.2000000000
331 15.4000000000
431 15.6000000000
561 15.8000000000
614 16.0000000000
100000 15.8000000000
evaluations raw_y
1 7.6000000000
6 7.8000000000
7 8.0000000000
9 8.2000000000
15 8.4000000000
31 8.8000000000
36 9.0000000000
39 9.2000000000
41 9.4000000000
44 9.6000000000
47 9.8000000000
53 10.0000000000
54 10.2000000000
57 10.4000000000
73 10.6000000000
78 10.8000000000
79 11.0000000000
92 11.2000000000
96 11.4000000000
102 11.6000000000
127 11.8000000000
135 12.0000000000
136 12.2000000000
146 12.4000000000
152 12.6000000000
175 12.8000000000
186 13.0000000000
188 13.2000000000
195 13.4000000000
213 13.6000000000
245 13.8000000000
267 14.0000000000
296 14.2000000000
316 14.4000000000
319 14.6000000000
350 14.8000000000
354 15.0000000000
426 15.2000000000
482 15.4000000000
518 15.6000000000
600 16.0000000000
802 16.2000000000
954 16.4000000000
2209 16.6000000000
100000 16.6000000000
evaluations raw_y
1 5.2000000000
4 5.4000000000
8 5.6000000000
15 5.8000000000
17 6.6000000000
20 6.8000000000
21 7.0000000000
25 7.4000000000
28 7.6000000000
29 7.8000000000
36 8.0000000000
37 8.6000000000
45 9.2000000000
50 9.6000000000
62 9.8000000000
69 10.2000000000
71 10.4000000000
74 10.8000000000
75 11.0000000000
81 11.2000000000
94 11.8000000000
101 12.2000000000
106 12.4000000000
107 12.6000000000
112 13.0000000000
126 13.2000000000
131 13.4000000000
140 13.6000000000
145 13.8000000000
149 14.0000000000
161 14.2000000000
210 14.4000000000
212 14.8000000000
260 15.0000000000
322 15.2000000000
340 15.4000000000
368 15.6000000000
467 15.8000000000
478 16.0000000000
598 16.2000000000
653 16.4000000000
