evaluations raw_y
1 -0.5274643711
7 -0.5261971102
9 -0.5148082430
12 -0.5126996690
13 -0.5077681704
16 -0.5071750248
17 -0.5011339075
18 -0.4987125246
19 -0.4906192386
24 -0.4904519113
28 -0.4837619332
30 -0.4825316430
33 -0.4650883858
37 -0.4599300070
47 -0.4583040589
49 -0.4579610584
53 -0.4405437462
73 -0.4403628002
76 -0.4325152884
77 -0.4315523844
78 -0.4267075298
83 -0.4262704450
86 -0.4216399629
89 -0.4183361242
95 -0.4134352881
96 -0.4062148417
103 -0.4031040524
119 -0.3968998937
125 -0.3951285147
126 -0.3886768833
132 -0.3795144829
142 -0.3750005953
150 -0.3740215954
158 -0.3717421470
181 -0.3709403059
183 -0.3700203787
184 -0.3692580810
203 -0.3674752464
208 -0.3614658721
221 -0.3596629197
235 -0.3574174492
239 -0.3517194101
266 -0.3508179621
270 -0.3490955315
292 -0.3473846360
293 -0.3425731046
306 -0.3372139088
354 -0.3305685836
409 -0.3233187746
418 -0.3225777572
475 -0.3145984218
492 -0.3111356631
552 -0.3104396123
607 -0.3091990786
769 -0.3081980383
808 -0.3044339453
863 -0.3038173631
2429 -0.3023433685
4955 -0.3008281082
22347 -0.2978798510
43374 -0.2965538531
100000 -0.3040460085
evaluations raw_y
1 -0.4850929643
4 -0.4799233739
22 -0.4677685426
24 -0.4613169112
27 -0.4578298536
30 -0.4476773496
42 -0.4413605161
44 -0.4311456167
46 -0.4185830401
48 -0.4159289101
52 -0.4153123278
53 -0.4131458328
70 -0.4088016123
71 -0.4028801288
76 -0.3980352741
80 -0.3965501972
85 -0.3921552870
102 -0.3864572479
115 -0.3828145985
138 -0.3812930601
139 -0.3787438737
146 -0.3764644253
154 -0.3715527908
155 -0.3698418953
156 -0.3696349857
160 -0.3640020702
161 -0.3636394751
162 -0.3611738380
163 -0.3608320089
180 -0.3607056035
199 -0.3596965916
211 -0.3542056850
215 -0.3491944611
226 -0.3472251199
241 -0.3459643239
258 -0.3459072611
275 -0.3456956836
295 -0.3428180492
306 -0.3339388548
390 -0.3311702599
445 -0.3286266496
453 -0.3259521094
477 -0.3214382218
480 -0.3161185860
488 -0.3138391376
554 -0.3126088474
563 -0.3104037330
724 -0.3089297384
726 -0.3079286981
1222 -0.3052653225
1334 -0.3044634815
11179 -0.3043456739
11657 -0.2989864782
13193 -0.2955087499
100000 -0.2955087499
evaluations raw_y
1 -0.5249452116
5 -0.5243109670
8 -0.5105378306
9 -0.5078174757
20 -0.5014398324
23 -0.5008232501
25 -0.4855239304
26 -0.4814407109
27 -0.4807637784
41 -0.4740734640
43 -0.4702098562
46 -0.4672434295
55 -0.4647200819
56 -0.4624582953
57 -0.4550638246
59 -0.4479578740
66 -0.4441923321
77 -0.4423681919
80 -0.4343717589
89 -0.4313044259
92 -0.4299246329
96 -0.4294496095
104 -0.4197291727
106 -0.4038365684
109 -0.3954180123
111 -0.3881785494
113 -0.3739525547
143 -0.3704730002
154 -0.3697466798
165 -0.3651121820
167 -0.3644586169
200 -0.3606945240
202 -0.3540506360
208 -0.3528203459
213 -0.3515672423
235 -0.3492594918
240 -0.3448943061
244 -0.3399220745
250 -0.3393521906
271 -0.3370475753
274 -0.3324170932
288 -0.3320024478
305 -0.3313858656
329 -0.3309057456
331 -0.3245268297
334 -0.3244004242
378 -0.3240772353
406 -0.3240688502
413 -0.3234775095
440 -0.3224764691
445 -0.3200252678
478 -0.3155113802
534 -0.3128572502
545 -0.3116648201
555 -0.3067108315
587 -0.3013911957
634 -0.2990308655
3352 -0.2989130580
3574 -0.2940339822
3596 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.5367036287
3 -0.5258859286
10 -0.5229526859
12 -0.5125487138
17 -0.5012493659
18 -0.5012409808
19 -0.5007417446
21 -0.5004101706
24 -0.4991696370
28 -0.4931241074
29 -0.4916501128
30 -0.4898787338
41 -0.4890767409
42 -0.4841717170
46 -0.4783902453
47 -0.4734587468
49 -0.4650498076
50 -0.4577848842
51 -0.4565317806
52 -0.4516279149
55 -0.4468163834
57 -0.4401710582
58 -0.4386400818
59 -0.4301260593
60 -0.4221229139
70 -0.4128980497
98 -0.3981569370
99 -0.3981485519
100 -0.3935391369
101 -0.3916822598
106 -0.3841612861
110 -0.3818009560
133 -0.3726457372
137 -0.3719047199
197 -0.3658163580
200 -0.3642948197
202 -0.3580906609
216 -0.3570816491
245 -0.3544931652
247 -0.3538765829
276 -0.3512012148
280 -0.3494903193
311 -0.3476873668
319 -0.3439232739
344 -0.3359439384
361 -0.3338624707
409 -0.3315297755
439 -0.3266849208
447 -0.3256838805
527 -0.3211395480
547 -0.3193935094
635 -0.3193851243
645 -0.3143105177
661 -0.3104909603
667 -0.3070282016
669 -0.3064116193
768 -0.3048806429
12651 -0.3040947205
14106 -0.3027345229
14517 -0.3018892148
14736 -0.2973753272
23925 -0.2955366423
24858 -0.2949077525
32781 -0.2935817546
35096 -0.2935404888
35153 -0.2931164982
35175 -0.2925466143
35415 -0.2920664943
100000 -0.2974256900
evaluations raw_y
1 -0.4762105217
2 -0.4736484465
9 -0.4651551798
19 -0.4567232457
21 -0.4548456929
33 -0.4401598045
35 -0.4307417465
41 -0.4239567206
45 -0.4211565274
50 -0.4151534334
55 -0.4102001709
57 -0.4083972250
62 -0.4080336145
67 -0.4070397399
80 -0.4006620966
85 -0.3984602778
93 -0.3920847361
97 -0.3841989665
106 -0.3826366923
136 -0.3798247280
146 -0.3754727468
153 -0.3705412482
165 -0.3683394294
169 -0.3621747677
182 -0.3567758258
185 -0.3555455356
199 -0.3533404212
206 -0.3518188828
240 -0.3464201775
285 -0.3459451542
287 -0.3370006345
306 -0.3344826547
313 -0.3337866039
328 -0.3252725814
374 -0.3207586938
643 -0.3181702099
646 -0.3159107504
720 -0.3140584614
729 -0.3046376404
768 -0.3026964201
789 -0.3017684252
795 -0.2998974059
841 -0.2990955649
936 -0.2969535833
970 -0.2964734633
1234 -0.2949519249
1377 -0.2943353426
35156 -0.2928200823
100000 -0.3069043151
evaluations raw_y
1 -0.4959817893
8 -0.4903383829
10 -0.4846207456
11 -0.4845873699
17 -0.4639214871
20 -0.4616597004
21 -0.4590019068
26 -0.4588968666
29 -0.4586453278
44 -0.4578672362
45 -0.4540874892
47 -0.4495155908
53 -0.4482750572
60 -0.4442097923
64 -0.4357929752
73 -0.4342365892
74 -0.4323655699
77 -0.4317489876
82 -0.4234205392
90 -0.4224115274
92 -0.4223544646
97 -0.4176162977
99 -0.4146498711
101 -0.4086043415
103 -0.4058791379
104 -0.4055475639
105 -0.4049776799
106 -0.4048943500
121 -0.3963653524
131 -0.3959256232
133 -0.3955608670
143 -0.3951707508
147 -0.3833785959
181 -0.3827250309
182 -0.3823934569
194 -0.3750164395
232 -0.3733055440
250 -0.3664617370
263 -0.3619478494
265 -0.3562498103
276 -0.3556809019
279 -0.3544201059
294 -0.3526677071
295 -0.3496200422
297 -0.3478170897
314 -0.3472472058
318 -0.3457732112
345 -0.3395690525
