evaluations raw_y
1 0.0000000000
51 3.0000000000
180 6.0000000000
195 8.0000000000
261 10.0000000000
299 13.0000000000
315 14.0000000000
355 17.0000000000
622 19.0000000000
639 21.0000000000
651 22.0000000000
707 23.0000000000
881 28.0000000000
889 30.0000000000
909 32.0000000000
925 38.0000000000
1374 40.0000000000
1566 41.0000000000
1702 43.0000000000
1707 44.0000000000
1858 45.0000000000
1951 47.0000000000
2062 48.0000000000
2134 49.0000000000
2232 52.0000000000
2339 53.0000000000
2501 56.0000000000
2806 60.0000000000
3091 63.0000000000
3261 66.0000000000
3291 67.0000000000
3608 71.0000000000
4365 73.0000000000
4390 74.0000000000
4662 75.0000000000
4678 76.0000000000
4736 78.0000000000
5246 81.0000000000
5248 87.0000000000
5418 88.0000000000
5672 91.0000000000
5766 93.0000000000
6115 95.0000000000
6292 98.0000000000
7436 99.0000000000
7443 100.0000000000
evaluations raw_y
1 0.0000000000
157 1.0000000000
410 3.0000000000
729 5.0000000000
800 7.0000000000
871 8.0000000000
1057 11.0000000000
1074 12.0000000000
1492 14.0000000000
1895 18.0000000000
1904 20.0000000000
1993 21.0000000000
2097 22.0000000000
2238 25.0000000000
2321 26.0000000000
2358 27.0000000000
2646 29.0000000000
2716 30.0000000000
2731 31.0000000000
2790 32.0000000000
2950 37.0000000000
3476 38.0000000000
4167 39.0000000000
4184 40.0000000000
4280 42.0000000000
4350 43.0000000000
4484 44.0000000000
4615 47.0000000000
4798 51.0000000000
4908 53.0000000000
4921 54.0000000000
5404 55.0000000000
5927 67.0000000000
6058 71.0000000000
6175 72.0000000000
6405 74.0000000000
6461 75.0000000000
6656 79.0000000000
6777 81.0000000000
6843 82.0000000000
7190 83.0000000000
7216 87.0000000000
7778 89.0000000000
7924 90.0000000000
8212 91.0000000000
8287 92.0000000000
8350 94.0000000000
8461 95.0000000000
8577 96.0000000000
8738 97.0000000000
8741 100.0000000000
evaluations raw_y
1 1.0000000000
90 2.0000000000
196 5.0000000000
307 6.0000000000
527 9.0000000000
706 10.0000000000
762 12.0000000000
1218 14.0000000000
1281 20.0000000000
1741 21.0000000000
1762 23.0000000000
1965 26.0000000000
2081 28.0000000000
2108 33.0000000000
2227 36.0000000000
2261 37.0000000000
2267 39.0000000000
2373 41.0000000000
2385 43.0000000000
2400 44.0000000000
2950 45.0000000000
3050 46.0000000000
3140 47.0000000000
3255 48.0000000000
3439 51.0000000000
3476 53.0000000000
3844 54.0000000000
3888 56.0000000000
3897 57.0000000000
5063 59.0000000000
5176 61.0000000000
5179 66.0000000000
5217 67.0000000000
5499 69.0000000000
5525 70.0000000000
5640 72.0000000000
5678 73.0000000000
7053 75.0000000000
7194 76.0000000000
7521 77.0000000000
7967 79.0000000000
9345 82.0000000000
9488 83.0000000000
10100 84.0000000000
10119 86.0000000000
10155 87.0000000000
10501 88.0000000000
10605 89.0000000000
10666 93.0000000000
10844 95.0000000000
10905 97.0000000000
11098 99.0000000000
11220 100.0000000000
evaluations raw_y
1 3.0000000000
21 4.0000000000
196 5.0000000000
203 6.0000000000
295 9.0000000000
416 13.0000000000
432 15.0000000000
448 16.0000000000
489 20.0000000000
820 22.0000000000
947 23.0000000000
950 24.0000000000
998 25.0000000000
1024 26.0000000000
1086 27.0000000000
1095 28.0000000000
1304 30.0000000000
1452 31.0000000000
1531 32.0000000000
1652 33.0000000000
1963 35.0000000000
2049 36.0000000000
2343 39.0000000000
2386 40.0000000000
2739 45.0000000000
2745 47.0000000000
2771 49.0000000000
2785 50.0000000000
2797 51.0000000000
2841 53.0000000000
2992 55.0000000000
3073 60.0000000000
3076 61.0000000000
3152 62.0000000000
3336 63.0000000000
3340 65.0000000000
3371 66.0000000000
3590 69.0000000000
3692 70.0000000000
4081 71.0000000000
4797 75.0000000000
4890 76.0000000000
5207 77.0000000000
5643 80.0000000000
5967 81.0000000000
6065 82.0000000000
6098 83.0000000000
6475 85.0000000000
6675 86.0000000000
6851 87.0000000000
6913 88.0000000000
7508 90.0000000000
7728 91.0000000000
7793 92.0000000000
7968 93.0000000000
8048 95.0000000000
8163 96.0000000000
8590 100.0000000000
evaluations raw_y
1 4.0000000000
44 10.0000000000
94 11.0000000000
108 16.0000000000
185 18.0000000000
300 21.0000000000
328 22.0000000000
369 24.0000000000
478 25.0000000000
552 27.0000000000
658 31.0000000000
679 32.0000000000
803 33.0000000000
1038 34.0000000000
1039 35.0000000000
1137 38.0000000000
1138 39.0000000000
1708 43.0000000000
1748 45.0000000000
1838 46.0000000000
2328 47.0000000000
2450 48.0000000000
2639 51.0000000000
2819 52.0000000000
2929 54.0000000000
3025 56.0000000000
3172 61.0000000000
3207 66.0000000000
3282 70.0000000000
3654 71.0000000000
3829 73.0000000000
3907 74.0000000000
4284 75.0000000000
4393 76.0000000000
4417 77.0000000000
4641 78.0000000000
4706 79.0000000000
4983 80.0000000000
5594 81.0000000000
6170 87.0000000000
6875 88.0000000000
7021 90.0000000000
7049 91.0000000000
7175 93.0000000000
7294 95.0000000000
7878 99.0000000000
8190 100.0000000000
evaluations raw_y
1 1.0000000000
43 3.0000000000
51 4.0000000000
199 5.0000000000
219 6.0000000000
292 8.0000000000
357 10.0000000000
831 13.0000000000
1038 17.0000000000
1300 19.0000000000
1402 21.0000000000
1765 23.0000000000
1794 24.0000000000
1813 25.0000000000
2103 28.0000000000
2305 30.0000000000
2483 31.0000000000
2497 33.0000000000
2602 34.0000000000
2718 35.0000000000
2816 36.0000000000
2979 40.0000000000
3009 41.0000000000
3043 45.0000000000
3242 49.0000000000
3411 50.0000000000
3665 51.0000000000
