evaluations raw_y
1 0.9815469179
3 1.2658227848
8 1.6307893020
282 1.6722408027
358 1.7519271198
381 1.7818959373
458 1.9157088123
2171 1.9364833462
5352 2.0781379884
10640 2.1204410517
18325 2.3041474654
84392 2.6123301985
100000 1.4245014245
evaluations raw_y
1 1.0761945760
3 1.1579434924
8 1.4509576320
18 1.5537600994
46 1.5673981191
68 1.7618040874
449 2.1834061135
1942 2.2831050228
5537 2.3084025854
26791 2.3212627669
100000 0.9908838684
evaluations raw_y
1 1.3974287311
10 1.4979029359
15 1.5733165513
16 1.6501650165
232 1.7470300489
1308 1.7568517217
1560 1.7593244194
1799 1.8477457502
2316 2.0746887967
10529 2.1795989538
20918 2.4777006938
100000 0.7824726135
evaluations raw_y
1 1.1956001913
3 1.4979029359
16 1.8811136193
224 1.9394879752
1233 1.9952114924
4635 2.0815986678
5427 2.1872265967
11477 2.1949078139
50598 2.2026431718
100000 0.9716284493
evaluations raw_y
1 1.5179113540
34 1.6139444803
197 1.6223231668
456 1.7618040874
590 1.8129079043
1281 1.8450184502
2134 1.8754688672
4085 2.0048115477
7366 2.0610057708
10987 2.1758050479
29625 2.1834061135
59363 2.3562676720
100000 1.2632642749
evaluations raw_y
1 0.8931761343
2 1.2013455070
6 1.3698630137
20 1.5124016939
50 1.5752993069
95 1.5893197711
171 1.8504811251
1372 1.8587360595
2631 2.0746887967
20040 2.1132713440
21461 2.2542831380
30942 2.2747952684
100000 1.0233319689
evaluations raw_y
1 1.2025012025
7 1.3390465988
18 1.3743815283
28 1.5087507544
80 1.6567263088
112 1.7205781142
155 1.7818959373
560 1.8587360595
1814 1.9275250578
4153 2.0576131687
16838 2.2461814915
17662 2.3212627669
75012 2.4154589372
100000 1.8395879323
evaluations raw_y
1 0.6418485237
2 1.0642826735
4 1.2048192771
27 1.5479876161
87 1.5595757954
106 1.5792798484
110 1.6350555919
111 1.6789791807
377 1.8050541516
706 1.8642803878
4046 1.8925056775
4467 2.0016012810
9692 2.0177562550
11481 2.0408163265
18722 2.0644095789
18811 2.0920502092
38613 2.2065313327
100000 0.9127418766
evaluations raw_y
1 1.0004001601
3 1.2735608762
20 1.4196479273
35 1.5615240475
89 1.5693659761
145 1.7470300489
181 1.7494751575
546 1.8726591760
849 1.8953752843
1483 2.0920502092
1754 2.0990764064
8355 2.2914757104
12531 2.3877745941
95258 2.4061597690
100000 0.7795447459
evaluations raw_y
1 1.0499790004
4 1.0817827780
6 1.1990407674
11 1.3683634373
24 1.9638648861
403 2.0080321285
4242 2.0145044319
14995 2.0177562550
15305 2.0920502092
17244 2.1168501270
31019 2.1720243267
41407 2.2065313327
52179 2.6680896478
100000 0.8588114050
