evaluations raw_y
1 44.0000000000
2 49.0000000000
4 50.0000000000
5 52.0000000000
8 57.0000000000
17 58.0000000000
31 59.0000000000
100 60.0000000000
101 65.0000000000
967 71.0000000000
100000 59.0000000000
evaluations raw_y
1 48.0000000000
2 52.0000000000
4 56.0000000000
12 60.0000000000
45 64.0000000000
283 65.0000000000
1554 66.0000000000
3210 67.0000000000
5214 68.0000000000
12775 69.0000000000
78423 71.0000000000
100000 59.0000000000
evaluations raw_y
1 55.0000000000
3 56.0000000000
18 57.0000000000
22 59.0000000000
26 63.0000000000
101 65.0000000000
486 66.0000000000
555 67.0000000000
1031 68.0000000000
1176 70.0000000000
61606 71.0000000000
87692 72.0000000000
100000 44.0000000000
evaluations raw_y
1 53.0000000000
2 62.0000000000
65 65.0000000000
1098 67.0000000000
1672 70.0000000000
19451 71.0000000000
100000 49.0000000000
evaluations raw_y
1 47.0000000000
4 50.0000000000
7 53.0000000000
12 63.0000000000
396 67.0000000000
6813 68.0000000000
9426 72.0000000000
100000 51.0000000000
evaluations raw_y
1 47.0000000000
3 52.0000000000
6 56.0000000000
43 58.0000000000
57 63.0000000000
127 65.0000000000
1395 66.0000000000
3669 67.0000000000
6603 69.0000000000
57935 71.0000000000
100000 47.0000000000
evaluations raw_y
1 39.0000000000
2 46.0000000000
3 48.0000000000
4 54.0000000000
5 55.0000000000
11 57.0000000000
14 61.0000000000
271 62.0000000000
476 65.0000000000
1527 69.0000000000
6111 70.0000000000
34106 72.0000000000
100000 41.0000000000
evaluations raw_y
1 44.0000000000
2 54.0000000000
5 57.0000000000
30 63.0000000000
531 71.0000000000
100000 55.0000000000
evaluations raw_y
1 46.0000000000
2 48.0000000000
7 62.0000000000
1109 68.0000000000
3791 70.0000000000
69321 71.0000000000
100000 46.0000000000
evaluations raw_y
1 48.0000000000
5 49.0000000000
6 55.0000000000
18 64.0000000000
54 66.0000000000
2022 68.0000000000
17695 70.0000000000
84648 71.0000000000
100000 55.0000000000
