evaluations raw_y
1 -1468.0000000000
2 -1400.0000000000
6 -1381.0000000000
8 -1362.0000000000
9 -1245.0000000000
10 -1157.0000000000
13 -1089.0000000000
25 -1040.0000000000
146 -1030.0000000000
161 -1011.0000000000
168 -971.0000000000
224 -933.0000000000
240 -884.0000000000
598 -846.0000000000
2500 -689.0000000000
21477 -680.0000000000
43988 -660.0000000000
100000 -1352.0000000000
evaluations raw_y
1 -1498.0000000000
2 -1293.0000000000
4 -1283.0000000000
7 -1254.0000000000
12 -1186.0000000000
37 -1069.0000000000
96 -1030.0000000000
146 -991.0000000000
154 -962.0000000000
592 -943.0000000000
772 -894.0000000000
1342 -826.0000000000
1975 -817.0000000000
6128 -788.0000000000
8766 -777.0000000000
11086 -680.0000000000
53050 -679.0000000000
77117 -632.0000000000
100000 -1488.0000000000
evaluations raw_y
1 -1244.0000000000
9 -1176.0000000000
27 -962.0000000000
140 -923.0000000000
176 -865.0000000000
359 -864.0000000000
496 -855.0000000000
513 -845.0000000000
1136 -738.0000000000
23188 -719.0000000000
86936 -709.0000000000
100000 -1332.0000000000
evaluations raw_y
1 -1293.0000000000
6 -1079.0000000000
16 -952.0000000000
404 -865.0000000000
1115 -807.0000000000
2693 -758.0000000000
4645 -738.0000000000
12888 -728.0000000000
39584 -719.0000000000
45395 -709.0000000000
82914 -622.0000000000
100000 -1507.0000000000
evaluations raw_y
1 -1342.0000000000
5 -1225.0000000000
14 -1157.0000000000
33 -1147.0000000000
47 -1089.0000000000
56 -972.0000000000
255 -816.0000000000
6398 -641.0000000000
15860 -622.0000000000
100000 -1274.0000000000
evaluations raw_y
1 -1283.0000000000
7 -1177.0000000000
13 -1118.0000000000
15 -1108.0000000000
37 -1021.0000000000
38 -972.0000000000
197 -923.0000000000
281 -903.0000000000
444 -836.0000000000
972 -826.0000000000
1626 -825.0000000000
1688 -758.0000000000
11725 -728.0000000000
48503 -670.0000000000
100000 -1293.0000000000
evaluations raw_y
1 -1468.0000000000
2 -1303.0000000000
6 -1264.0000000000
12 -1186.0000000000
17 -1117.0000000000
26 -1001.0000000000
129 -972.0000000000
691 -923.0000000000
841 -845.0000000000
1045 -807.0000000000
1332 -699.0000000000
11148 -563.0000000000
100000 -1634.0000000000
evaluations raw_y
1 -1205.0000000000
2 -1137.0000000000
3 -1040.0000000000
30 -923.0000000000
580 -913.0000000000
642 -894.0000000000
685 -700.0000000000
9772 -670.0000000000
53101 -660.0000000000
88746 -476.0000000000
100000 -1566.0000000000
evaluations raw_y
1 -1459.0000000000
2 -1069.0000000000
32 -904.0000000000
218 -893.0000000000
807 -816.0000000000
3436 -689.0000000000
29206 -660.0000000000
100000 -1624.0000000000
evaluations raw_y
1 -1624.0000000000
2 -1527.0000000000
3 -1410.0000000000
4 -1069.0000000000
15 -923.0000000000
355 -874.0000000000
451 -757.0000000000
2883 -699.0000000000
3446 -622.0000000000
100000 -1186.0000000000
