evaluations raw_y
1 -0.5175437036
3 -0.4759495714
42 -0.4713971423
73 -0.4620841808
138 -0.4476737987
488 -0.4452987523
509 -0.4362489479
686 -0.4286405692
1418 -0.4159504253
9689 -0.4152822248
13665 -0.4085278439
87054 -0.3962216930
100000 -0.5382789502
evaluations raw_y
1 -0.4861481350
14 -0.4803969776
32 -0.4613154804
49 -0.4602002733
65 -0.4579336990
166 -0.4567962857
168 -0.4548372952
213 -0.4529778591
289 -0.4513612184
700 -0.4384214733
1431 -0.4292060229
1572 -0.4243427689
1854 -0.4158509610
17229 -0.4122741629
66644 -0.4062762624
79228 -0.3954779611
100000 -0.5235550195
evaluations raw_y
1 -0.5137066742
3 -0.4826694561
4 -0.4586715782
18 -0.4216292153
4786 -0.4185591623
7838 -0.4117051714
17996 -0.4009224571
100000 -0.5180835422
evaluations raw_y
1 -0.5005702344
3 -0.4851632176
4 -0.4848451524
8 -0.4785493717
14 -0.4674307305
19 -0.4648484741
104 -0.4457901900
117 -0.4251235770
4105 -0.4223700082
5452 -0.4180164975
28401 -0.4168162737
64871 -0.4116873287
83079 -0.4116821488
100000 -0.4810876048
evaluations raw_y
1 -0.5197266759
2 -0.4781857688
9 -0.4728693376
28 -0.4704983897
52 -0.4657526005
73 -0.4635262076
79 -0.4492226022
122 -0.4487967183
303 -0.4309237074
471 -0.4211067441
12063 -0.4195306026
24115 -0.4192530628
49794 -0.4139869609
68366 -0.4084388933
100000 -0.4975736152
evaluations raw_y
1 -0.4875708230
14 -0.4815192244
24 -0.4736328457
28 -0.4488046423
167 -0.4442665110
316 -0.4423934807
329 -0.4417868422
459 -0.4363119028
4055 -0.4303222909
9633 -0.4272504132
13352 -0.4191305246
27369 -0.4166738157
38021 -0.4154202605
38036 -0.4114237288
91236 -0.4044029462
100000 -0.5149068827
evaluations raw_y
1 -0.5027155126
2 -0.4500827164
127 -0.4462311585
184 -0.4368339733
247 -0.4144408661
42736 -0.3958023422
100000 -0.5396126696
evaluations raw_y
1 -0.5228228860
4 -0.4734237136
47 -0.4702094231
67 -0.4493850897
392 -0.4179519468
5211 -0.4169255421
19377 -0.4139677177
35643 -0.4104613249
38745 -0.4047513222
41307 -0.3927289065
100000 -0.4975426207
evaluations raw_y
1 -0.5378921449
2 -0.5184547313
3 -0.5070471180
4 -0.4658072210
21 -0.4499438621
396 -0.4454007129
750 -0.4447560533
776 -0.4174631983
2082 -0.4073029857
35502 -0.4013943443
100000 -0.5125065227
evaluations raw_y
1 -0.5564361834
2 -0.4976680427
3 -0.4812772877
7 -0.4694054455
29 -0.4589661264
62 -0.4538478359
84 -0.4522932666
85 -0.4403936035
143 -0.4335419552
177 -0.4309169048
2623 -0.4264584220
2993 -0.4224232984
4002 -0.4190775930
7976 -0.4106624826
35234 -0.4072307905
92128 -0.4058925080
97714 -0.4020370716
100000 -0.4995197119
