evaluations raw_y
1 2642.0000000000
2 3097.0000000000
38 3222.0000000000
46 3336.0000000000
117 3459.0000000000
1941 3501.0000000000
2298 3565.0000000000
3799 3629.0000000000
27698 3684.0000000000
100000 2733.0000000000
evaluations raw_y
1 2649.0000000000
3 2698.0000000000
8 2792.0000000000
15 3081.0000000000
101 3117.0000000000
152 3200.0000000000
187 3221.0000000000
303 3240.0000000000
663 3245.0000000000
958 3251.0000000000
1280 3310.0000000000
1350 3342.0000000000
1497 3657.0000000000
5040 3677.0000000000
22089 3728.0000000000
31857 3755.0000000000
39855 3814.0000000000
100000 2625.0000000000
evaluations raw_y
1 2169.0000000000
2 2613.0000000000
3 2784.0000000000
8 2788.0000000000
31 2843.0000000000
38 2848.0000000000
39 2921.0000000000
41 2993.0000000000
44 3079.0000000000
65 3088.0000000000
74 3273.0000000000
159 3532.0000000000
280 3544.0000000000
8533 3696.0000000000
100000 2548.0000000000
evaluations raw_y
1 2949.0000000000
4 3069.0000000000
23 3139.0000000000
108 3154.0000000000
122 3269.0000000000
442 3332.0000000000
536 3638.0000000000
36274 3673.0000000000
70316 3770.0000000000
100000 2304.0000000000
evaluations raw_y
1 2562.0000000000
4 2729.0000000000
5 2855.0000000000
7 3148.0000000000
8 3270.0000000000
43 3443.0000000000
392 3555.0000000000
5112 3613.0000000000
49726 3823.0000000000
100000 2118.0000000000
evaluations raw_y
1 2573.0000000000
4 2825.0000000000
13 2908.0000000000
14 2955.0000000000
19 3043.0000000000
21 3115.0000000000
164 3437.0000000000
754 3444.0000000000
2366 3456.0000000000
2500 3498.0000000000
3426 3635.0000000000
20301 3705.0000000000
100000 2779.0000000000
evaluations raw_y
1 2724.0000000000
4 2881.0000000000
9 3130.0000000000
201 3254.0000000000
277 3277.0000000000
441 3314.0000000000
1129 3495.0000000000
1221 3541.0000000000
10837 3547.0000000000
12256 3664.0000000000
99625 3684.0000000000
100000 2725.0000000000
evaluations raw_y
1 2640.0000000000
12 2659.0000000000
14 2825.0000000000
22 2827.0000000000
27 2905.0000000000
30 2994.0000000000
36 3791.0000000000
79837 3869.0000000000
100000 2435.0000000000
evaluations raw_y
1 2634.0000000000
4 2680.0000000000
8 2868.0000000000
20 3054.0000000000
75 3140.0000000000
92 3248.0000000000
118 3303.0000000000
154 3455.0000000000
2183 3515.0000000000
15078 3589.0000000000
17369 3619.0000000000
19307 3652.0000000000
19416 3766.0000000000
100000 2552.0000000000
evaluations raw_y
1 2258.0000000000
2 2507.0000000000
3 2943.0000000000
4 3185.0000000000
29 3205.0000000000
200 3226.0000000000
320 3434.0000000000
4853 3476.0000000000
5616 3489.0000000000
5660 3537.0000000000
29921 3652.0000000000
100000 3045.0000000000
