evaluations raw_y
1 0.9338812103
3 0.9877518767
4 1.0060362173
6 1.0893246187
7 1.1195700851
8 1.2048192771
9 1.3041210224
10 1.4343086632
17 1.4560279557
19 1.7325017325
20 1.7946877243
22 1.8341892883
34 1.8532246108
35 1.9364833462
37 1.9516003123
38 1.9546520719
44 2.0080321285
45 2.1720243267
68 2.2956841139
71 2.3969319271
72 2.5278058645
77 2.5432349949
81 2.5906735751
86 2.6068821689
88 2.6123301985
103 2.6178010471
144 2.9171528588
151 3.0525030525
201 3.1685678074
230 3.1928480204
239 3.2509752926
244 3.4013605442
264 3.4867503487
283 3.7257824143
100001 3.2175032175
evaluations raw_y
1 0.3404603023
2 0.4152134197
3 0.4753755467
4 0.5574136009
5 0.6340349987
6 0.6776904310
7 0.7169486665
8 0.8188666885
10 0.9331840239
12 0.9964129135
13 1.1125945705
15 1.1420740064
18 1.1644154634
21 1.2370113805
22 1.2658227848
25 1.2906556531
27 1.3220518244
31 1.4662756598
32 1.5290519878
33 1.5576323988
43 1.5832805573
46 1.6223231668
48 1.6244314490
49 1.6393442623
53 1.6995241332
56 1.7064846416
58 1.8234865062
61 1.9394879752
64 2.1061499579
65 2.1385799829
80 2.4437927664
87 2.7502750275
90 2.7563395810
97 2.9036004646
145 2.9655990510
182 3.0450669915
238 3.2425421530
270 3.3377837116
100001 2.7685492802
evaluations raw_y
1 1.2419274714
2 1.3304949441
3 1.3943112103
5 1.6077170418
9 1.6972165648
13 1.8288222385
15 2.0145044319
19 2.2747952684
25 2.2956841139
29 2.4248302619
30 2.4777006938
47 2.6624068158
79 2.6680896478
88 2.9103608847
113 3.0156815440
139 3.0229746070
150 3.0750307503
152 3.1289111389
196 3.2010243278
197 3.2594524120
230 3.2679738562
260 3.3112582781
304 3.3921302578
364 3.5561877667
422 3.6075036075
458 3.7037037037
509 3.8284839204
100001 3.4199726402
evaluations raw_y
1 1.0989010989
2 1.3347570742
3 1.4084507042
5 1.4100394811
6 1.4148273911
8 1.4326647564
25 1.5713387806
33 1.5733165513
34 1.5954052329
49 1.6015374760
53 1.6160310278
54 1.6611295681
59 1.6903313049
73 1.8477457502
83 1.8559762435
93 1.9040365575
97 1.9485580670
102 2.1758050479
110 2.2421524664
118 2.2706630336
129 2.3430178069
137 2.4108003857
141 2.4154589372
146 2.4295432459
153 2.4533856722
172 2.4777006938
195 2.5746652935
206 2.6232948583
232 2.6624068158
243 2.8248587571
258 2.8312570781
298 2.9868578256
334 3.0674846626
367 3.2175032175
377 3.5561877667
382 3.6496350365
100001 3.6179450072
evaluations raw_y
1 1.2493753123
3 1.4611338399
4 1.7445917655
14 1.9011406844
17 1.9700551615
18 1.9920318725
24 2.0475020475
32 2.0712510356
38 2.1312872975
39 2.2182786158
