evaluations raw_y
1 -1605.0000000000
3 -1566.0000000000
4 -1527.0000000000
6 -1488.0000000000
8 -1449.0000000000
10 -1410.0000000000
11 -1371.0000000000
13 -1332.0000000000
17 -1293.0000000000
19 -1254.0000000000
24 -1225.0000000000
28 -1186.0000000000
29 -1157.0000000000
32 -1118.0000000000
34 -1079.0000000000
35 -1040.0000000000
42 -1001.0000000000
43 -972.0000000000
51 -933.0000000000
54 -894.0000000000
58 -865.0000000000
60 -826.0000000000
61 -787.0000000000
63 -748.0000000000
67 -709.0000000000
70 -670.0000000000
71 -631.0000000000
75 -592.0000000000
79 -553.0000000000
80 -514.0000000000
81 -485.0000000000
82 -446.0000000000
83 -417.0000000000
84 -378.0000000000
87 -349.0000000000
91 -320.0000000000
92 -281.0000000000
93 -252.0000000000
95 -243.0000000000
105 -214.0000000000
111 -195.0000000000
124 -176.0000000000
137 -157.0000000000
144 -148.0000000000
147 -109.0000000000
149 -100.0000000000
157 -91.0000000000
162 -72.0000000000
163 -43.0000000000
165 -14.0000000000
171 -13.0000000000
222 -12.0000000000
253 -11.0000000000
259 -2.0000000000
269 -1.0000000000
276 8.0000000000
415 9.0000000000
100001 -30.0000000000
evaluations raw_y
1 -1244.0000000000
2 -1205.0000000000
4 -1166.0000000000
5 -1127.0000000000
6 -1098.0000000000
7 -1059.0000000000
8 -1020.0000000000
16 -981.0000000000
18 -942.0000000000
20 -913.0000000000
29 -874.0000000000
30 -845.0000000000
36 -806.0000000000
42 -767.0000000000
44 -728.0000000000
45 -699.0000000000
46 -670.0000000000
47 -631.0000000000
51 -602.0000000000
52 -563.0000000000
53 -524.0000000000
55 -495.0000000000
56 -466.0000000000
59 -427.0000000000
64 -398.0000000000
65 -369.0000000000
66 -340.0000000000
80 -311.0000000000
88 -292.0000000000
89 -273.0000000000
93 -234.0000000000
94 -205.0000000000
96 -176.0000000000
100 -137.0000000000
104 -108.0000000000
105 -79.0000000000
117 -60.0000000000
118 -51.0000000000
119 -42.0000000000
126 -41.0000000000
179 -32.0000000000
182 -31.0000000000
185 -12.0000000000
223 -3.0000000000
236 6.0000000000
250 7.0000000000
284 8.0000000000
100001 -21.0000000000
evaluations raw_y
1 -1575.0000000000
2 -1536.0000000000
6 -1497.0000000000
9 -1458.0000000000
10 -1419.0000000000
14 -1390.0000000000
15 -1351.0000000000
17 -1312.0000000000
19 -1273.0000000000
20 -1234.0000000000
22 -1195.0000000000
23 -1156.0000000000
25 -1127.0000000000
27 -1098.0000000000
30 -1059.0000000000
35 -1030.0000000000
36 -1001.0000000000
41 -972.0000000000
42 -943.0000000000
49 -904.0000000000
50 -875.0000000000
51 -836.0000000000
52 -807.0000000000
56 -768.0000000000
60 -729.0000000000
61 -690.0000000000
62 -671.0000000000
65 -642.0000000000
66 -623.0000000000
70 -584.0000000000
75 -545.0000000000
76 -516.0000000000
90 -487.0000000000
107 -458.0000000000
112 -429.0000000000
118 -390.0000000000
120 -351.0000000000
127 -322.0000000000
128 -293.0000000000
130 -254.0000000000
144 -235.0000000000
150 -196.0000000000
153 -167.0000000000
154 -138.0000000000
156 -119.0000000000
160 -100.0000000000
161 -91.0000000000
173 -90.0000000000
182 -71.0000000000
189 -70.0000000000
211 -61.0000000000
231 -42.0000000000
234 -23.0000000000
