evaluations raw_y
1 2706.0000000000
2 2761.0000000000
3 2782.0000000000
5 2821.0000000000
9 2903.0000000000
11 2982.0000000000
14 2996.0000000000
18 3022.0000000000
21 3116.0000000000
22 3194.0000000000
24 3251.0000000000
25 3256.0000000000
30 3271.0000000000
31 3352.0000000000
35 3451.0000000000
40 3548.0000000000
43 3633.0000000000
46 3646.0000000000
56 3744.0000000000
62 3815.0000000000
64 3824.0000000000
71 3910.0000000000
76 4003.0000000000
77 4021.0000000000
79 4079.0000000000
80 4110.0000000000
84 4159.0000000000
86 4184.0000000000
88 4207.0000000000
94 4224.0000000000
95 4226.0000000000
96 4259.0000000000
98 4306.0000000000
102 4325.0000000000
104 4352.0000000000
107 4439.0000000000
112 4509.0000000000
113 4559.0000000000
120 4588.0000000000
145 4656.0000000000
164 4752.0000000000
181 4764.0000000000
190 4837.0000000000
274 4882.0000000000
277 4959.0000000000
317 4962.0000000000
358 5026.0000000000
360 5030.0000000000
394 5050.0000000000
100001 5047.0000000000
evaluations raw_y
1 2705.0000000000
4 2764.0000000000
6 2809.0000000000
9 2842.0000000000
11 2847.0000000000
16 2886.0000000000
18 2898.0000000000
25 2908.0000000000
31 2987.0000000000
32 3033.0000000000
36 3106.0000000000
37 3199.0000000000
40 3290.0000000000
41 3388.0000000000
42 3485.0000000000
44 3519.0000000000
46 3571.0000000000
48 3646.0000000000
52 3647.0000000000
55 3733.0000000000
57 3795.0000000000
58 3894.0000000000
62 3957.0000000000
63 3997.0000000000
66 4052.0000000000
69 4070.0000000000
73 4136.0000000000
80 4212.0000000000
81 4236.0000000000
100 4310.0000000000
104 4404.0000000000
124 4457.0000000000
127 4511.0000000000
136 4558.0000000000
144 4608.0000000000
164 4646.0000000000
184 4659.0000000000
186 4716.0000000000
189 4774.0000000000
204 4777.0000000000
205 4791.0000000000
209 4875.0000000000
251 4955.0000000000
292 4972.0000000000
312 4981.0000000000
345 4985.0000000000
368 5050.0000000000
100001 5008.0000000000
evaluations raw_y
1 2587.0000000000
2 2611.0000000000
3 2683.0000000000
4 2746.0000000000
7 2749.0000000000
15 2776.0000000000
20 2798.0000000000
26 2811.0000000000
28 2865.0000000000
29 2898.0000000000
31 2994.0000000000
34 2995.0000000000
38 3045.0000000000
44 3112.0000000000
45 3120.0000000000
46 3165.0000000000
48 3227.0000000000
49 3259.0000000000
50 3316.0000000000
51 3359.0000000000
54 3428.0000000000
55 3468.0000000000
57 3539.0000000000
62 3583.0000000000
68 3592.0000000000
73 3658.0000000000
75 3669.0000000000
79 3711.0000000000
80 3811.0000000000
84 3891.0000000000
87 3921.0000000000
88 4008.0000000000
90 4106.0000000000
102 4183.0000000000
104 4232.0000000000
107 4248.0000000000
118 4295.0000000000
119 4381.0000000000
136 4455.0000000000
152 4503.0000000000
157 4576.0000000000
176 4631.0000000000
184 4726.0000000000
199 4761.0000000000
216 4813.0000000000
230 4871.0000000000
242 4881.0000000000
267 4956.0000000000
324 5050.0000000000
100001 5005.0000000000
evaluations raw_y
1 2809.0000000000
8 2877.0000000000
11 2917.0000000000
12 2980.0000000000
13 3066.0000000000
15 3141.0000000000
17 3177.0000000000
21 3190.0000000000
23 3213.0000000000
26 3287.0000000000
27 3354.0000000000
30 3380.0000000000
36 3381.0000000000
37 3393.0000000000
39 3445.0000000000
46 3473.0000000000
55 3550.0000000000
57 3642.0000000000
63 3657.0000000000
64 3674.0000000000
67 3755.0000000000
68 3761.0000000000
71 3798.0000000000
78 3827.0000000000
92 3893.0000000000
95 3981.0000000000
98 4019.0000000000
101 4050.0000000000
103 4058.0000000000
115 4122.0000000000
128 4216.0000000000
133 4220.0000000000
145 4225.0000000000
152 4323.0000000000
180 4405.0000000000
188 4500.0000000000
192 4561.0000000000
199 4608.0000000000
202 4693.0000000000
263 4789.0000000000
289 4834.0000000000
326 4858.0000000000
329 4929.0000000000
369 4977.0000000000
455 5050.0000000000
100001 5008.0000000000
evaluations raw_y
1 2501.0000000000
6 2600.0000000000
9 2669.0000000000
10 2679.0000000000
12 2682.0000000000
13 2714.0000000000
14 2748.0000000000
17 2783.0000000000
23 2834.0000000000
25 2926.0000000000
27 2964.0000000000
28 2991.0000000000
29 3006.0000000000
35 3090.0000000000
38 3097.0000000000
41 3155.0000000000
44 3222.0000000000
46 3295.0000000000
49 3378.0000000000
52 3409.0000000000
54 3432.0000000000
55 3445.0000000000
56 3502.0000000000
60 3590.0000000000
64 3616.0000000000
67 3713.0000000000
78 3758.0000000000
80 3764.0000000000
81 3851.0000000000
82 3949.0000000000
85 4026.0000000000
87 4051.0000000000
88 4129.0000000000
93 4157.0000000000
95 4218.0000000000
106 4262.0000000000
108 4311.0000000000
109 4402.0000000000
122 4449.0000000000
124 4523.0000000000
131 4598.0000000000
158 4607.0000000000
159 4644.0000000000
170 4685.0000000000
180 4781.0000000000
191 4840.0000000000
198 4900.0000000000
209 4963.0000000000
275 4964.0000000000
311 5050.0000000000
100001 4956.0000000000
evaluations raw_y
1 2203.0000000000
4 2222.0000000000
5 2292.0000000000
8 2342.0000000000
9 2435.0000000000
10 2483.0000000000
11 2524.0000000000
12 2558.0000000000
15 2652.0000000000
16 2707.0000000000
19 2799.0000000000
21 2857.0000000000
25 2948.0000000000
26 3012.0000000000
28 3035.0000000000
30 3116.0000000000
31 3194.0000000000
35 3291.0000000000
36 3387.0000000000
38 3430.0000000000
39 3442.0000000000
45 3511.0000000000
47 3555.0000000000
49 3655.0000000000
54 3656.0000000000
55 3744.0000000000
56 3765.0000000000
57 3785.0000000000
61 3813.0000000000
67 3873.0000000000
70 3963.0000000000
83 3990.0000000000
86 4026.0000000000
95 4093.0000000000
100 4150.0000000000
122 4236.0000000000
123 4262.0000000000
126 4291.0000000000
135 4364.0000000000
143 4406.0000000000
147 4482.0000000000
163 4544.0000000000
168 4626.0000000000
191 4685.0000000000
193 4731.0000000000
199 4770.0000000000
210 4780.0000000000
216 4851.0000000000
219 4868.0000000000
233 4934.0000000000
271 4969.0000000000
330 5025.0000000000
521 5050.0000000000
100001 4956.0000000000
evaluations raw_y
1 2307.0000000000
2 2354.0000000000
3 2378.0000000000
4 2422.0000000000
6 2512.0000000000
7 2592.0000000000
9 2599.0000000000
13 2676.0000000000
14 2733.0000000000
15 2808.0000000000
16 2902.0000000000
18 2928.0000000000
22 2965.0000000000
24 2968.0000000000
25 2986.0000000000
26 3019.0000000000
27 3105.0000000000
30 3197.0000000000
34 3239.0000000000
36 3256.0000000000
40 3351.0000000000
46 3391.0000000000
48 3404.0000000000
50 3487.0000000000
54 3509.0000000000
55 3513.0000000000
64 3586.0000000000
67 3674.0000000000
71 3765.0000000000
72 3854.0000000000
74 3918.0000000000
79 3968.0000000000
85 3980.0000000000
86 4054.0000000000
95 4117.0000000000
99 4188.0000000000
102 4215.0000000000
104 4236.0000000000
107 4247.0000000000
108 4329.0000000000
110 4428.0000000000
123 4462.0000000000
124 4528.0000000000
125 4607.0000000000
140 4632.0000000000
155 4701.0000000000
158 4752.0000000000
159 4817.0000000000
163 4898.0000000000
179 4903.0000000000
221 4942.0000000000
287 5009.0000000000
