evaluations raw_y
1 1.1018069634
5 1.2297097885
10 1.2594458438
16 1.3376136972
43 1.4310246136
44 1.4961101137
60 1.5556938395
69 1.5713387806
73 1.6501650165
158 1.6589250166
194 1.9157088123
322 1.9700551615
449 2.1097046414
465 2.2583559169
497 2.2831050228
506 2.3386342376
600 2.3969319271
628 2.4390243902
798 2.4925224327
806 2.5227043391
857 2.5799793602
876 2.6511134677
1072 2.6852846402
1078 2.7382256298
1098 2.7870680045
1136 2.8312570781
1362 2.8506271380
1367 2.9103608847
1452 2.9171528588
1563 3.0229746070
1683 3.0303030303
1774 3.0599755202
1817 3.1605562579
1823 3.2594524120
1978 3.3200531208
2018 3.5260930889
2253 3.6284470247
2579 3.6603221083
2646 3.7707390649
2679 4.0518638574
100000 4.0518638574
evaluations raw_y
1 1.0036130068
2 1.3912075682
24 1.7158544955
136 1.7768301350
202 1.8698578908
211 1.9516003123
254 2.0275750203
314 2.1496130696
347 2.1682567216
353 2.3126734505
365 2.4679170780
385 2.4875621891
454 2.7027027027
521 2.8702640643
652 2.9585798817
721 3.0229746070
743 3.2851511170
818 3.3288948069
984 3.4106412005
1402 3.5561877667
1697 3.6075036075
1771 3.6818851252
2208 3.8284839204
2556 3.8880248834
2726 3.9001560062
2750 4.0000000000
3006 4.4091710758
100000 3.2679738562
evaluations raw_y
1 1.4326647564
14 1.5328019620
51 1.6286644951
71 1.7111567420
196 1.9857029388
275 2.2421524664
323 2.2665457842
344 2.3169601483
364 2.6343519494
448 2.8702640643
525 3.0156815440
619 3.0376670717
623 3.2425421530
856 3.2679738562
858 3.2851511170
1135 3.6179450072
1438 3.6284470247
1591 3.8167938931
2136 4.0783034258
26989 4.0916530278
100000 3.0084235860
evaluations raw_y
1 1.1876484561
4 1.3027618551
12 1.3668671405
19 1.3758943313
36 1.4277555682
108 1.5051173992
113 1.5422578655
116 1.6077170418
148 1.6244314490
198 1.6611295681
236 1.7618040874
251 2.1097046414
420 2.4485798237
517 2.5746652935
562 2.5906735751
584 2.5960539979
586 2.9036004646
687 2.9377203290
841 3.1367628607
935 3.2425421530
1150 3.5460992908
1269 3.5765379113
1371 3.6075036075
1402 3.6390101892
1586 3.9001560062
1740 3.9619651347
32133 4.0128410915
32393 4.0257648953
32440 4.0387722132
40043 4.2016806723
40161 4.2444821732
100000 4.2444821732
evaluations raw_y
1 0.8275405495
2 1.0224948875
5 1.5518311608
6 1.6223231668
90 1.7135023989
124 1.7253278123
168 1.9888623707
291 2.1385799829
360 2.3696682464
413 2.6123301985
452 2.9103608847
656 2.9797377831
668 3.0012004802
758 3.0525030525
807 3.2679738562
916 3.2851511170
947 3.4013605442
26253 3.4578146611
67817 3.5360678925
68828 3.5765379113
100000 2.4679170780
evaluations raw_y
1 1.5216068168
67 1.5974440895
93 1.6202203500
124 1.7397355602
131 1.7743080199
188 2.0678246485
303 2.0850708924
343 2.3430178069
346 2.4108003857
391 2.5075225677
404 2.6288117771
506 2.7746947836
548 2.8636884307
567 3.1766200762
746 3.2509752926
897 3.5063113604
972 3.7037037037
83081 3.7257824143
100000 2.8184892897
evaluations raw_y
1 0.8114248621
2 1.1057054401
6 1.2272950417
10 1.2987012987
12 1.3638843426
14 1.4836795252
73 1.4925373134
105 1.8477457502
297 2.1132713440
353 2.1682567216
362 2.2747952684
380 2.4061597690
426 2.5278058645
489 2.6511134677
538 2.7563395810
570 2.8376844495
783 2.9585798817
844 3.0229746070
1119 3.3738191633
1514 3.7037037037
1961 3.7593984962
2026 3.8639876352
7031 4.1186161450
100000 4.1186161450
evaluations raw_y
1 0.7231703789
2 1.2382367509
6 1.5033072760
33 1.5271838729
149 1.5673981191
180 1.7793594306
231 1.8181818182
311 2.0712510356
354 2.0850708924
415 2.1385799829
418 2.2301516503
426 2.2421524664
431 2.4295432459
438 2.4925224327
490 2.5432349949
516 2.5536261491
616 2.5693730730
625 2.6232948583
686 2.8441410694
861 2.9726516052
970 3.1446540881
1185 3.2010243278
1251 3.2425421530
1335 3.3112582781
2043 3.6390101892
2320 3.6710719530
2370 3.7257824143
100000 2.7502750275
evaluations raw_y
1 1.2619888945
4 1.6633399867
9 2.0408163265
218 2.1872265967
249 2.4061597690
279 2.7382256298
361 2.8702640643
389 2.9239766082
424 3.0156815440
635 3.0376670717
703 3.0902348578
797 3.1928480204
829 3.2509752926
942 3.2594524120
1061 3.3200531208
1194 3.3738191633
1219 3.5360678925
1370 3.6284470247
1613 3.7936267071
1820 4.1050903120
100000 3.0156815440
evaluations raw_y
1 1.2297097885
2 1.4180374362
8 1.4854426619
25 1.5576323988
42 1.8953752843
118 2.2301516503
262 2.4015369837
328 2.5588536336
419 2.5641025641
435 2.7442371021
517 2.7685492802
715 2.8636884307
733 2.8968713789
748 2.9446407538
857 3.0826140567
929 3.2509752926
1001 3.7257824143
100000 2.5641025641
