evaluations raw_y
1 42.0000000000
2 53.0000000000
4 58.0000000000
7 59.0000000000
11 60.0000000000
22 67.0000000000
75 70.0000000000
128 72.0000000000
170 74.0000000000
190 78.0000000000
257 79.0000000000
268 81.0000000000
328 82.0000000000
361 83.0000000000
383 84.0000000000
422 85.0000000000
432 86.0000000000
507 87.0000000000
570 89.0000000000
630 90.0000000000
679 91.0000000000
682 92.0000000000
754 93.0000000000
839 94.0000000000
865 95.0000000000
945 96.0000000000
1018 97.0000000000
1168 98.0000000000
1441 99.0000000000
1534 100.0000000000
100000 100.0000000000
evaluations raw_y
1 48.0000000000
3 53.0000000000
8 54.0000000000
17 56.0000000000
29 67.0000000000
144 70.0000000000
166 71.0000000000
174 73.0000000000
209 74.0000000000
225 76.0000000000
246 78.0000000000
294 82.0000000000
350 84.0000000000
429 85.0000000000
474 86.0000000000
519 88.0000000000
527 89.0000000000
621 91.0000000000
777 92.0000000000
878 93.0000000000
912 94.0000000000
983 95.0000000000
1008 96.0000000000
1134 97.0000000000
1371 98.0000000000
1496 99.0000000000
1744 100.0000000000
100000 98.0000000000
evaluations raw_y
1 53.0000000000
3 54.0000000000
11 55.0000000000
14 58.0000000000
25 59.0000000000
30 62.0000000000
62 66.0000000000
98 69.0000000000
152 72.0000000000
185 74.0000000000
202 75.0000000000
218 76.0000000000
290 78.0000000000
300 79.0000000000
343 81.0000000000
359 82.0000000000
394 84.0000000000
415 85.0000000000
436 86.0000000000
467 87.0000000000
489 88.0000000000
505 89.0000000000
529 91.0000000000
581 92.0000000000
633 93.0000000000
644 94.0000000000
661 95.0000000000
668 96.0000000000
824 97.0000000000
969 98.0000000000
1123 99.0000000000
1488 100.0000000000
100000 97.0000000000
evaluations raw_y
1 56.0000000000
7 58.0000000000
13 59.0000000000
26 61.0000000000
80 62.0000000000
89 64.0000000000
95 65.0000000000
99 66.0000000000
111 70.0000000000
144 72.0000000000
150 75.0000000000
258 78.0000000000
297 81.0000000000
367 84.0000000000
451 85.0000000000
517 86.0000000000
535 87.0000000000
541 88.0000000000
605 90.0000000000
653 91.0000000000
761 92.0000000000
763 93.0000000000
839 94.0000000000
914 95.0000000000
1046 96.0000000000
1153 97.0000000000
1324 98.0000000000
1414 99.0000000000
1608 100.0000000000
100000 100.0000000000
evaluations raw_y
1 49.0000000000
2 51.0000000000
6 52.0000000000
7 55.0000000000
32 56.0000000000
34 59.0000000000
83 61.0000000000
99 63.0000000000
116 65.0000000000
149 66.0000000000
153 72.0000000000
193 74.0000000000
267 76.0000000000
303 77.0000000000
316 80.0000000000
371 82.0000000000
418 83.0000000000
423 84.0000000000
479 85.0000000000
515 86.0000000000
537 87.0000000000
583 88.0000000000
633 89.0000000000
661 91.0000000000
716 92.0000000000
751 93.0000000000
829 94.0000000000
877 95.0000000000
929 96.0000000000
1081 97.0000000000
1328 98.0000000000
1389 99.0000000000
1551 100.0000000000
100000 100.0000000000
evaluations raw_y
1 49.0000000000
6 64.0000000000
80 65.0000000000
95 66.0000000000
137 67.0000000000
138 70.0000000000
145 71.0000000000
225 73.0000000000
233 75.0000000000
255 77.0000000000
266 79.0000000000
311 80.0000000000
330 82.0000000000
377 83.0000000000
387 85.0000000000
467 86.0000000000
498 89.0000000000
533 90.0000000000
615 91.0000000000
642 92.0000000000
682 93.0000000000
874 94.0000000000
1023 95.0000000000
1073 96.0000000000
1145 97.0000000000
1246 98.0000000000
1417 99.0000000000
1554 100.0000000000
100000 100.0000000000
evaluations raw_y
1 52.0000000000
3 56.0000000000
5 58.0000000000
17 59.0000000000
42 60.0000000000
44 62.0000000000
62 64.0000000000
112 65.0000000000
160 66.0000000000
163 68.0000000000
176 71.0000000000
213 72.0000000000
218 73.0000000000
221 76.0000000000
243 77.0000000000
308 79.0000000000
334 80.0000000000
361 81.0000000000
363 83.0000000000
439 84.0000000000
458 85.0000000000
466 86.0000000000
509 87.0000000000
570 88.0000000000
631 89.0000000000
641 90.0000000000
663 91.0000000000
735 92.0000000000
752 93.0000000000
766 94.0000000000
883 96.0000000000
939 97.0000000000
1076 98.0000000000
1281 99.0000000000
1392 100.0000000000
100000 100.0000000000
evaluations raw_y
1 46.0000000000
3 47.0000000000
4 54.0000000000
9 56.0000000000
11 59.0000000000
60 64.0000000000
74 65.0000000000
129 69.0000000000
168 70.0000000000
185 72.0000000000
228 73.0000000000
235 76.0000000000
318 77.0000000000
342 78.0000000000
354 80.0000000000
371 81.0000000000
405 82.0000000000
445 86.0000000000
455 87.0000000000
525 88.0000000000
532 89.0000000000
580 91.0000000000
647 92.0000000000
716 94.0000000000
768 95.0000000000
819 96.0000000000
928 97.0000000000
1099 98.0000000000
1373 99.0000000000
1573 100.0000000000
100000 98.0000000000
evaluations raw_y
1 49.0000000000
3 51.0000000000
4 54.0000000000
13 56.0000000000
25 57.0000000000
31 60.0000000000
38 61.0000000000
42 62.0000000000
65 63.0000000000
94 64.0000000000
110 66.0000000000
141 72.0000000000
174 74.0000000000
236 75.0000000000
249 77.0000000000
293 78.0000000000
336 79.0000000000
354 82.0000000000
418 84.0000000000
456 85.0000000000
458 88.0000000000
529 89.0000000000
570 92.0000000000
615 94.0000000000
687 95.0000000000
784 96.0000000000
824 97.0000000000
904 98.0000000000
1128 99.0000000000
1537 100.0000000000
100000 100.0000000000
evaluations raw_y
1 48.0000000000
4 56.0000000000
6 57.0000000000
10 60.0000000000
42 61.0000000000
48 65.0000000000
118 67.0000000000
119 68.0000000000
126 69.0000000000
135 73.0000000000
193 74.0000000000
228 76.0000000000
247 77.0000000000
285 78.0000000000
291 80.0000000000
354 81.0000000000
366 82.0000000000
374 85.0000000000
421 86.0000000000
437 87.0000000000
456 88.0000000000
467 90.0000000000
499 91.0000000000
559 93.0000000000
640 94.0000000000
704 96.0000000000
895 97.0000000000
986 98.0000000000
1075 99.0000000000
1464 100.0000000000
100000 99.0000000000
