evaluations raw_y
1 -1595.0000000000
2 -1274.0000000000
3 -1167.0000000000
5 -981.0000000000
13 -855.0000000000
71 -807.0000000000
111 -777.0000000000
122 -738.0000000000
129 -641.0000000000
163 -622.0000000000
170 -602.0000000000
180 -592.0000000000
205 -573.0000000000
209 -543.0000000000
234 -465.0000000000
241 -437.0000000000
278 -417.0000000000
292 -408.0000000000
295 -389.0000000000
313 -369.0000000000
333 -350.0000000000
349 -272.0000000000
403 -204.0000000000
470 -195.0000000000
520 -185.0000000000
526 -100.0000000000
576 -80.0000000000
614 -79.0000000000
632 -72.0000000000
639 -52.0000000000
723 -43.0000000000
792 -34.0000000000
849 -24.0000000000
923 -15.0000000000
962 -6.0000000000
1044 -5.0000000000
1065 4.0000000000
1164 5.0000000000
1331 7.0000000000
1784 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1118.0000000000
3 -1069.0000000000
23 -1001.0000000000
65 -962.0000000000
74 -893.0000000000
80 -787.0000000000
113 -777.0000000000
139 -767.0000000000
144 -651.0000000000
164 -369.0000000000
245 -283.0000000000
312 -244.0000000000
321 -196.0000000000
400 -167.0000000000
419 -148.0000000000
450 -138.0000000000
532 -129.0000000000
574 -128.0000000000
587 -109.0000000000
615 -99.0000000000
631 -90.0000000000
652 -62.0000000000
742 -43.0000000000
805 -34.0000000000
831 -25.0000000000
915 -24.0000000000
940 -15.0000000000
1069 -14.0000000000
1093 -6.0000000000
1113 -5.0000000000
1151 -4.0000000000
1244 5.0000000000
1433 6.0000000000
1472 7.0000000000
1588 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1381.0000000000
2 -1342.0000000000
4 -1323.0000000000
6 -1118.0000000000
8 -952.0000000000
17 -865.0000000000
59 -738.0000000000
88 -709.0000000000
138 -641.0000000000
145 -535.0000000000
174 -467.0000000000
216 -321.0000000000
296 -234.0000000000
367 -233.0000000000
389 -195.0000000000
446 -176.0000000000
459 -117.0000000000
512 -99.0000000000
523 -98.0000000000
525 -79.0000000000
585 -42.0000000000
640 -41.0000000000
678 -32.0000000000
717 -23.0000000000
742 -22.0000000000
825 -13.0000000000
912 -5.0000000000
950 -4.0000000000
1062 5.0000000000
1129 6.0000000000
1275 7.0000000000
1306 8.0000000000
1421 9.0000000000
1633 10.0000000000
100000 -19.0000000000
evaluations raw_y
1 -1634.0000000000
2 -1420.0000000000
3 -1332.0000000000
4 -1303.0000000000
