evaluations raw_y
1 5.8000000000
4 7.0000000000
6 9.0000000000
100 9.2000000000
144 9.6000000000
146 10.2000000000
189 10.4000000000
199 10.6000000000
233 11.0000000000
322 12.0000000000
372 12.4000000000
429 12.8000000000
542 13.0000000000
666 13.2000000000
726 13.4000000000
804 13.6000000000
899 13.8000000000
959 14.0000000000
1032 14.2000000000
1067 14.4000000000
1143 14.6000000000
1212 14.8000000000
1314 15.0000000000
1317 15.2000000000
1495 15.4000000000
1642 15.6000000000
1706 15.8000000000
1775 16.0000000000
2077 16.2000000000
2149 16.4000000000
2493 16.6000000000
100000 16.2000000000
evaluations raw_y
1 6.2000000000
3 9.0000000000
5 9.2000000000
136 9.6000000000
175 10.4000000000
181 10.6000000000
258 10.8000000000
261 11.0000000000
310 11.4000000000
324 11.6000000000
374 11.8000000000
437 12.0000000000
447 12.2000000000
452 12.4000000000
473 12.6000000000
494 13.2000000000
570 13.6000000000
649 13.8000000000
710 14.0000000000
775 14.4000000000
869 14.6000000000
885 14.8000000000
929 15.0000000000
1074 15.2000000000
1109 15.4000000000
1252 15.6000000000
1377 15.8000000000
1481 16.0000000000
100000 16.0000000000
evaluations raw_y
1 7.0000000000
2 8.0000000000
14 8.4000000000
18 9.2000000000
77 10.4000000000
114 10.8000000000
152 11.6000000000
242 11.8000000000
258 12.0000000000
306 12.2000000000
327 12.4000000000
330 13.0000000000
383 13.6000000000
437 13.8000000000
450 14.0000000000
500 14.2000000000
516 14.6000000000
571 15.0000000000
650 15.2000000000
702 15.4000000000
733 15.6000000000
756 15.8000000000
904 16.0000000000
983 16.2000000000
1143 16.4000000000
1288 16.6000000000
2144 16.8000000000
100000 16.6000000000
evaluations raw_y
1 6.4000000000
5 7.0000000000
9 7.8000000000
33 8.0000000000
51 8.6000000000
58 9.4000000000
128 10.0000000000
144 10.4000000000
202 10.6000000000
208 10.8000000000
211 11.0000000000
231 12.0000000000
345 12.4000000000
385 12.8000000000
447 13.2000000000
459 13.4000000000
478 14.2000000000
536 14.6000000000
664 15.0000000000
757 15.2000000000
858 15.4000000000
941 15.6000000000
1041 15.8000000000
1113 16.0000000000
1175 16.2000000000
1476 16.4000000000
1487 16.6000000000
1770 16.8000000000
100000 16.8000000000
evaluations raw_y
1 6.8000000000
4 7.0000000000
5 8.0000000000
23 9.6000000000
73 10.6000000000
131 10.8000000000
177 11.6000000000
264 11.8000000000
306 12.0000000000
322 12.2000000000
324 12.4000000000
354 13.6000000000
470 14.0000000000
520 14.2000000000
550 14.4000000000
610 14.8000000000
632 15.0000000000
702 15.2000000000
731 15.4000000000
754 15.6000000000
860 16.0000000000
1086 16.2000000000
1193 16.4000000000
1275 16.6000000000
1653 16.8000000000
1853 17.0000000000
100000 16.8000000000
evaluations raw_y
1 8.2000000000
13 8.6000000000
22 9.4000000000
81 9.6000000000
88 10.0000000000
142 10.6000000000
174 11.6000000000
283 12.0000000000
378 12.8000000000
428 13.0000000000
495 13.2000000000
566 13.8000000000
595 14.0000000000
700 14.2000000000
776 14.4000000000
844 14.6000000000
845 15.0000000000
942 15.2000000000
1001 15.4000000000
1077 15.6000000000
1164 15.8000000000
1287 16.0000000000
1394 16.2000000000
1508 16.4000000000
1572 16.6000000000
100000 16.6000000000
evaluations raw_y
1 7.0000000000
2 7.2000000000
10 7.8000000000
16 8.0000000000
21 8.2000000000
23 9.6000000000
75 10.4000000000
160 11.2000000000
232 11.6000000000
243 11.8000000000
286 12.0000000000
304 12.2000000000
373 12.4000000000
429 12.6000000000
446 12.8000000000
482 13.0000000000
532 13.2000000000
545 13.4000000000
575 13.6000000000
649 13.8000000000
710 14.0000000000
810 14.2000000000
868 14.4000000000
927 14.6000000000
1015 14.8000000000
1105 15.0000000000
1108 15.2000000000
1192 15.4000000000
1351 15.6000000000
1476 15.8000000000
1580 16.0000000000
1620 16.2000000000
2288 16.4000000000
100000 16.2000000000
evaluations raw_y
1 8.0000000000
2 8.6000000000
48 9.0000000000
51 10.6000000000
198 11.0000000000
271 11.2000000000
313 11.4000000000
332 12.0000000000
374 12.2000000000
408 12.4000000000
483 12.8000000000
519 13.2000000000
612 13.4000000000
689 13.6000000000
703 14.2000000000
865 14.4000000000
901 14.6000000000
954 14.8000000000
994 15.0000000000
1071 15.4000000000
1206 15.6000000000
1268 15.8000000000
1316 16.0000000000
1334 16.2000000000
1457 16.4000000000
1492 16.6000000000
1620 16.8000000000
100000 16.6000000000
evaluations raw_y
1 7.0000000000
4 7.8000000000
10 8.0000000000
19 9.0000000000
40 9.4000000000
75 10.2000000000
200 10.6000000000
209 10.8000000000
246 11.0000000000
288 11.2000000000
291 11.4000000000
308 11.6000000000
376 11.8000000000
391 12.0000000000
439 12.2000000000
475 12.4000000000
496 12.6000000000
523 13.0000000000
543 13.2000000000
675 13.4000000000
743 13.6000000000
764 13.8000000000
858 14.0000000000
876 14.2000000000
994 14.4000000000
996 14.6000000000
1101 14.8000000000
1147 15.0000000000
1335 15.2000000000
1367 15.4000000000
1440 15.6000000000
1463 15.8000000000
1570 16.0000000000
1779 16.2000000000
2258 16.4000000000
100000 16.4000000000
evaluations raw_y
1 4.8000000000
2 6.8000000000
4 7.4000000000
6 8.0000000000
10 8.2000000000
20 9.8000000000
82 10.2000000000
150 10.4000000000
172 10.6000000000
188 11.0000000000
198 11.2000000000
200 11.6000000000
257 11.8000000000
275 12.8000000000
389 13.0000000000
418 13.2000000000
456 13.6000000000
509 14.0000000000
644 14.2000000000
692 14.4000000000
698 14.6000000000
826 14.8000000000
845 15.0000000000
882 15.4000000000
1041 15.6000000000
1402 15.8000000000
1546 16.0000000000
1691 16.2000000000
2123 16.4000000000
100000 16.0000000000
