evaluations raw_y
1 -0.4728607615
34 -0.4618530318
67 -0.4560334406
88 -0.4555345715
93 -0.4485631565
107 -0.4430151804
122 -0.4255882889
138 -0.4208511568
163 -0.4169152455
239 -0.4124908450
243 -0.4036867755
276 -0.4013894479
302 -0.3906990330
342 -0.3853663410
351 -0.3827392310
369 -0.3669480465
470 -0.3649703202
510 -0.3611554111
536 -0.3572659220
543 -0.3567698738
594 -0.3529985119
624 -0.3511955595
682 -0.3511871743
697 -0.3488268442
698 -0.3476844389
703 -0.3454942818
718 -0.3423915386
777 -0.3353880851
847 -0.3353797000
853 -0.3332000703
886 -0.3331704959
910 -0.3291174148
944 -0.3252007176
1043 -0.3234925421
1052 -0.3223876395
1105 -0.3217211631
1145 -0.3207121512
1203 -0.3201422673
1257 -0.3196529945
1292 -0.3158077650
1340 -0.3152735256
1365 -0.3144968637
1375 -0.3110890596
1451 -0.3103480422
1481 -0.3069698710
1503 -0.3062738202
1537 -0.3062288536
1570 -0.3055328028
1581 -0.3032748729
1673 -0.2992096080
1728 -0.2979793179
1863 -0.2961082986
2175 -0.2957767246
2396 -0.2957683394
57669 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.4986704156
2 -0.4416280853
110 -0.4328140892
136 -0.4176258048
196 -0.4097859570
222 -0.3994911410
229 -0.3984100279
298 -0.3934850270
318 -0.3892817373
342 -0.3876630694
344 -0.3752406651
345 -0.3701386534
400 -0.3682509700
445 -0.3648849117
458 -0.3641552286
476 -0.3617514229
483 -0.3550400760
582 -0.3526992047
595 -0.3512814654
596 -0.3490719408
637 -0.3476848328
655 -0.3470173224
659 -0.3427315703
704 -0.3384964637
889 -0.3346958893
893 -0.3326633760
902 -0.3323318020
908 -0.3288690433
946 -0.3271678657
985 -0.3248037784
1049 -0.3243236584
1076 -0.3215535576
1106 -0.3210734376
1212 -0.3198329039
1223 -0.3176331484
1255 -0.3175881818
1273 -0.3168921310
1277 -0.3163926147
1345 -0.3156515974
1433 -0.3119301338
1469 -0.3104561392
1500 -0.3103990764
1561 -0.3098395569
1581 -0.3097824941
1684 -0.3080111151
1695 -0.3066551519
1710 -0.3040844551
1752 -0.3028502589
1778 -0.3023130761
2140 -0.3023046909
2223 -0.3005101236
2254 -0.3005017385
3105 -0.2970240102
7111 -0.2967011800
7144 -0.2955087499
7291 -0.2948798601
76938 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.4994264282
4 -0.4895088023
5 -0.4879612032
19 -0.4698072196
44 -0.4537039104
51 -0.4527842050
83 -0.4490648787
92 -0.4287960701
94 -0.4239389308
147 -0.4146098217
192 -0.3965261412
254 -0.3925549330
291 -0.3877474617
293 -0.3833508134
318 -0.3761038242
348 -0.3646249256
434 -0.3643439209
479 -0.3637994381
482 -0.3619393394
509 -0.3614140356
531 -0.3514803451
605 -0.3496058834
