evaluations raw_y
1 4.0000000000
25 6.0000000000
60 7.0000000000
118 13.0000000000
186 14.0000000000
213 15.0000000000
232 16.0000000000
255 17.0000000000
274 18.0000000000
367 19.0000000000
394 21.0000000000
594 23.0000000000
625 24.0000000000
853 25.0000000000
881 26.0000000000
905 27.0000000000
909 29.0000000000
973 30.0000000000
1050 32.0000000000
1167 33.0000000000
1431 35.0000000000
1464 36.0000000000
1557 38.0000000000
1616 40.0000000000
2061 42.0000000000
2528 43.0000000000
2548 46.0000000000
3223 47.0000000000
3348 49.0000000000
3545 53.0000000000
3866 55.0000000000
3975 56.0000000000
4366 57.0000000000
4397 58.0000000000
4641 60.0000000000
4678 63.0000000000
4746 65.0000000000
4778 66.0000000000
4873 67.0000000000
4986 68.0000000000
5595 71.0000000000
5607 73.0000000000
5721 74.0000000000
5777 75.0000000000
6036 77.0000000000
6232 79.0000000000
6403 80.0000000000
6438 81.0000000000
7119 82.0000000000
7983 83.0000000000
8003 86.0000000000
8087 88.0000000000
8142 90.0000000000
8147 91.0000000000
8201 92.0000000000
8327 93.0000000000
9008 95.0000000000
9205 96.0000000000
9917 97.0000000000
10035 98.0000000000
10115 99.0000000000
10235 100.0000000000
100000 100.0000000000
evaluations raw_y
1 1.0000000000
11 2.0000000000
20 4.0000000000
66 9.0000000000
142 11.0000000000
190 12.0000000000
319 13.0000000000
398 14.0000000000
486 15.0000000000
578 18.0000000000
624 24.0000000000
973 25.0000000000
996 26.0000000000
1081 30.0000000000
1434 31.0000000000
1604 32.0000000000
1653 33.0000000000
1708 34.0000000000
1762 38.0000000000
1821 40.0000000000
1919 41.0000000000
2087 43.0000000000
2122 46.0000000000
2291 50.0000000000
2361 54.0000000000
2371 56.0000000000
2414 59.0000000000
2603 60.0000000000
2670 61.0000000000
2716 62.0000000000
2880 63.0000000000
2983 64.0000000000
3423 65.0000000000
3523 68.0000000000
3609 70.0000000000
4005 71.0000000000
4385 74.0000000000
4491 78.0000000000
4991 80.0000000000
5171 81.0000000000
